C19001A_001E,C19001A_001EA,C19001A_001M,C19001A_001MA,C19001A_002E,C19001A_002EA,C19001A_002M,C19001A_002MA,C19001A_003E,C19001A_003EA,C19001A_003M,C19001A_003MA,C19001A_004E,C19001A_004EA,C19001A_004M,C19001A_004MA,C19001A_005E,C19001A_005EA,C19001A_005M,C19001A_005MA,C19001A_006E,C19001A_006EA,C19001A_006M,C19001A_006MA,C19001A_007E,C19001A_007EA,C19001A_007M,C19001A_007MA,C19001A_008E,C19001A_008EA,C19001A_008M,C19001A_008MA,C19001A_009E,C19001A_009EA,C19001A_009M,C19001A_009MA,C19001A_010E,C19001A_010EA,C19001A_010M,C19001A_010MA,C19001A_011E,C19001A_011EA,C19001A_011M,C19001A_011MA,GEO_ID,NAME,state
1319682,null,7402,null,106190,null,5725,null,82830,null,4027,null,158358,null,5818,null,149036,null,6139,null,208111,null,6585,null,245124,null,7183,null,155425,null,5499,null,137283,null,4144,null,41859,null,3024,null,35466,null,2257,null,0400000US01,Alabama,01
178988,null,2831,null,5558,null,1159,null,4940,null,1097,null,11231,null,1580,null,13045,null,1718,null,22924,null,2430,null,34087,null,2729,null,30994,null,2596,null,34362,null,2005,null,12525,null,1798,null,9322,null,1329,null,0400000US02,Alaska,02
1931808,null,11446,null,133330,null,5856,null,101513,null,5605,null,223028,null,7179,null,211833,null,7226,null,296112,null,7461,null,372152,null,8132,null,239287,null,7501,null,225407,null,6412,null,67918,null,3831,null,61228,null,3819,null,0400000US04,Arizona,04
898857,null,6889,null,76476,null,5002,null,66896,null,3734,null,125273,null,5506,null,113278,null,5299,null,146980,null,4423,null,166662,null,5941,null,89235,null,4607,null,75592,null,3080,null,19678,null,1790,null,18787,null,1920,null,0400000US05,Arkansas,05
8313921,null,24121,null,419923,null,9170,null,416105,null,11074,null,773085,null,14436,null,746125,null,10947,null,1068238,null,16830,null,1458131,null,19266,null,1068473,null,15526,null,1259219,null,16951,null,544505,null,11374,null,560117,null,11220,null,0400000US06,California,06
1677418,null,9287,null,101753,null,5303,null,78131,null,4777,null,157535,null,5620,null,158447,null,6758,null,235467,null,8392,null,319858,null,9152,null,225176,null,7000,null,240794,null,6706,null,85970,null,3847,null,74287,null,3755,null,0400000US08,Colorado,08
1091612,null,5789,null,49749,null,3797,null,39454,null,2902,null,84554,null,3852,null,79084,null,4677,null,124773,null,5271,null,191015,null,5723,null,148718,null,5311,null,196009,null,5711,null,83325,null,4719,null,94931,null,4611,null,0400000US09,Connecticut,09
246942,null,3467,null,10888,null,1498,null,9175,null,1333,null,22470,null,1944,null,23140,null,2039,null,33968,null,3018,null,49682,null,2849,null,34913,null,2499,null,37957,null,2273,null,13378,null,1529,null,11371,null,1532,null,0400000US10,Delaware,10
108414,null,2600,null,4495,null,1162,null,1742,null,651,null,4783,null,1208,null,4550,null,1067,null,9511,null,1777,null,15764,null,1941,null,13691,null,1705,null,19877,null,2168,null,13095,null,1803,null,20906,null,1826,null,0400000US11,District of Columbia,11
5659824,null,21930,null,392682,null,10138,null,315601,null,7238,null,686358,null,14102,null,674172,null,14192,null,915900,null,16726,null,1070042,null,14318,null,633651,null,11710,null,579473,null,13122,null,193119,null,6429,null,198826,null,6456,null,0400000US12,Florida,12
2256819,null,13442,null,145268,null,5948,null,121001,null,5666,null,227318,null,7897,null,228219,null,8192,null,313840,null,8036,null,426691,null,10538,null,297742,null,7907,null,288855,null,7498,null,104854,null,4508,null,103031,null,4087,null,0400000US13,Georgia,13
150600,null,3735,null,8764,null,1678,null,6100,null,1344,null,10602,null,1955,null,11688,null,1715,null,18857,null,2225,null,28776,null,2879,null,21883,null,2121,null,24983,null,2341,null,9804,null,1442,null,9143,null,1466,null,0400000US15,Hawaii,15
527957,null,4655,null,33391,null,2955,null,33295,null,2761,null,66249,null,3785,null,67884,null,3045,null,88149,null,4088,null,109076,null,4751,null,63146,null,3786,null,45438,null,2878,null,11221,null,1459,null,10108,null,1466,null,0400000US16,Idaho,16
3654727,null,14604,null,200782,null,6893,null,166987,null,7183,null,361146,null,8451,null,350037,null,8757,null,492379,null,9639,null,699217,null,11145,null,502308,null,8577,null,514046,null,10139,null,179069,null,6666,null,188756,null,6294,null,0400000US17,Illinois,17
2169293,null,11383,null,141188,null,5774,null,116995,null,5049,null,255248,null,6434,null,262606,null,6639,null,360582,null,8539,null,440747,null,9586,null,264957,null,6134,null,221668,null,6869,null,60848,null,3440,null,44454,null,2695,null,0400000US18,Indiana,18
1153637,null,6570,null,72054,null,3865,null,69069,null,3439,null,134125,null,4706,null,127830,null,4569,null,188042,null,5839,null,232216,null,4861,null,152698,null,5175,null,122514,null,3973,null,29424,null,2184,null,25665,null,2257,null,0400000US19,Iowa,19
978494,null,6163,null,61285,null,3386,null,53742,null,3358,null,115581,null,4678,null,111024,null,4711,null,154790,null,5385,null,194082,null,5916,null,122260,null,5084,null,102659,null,3672,null,32484,null,2029,null,30587,null,2123,null,0400000US20,Kansas,20
1526559,null,10168,null,160720,null,6198,null,110360,null,5451,null,201406,null,6957,null,184087,null,5870,null,237452,null,7090,null,269019,null,7387,null,164540,null,5122,null,134423,null,6037,null,35064,null,2832,null,29488,null,2125,null,0400000US21,Kentucky,21
1132878,null,7321,null,79444,null,4647,null,62351,null,4061,null,123779,null,4066,null,119488,null,5871,null,166853,null,6275,null,208692,null,7179,null,147759,null,6553,null,141978,null,5451,null,43639,null,3146,null,38895,null,2908,null,0400000US22,Louisiana,22
526250,null,4604,null,36933,null,2598,null,33235,null,2596,null,67888,null,3449,null,61513,null,3476,null,83361,null,3577,null,107206,null,3921,null,62697,null,3041,null,48465,null,2715,null,14088,null,1418,null,10864,null,1566,null,0400000US23,Maine,23
1335804,null,8369,null,55927,null,3588,null,39694,null,3138,null,83880,null,4520,null,94661,null,4124,null,149264,null,4724,null,233509,null,6871,null,189943,null,7414,null,252696,null,6771,null,119106,null,3889,null,117124,null,3443,null,0400000US24,Maryland,24
2129147,null,8930,null,125477,null,5445,null,103741,null,4702,null,171401,null,6705,null,163659,null,6185,null,247302,null,7534,null,366406,null,8944,null,288587,null,7632,null,367830,null,8514,null,146538,null,4587,null,148206,null,5304,null,0400000US25,Massachusetts,25
3154095,null,13067,null,221918,null,7934,null,174821,null,5707,null,371710,null,8710,null,363378,null,8163,null,495009,null,8787,null,616138,null,10738,null,382168,null,7944,null,346000,null,6805,null,98378,null,4594,null,84575,null,4058,null,0400000US26,Michigan,26
1895277,null,7875,null,101513,null,4039,null,88553,null,3841,null,178488,null,5194,null,188079,null,4667,null,267620,null,6628,null,386336,null,7496,null,276843,null,5818,null,252576,null,6507,null,80854,null,3224,null,74415,null,3644,null,0400000US27,Minnesota,27
