C17010G_001E,C17010G_001EA,C17010G_001M,C17010G_001MA,C17010G_002E,C17010G_002EA,C17010G_002M,C17010G_002MA,C17010G_003E,C17010G_003EA,C17010G_003M,C17010G_003MA,C17010G_004E,C17010G_004EA,C17010G_004M,C17010G_004MA,C17010G_005E,C17010G_005EA,C17010G_005M,C17010G_005MA,C17010G_006E,C17010G_006EA,C17010G_006M,C17010G_006MA,C17010G_007E,C17010G_007EA,C17010G_007M,C17010G_007MA,C17010G_008E,C17010G_008EA,C17010G_008M,C17010G_008MA,C17010G_009E,C17010G_009EA,C17010G_009M,C17010G_009MA,C17010G_010E,C17010G_010EA,C17010G_010M,C17010G_010MA,C17010G_011E,C17010G_011EA,C17010G_011M,C17010G_011MA,C17010G_012E,C17010G_012EA,C17010G_012M,C17010G_012MA,C17010G_013E,C17010G_013EA,C17010G_013M,C17010G_013MA,C17010G_014E,C17010G_014EA,C17010G_014M,C17010G_014MA,C17010G_015E,C17010G_015EA,C17010G_015M,C17010G_015MA,C17010G_016E,C17010G_016EA,C17010G_016M,C17010G_016MA,C17010G_017E,C17010G_017EA,C17010G_017M,C17010G_017MA,GEO_ID,NAME,state
11826,null,1672,null,2149,null,724,null,413,null,258,null,128,null,116,null,1736,null,663,null,245,null,205,null,214,null,197,null,1491,null,600,null,1308,null,567,null,9677,null,1499,null,7343,null,1202,null,2720,null,604,null,2334,null,779,null,1080,null,590,null,398,null,389,null,1254,null,494,null,468,null,302,null,0400000US01,Alabama,01
6871,null,1161,null,661,null,362,null,36,null,40,null,36,null,40,null,625,null,368,null,0,null,244,null,0,null,244,null,625,null,368,null,625,null,368,null,6210,null,1121,null,3703,null,871,null,1686,null,621,null,2507,null,823,null,1251,null,714,null,1251,null,714,null,1256,null,437,null,1138,null,410,null,0400000US02,Alaska,02
21563,null,2316,null,3060,null,918,null,1051,null,501,null,670,null,374,null,2009,null,702,null,470,null,412,null,470,null,412,null,1539,null,561,null,1539,null,561,null,18503,null,2072,null,12964,null,1758,null,7118,null,1535,null,5539,null,1169,null,1680,null,732,null,916,null,548,null,3859,null,992,null,2415,null,716,null,0400000US04,Arizona,04
10599,null,1646,null,1980,null,574,null,694,null,303,null,571,null,326,null,1286,null,522,null,42,null,81,null,0,null,273,null,1244,null,502,null,1152,null,493,null,8619,null,1468,null,5920,null,1360,null,2231,null,843,null,2699,null,970,null,1049,null,702,null,430,null,349,null,1650,null,664,null,735,null,457,null,0400000US05,Arkansas,05
196512,null,6151,null,21086,null,2146,null,6853,null,1286,null,5508,null,1122,null,14233,null,1850,null,2536,null,724,null,1701,null,625,null,11697,null,1733,null,10846,null,1709,null,175426,null,5952,null,123831,null,5054,null,69504,null,4281,null,51595,null,3335,null,14295,null,1894,null,7423,null,1324,null,37300,null,3110,null,24526,null,2526,null,0400000US06,California,06
23603,null,2281,null,3095,null,727,null,988,null,406,null,788,null,391,null,2107,null,641,null,392,null,286,null,366,null,296,null,1715,null,624,null,1540,null,605,null,20508,null,2080,null,14856,null,1791,null,8017,null,1378,null,5652,null,1494,null,1557,null,674,null,1146,null,565,null,4095,null,1323,null,3257,null,1239,null,0400000US08,Colorado,08
10310,null,1608,null,1477,null,657,null,126,null,152,null,67,null,114,null,1351,null,637,null,68,null,115,null,68,null,115,null,1283,null,605,null,1283,null,605,null,8833,null,1462,null,4820,null,1049,null,2370,null,705,null,4013,null,917,null,929,null,489,null,283,null,261,null,3084,null,890,null,2416,null,795,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
57065,null,3556,null,8636,null,1465,null,3303,null,1038,null,2162,null,829,null,5333,null,1346,null,645,null,467,null,557,null,457,null,4688,null,1195,null,4154,null,1129,null,48429,null,3430,null,33626,null,2574,null,17320,null,2185,null,14803,null,1823,null,4503,null,1075,null,2697,null,882,null,10300,null,1440,null,6598,null,1235,null,0400000US12,Florida,12
