C21001I_001E,C21001I_001EA,C21001I_001M,C21001I_001MA,C21001I_002E,C21001I_002EA,C21001I_002M,C21001I_002MA,C21001I_003E,C21001I_003EA,C21001I_003M,C21001I_003MA,C21001I_004E,C21001I_004EA,C21001I_004M,C21001I_004MA,C21001I_005E,C21001I_005EA,C21001I_005M,C21001I_005MA,C21001I_006E,C21001I_006EA,C21001I_006M,C21001I_006MA,C21001I_007E,C21001I_007EA,C21001I_007M,C21001I_007MA,C21001I_008E,C21001I_008EA,C21001I_008M,C21001I_008MA,C21001I_009E,C21001I_009EA,C21001I_009M,C21001I_009MA,C21001I_010E,C21001I_010EA,C21001I_010M,C21001I_010MA,C21001I_011E,C21001I_011EA,C21001I_011M,C21001I_011MA,C21001I_012E,C21001I_012EA,C21001I_012M,C21001I_012MA,C21001I_013E,C21001I_013EA,C21001I_013M,C21001I_013MA,C21001I_014E,C21001I_014EA,C21001I_014M,C21001I_014MA,C21001I_015E,C21001I_015EA,C21001I_015M,C21001I_015MA,GEO_ID,NAME,state
84226,null,1945,null,46201,null,1946,null,44513,null,1964,null,1969,null,616,null,42544,null,1968,null,1688,null,634,null,630,null,377,null,1058,null,611,null,38025,null,1494,null,34873,null,1469,null,390,null,232,null,34483,null,1450,null,3152,null,881,null,0,null,273,null,3152,null,881,null,0400000US01,Alabama,01
27064,null,644,null,14512,null,809,null,13985,null,819,null,1822,null,854,null,12163,null,924,null,527,null,280,null,136,null,128,null,391,null,262,null,12552,null,728,null,11804,null,830,null,282,null,211,null,11522,null,858,null,748,null,277,null,0,null,244,null,748,null,277,null,0400000US02,Alaska,02
1271968,null,1368,null,666182,null,1188,null,623880,null,1273,null,37442,null,3858,null,586438,null,4098,null,42302,null,426,null,14346,null,1694,null,27956,null,1598,null,605786,null,962,null,551707,null,1021,null,3813,null,1313,null,547894,null,1637,null,54079,null,422,null,146,null,145,null,53933,null,456,null,0400000US04,Arizona,04
99896,null,1695,null,52753,null,1499,null,51115,null,1459,null,1842,null,746,null,49273,null,1437,null,1638,null,557,null,347,null,256,null,1291,null,536,null,47143,null,1398,null,44485,null,1490,null,493,null,385,null,43992,null,1582,null,2658,null,815,null,12,null,37,null,2646,null,809,null,0400000US05,Arkansas,05
8913624,null,3049,null,4587110,null,2876,null,4274735,null,2848,null,175020,null,8434,null,4099715,null,9169,null,312375,null,936,null,71405,null,3745,null,240970,null,3780,null,4326514,null,1311,null,3906474,null,1791,null,15279,null,2221,null,3891195,null,2688,null,420040,null,1228,null,2014,null,814,null,418026,null,1371,null,0400000US06,California,06
648150,null,1127,null,340886,null,1369,null,317521,null,1240,null,24187,null,2338,null,293334,null,2585,null,23365,null,909,null,10414,null,1334,null,12951,null,1470,null,307264,null,994,null,278288,null,1379,null,2893,null,944,null,275395,null,1628,null,28976,null,1125,null,0,null,279,null,28976,null,1125,null,0400000US08,Colorado,08
288805,null,523,null,144802,null,679,null,135907,null,721,null,5080,null,1209,null,130827,null,1328,null,8895,null,435,null,1512,null,444,null,7383,null,584,null,144003,null,634,null,131347,null,731,null,492,null,261,null,130855,null,752,null,12656,null,554,null,0,null,277,null,12656,null,554,null,0400000US09,Connecticut,09
38725,null,208,null,20838,null,335,null,20279,null,441,null,1527,null,707,null,18752,null,746,null,559,null,343,null,87,null,119,null,472,null,321,null,17887,null,403,null,16334,null,748,null,87,null,117,null,16247,null,747,null,1553,null,631,null,0,null,263,null,1553,null,631,null,0400000US10,Delaware,10
38856,null,150,null,20436,null,111,null,19239,null,634,null,975,null,548,null,18264,null,744,null,1197,null,612,null,75,null,128,null,1122,null,604,null,18420,null,108,null,16565,null,108,null,54,null,95,null,16511,null,149,null,1855,null,0,*****,0,null,296,null,1855,null,2,null,0400000US11,District of Columbia,11
2911313,null,2124,null,1471366,null,2582,null,1295495,null,3003,null,63534,null,4851,null,1231961,null,5860,null,175871,null,1210,null,24747,null,2475,null,151124,null,2614,null,1439947,null,1985,null,1197936,null,2254,null,8809,null,1717,null,1189127,null,2536,null,242011,null,1378,null,548,null,281,null,241463,null,1364,null,0400000US12,Florida,12
488311,null,2580,null,282250,null,2409,null,275472,null,2583,null,9496,null,1475,null,265976,null,2848,null,6778,null,1360,null,2150,null,776,null,4628,null,1209,null,206061,null,1996,null,194071,null,2187,null,1925,null,745,null,192146,null,2216,null,11990,null,1428,null,31,null,64,null,11959,null,1434,null,0400000US13,Georgia,13
68179,null,1365,null,35200,null,1213,null,32539,null,1265,null,5012,null,1097,null,27527,null,1683,null,2661,null,310,null,1173,null,427,null,1488,null,453,null,32979,null,483,null,30227,null,613,null,1067,null,367,null,29160,null,682,null,2752,null,353,null,127,null,128,null,2625,null,363,null,0400000US15,Hawaii,15
96074,null,684,null,51082,null,843,null,48896,null,930,null,2201,null,734,null,46695,null,1122,null,2186,null,549,null,620,null,323,null,1566,null,487,null,44992,null,900,null,42779,null,1062,null,474,null,472,null,42305,null,1020,null,2213,null,853,null,0,null,263,null,2213,null,853,null,0400000US16,Idaho,16
1263196,null,1758,null,673945,null,1592,null,634526,null,1609,null,18884,null,2429,null,615642,null,2754,null,39419,null,763,null,6674,null,1431,null,32745,null,1387,null,589251,null,1547,null,542483,null,1455,null,1513,null,576,null,540970,null,1553,null,46768,null,845,null,163,null,269,null,46605,null,916,null,0400000US17,Illinois,17
213221,null,1589,null,117918,null,1910,null,112668,null,1914,null,5656,null,1461,null,107012,null,2459,null,5250,null,650,null,1562,null,584,null,3688,null,682,null,95303,null,1510,null,88472,null,1514,null,401,null,268,null,88071,null,1515,null,6831,null,843,null,0,null,269,null,6831,null,843,null,0400000US18,Indiana,18
77593,null,1535,null,42276,null,1632,null,40358,null,1680,null,2613,null,863,null,37745,null,1789,null,1918,null,601,null,553,null,281,null,1365,null,548,null,35317,null,1572,null,32693,null,1360,null,381,null,332,null,32312,null,1378,null,2624,null,882,null,0,null,228,null,2624,null,882,null,0400000US19,Iowa,19
158580,null,1349,null,85705,null,1273,null,80562,null,1373,null,4048,null,908,null,76514,null,1521,null,5143,null,859,null,1627,null,616,null,3516,null,806,null,72875,null,1139,null,67504,null,1316,null,332,null,333,null,67172,null,1333,null,5371,null,884,null,227,null,202,null,5144,null,867,null,0400000US20,Kansas,20
64425,null,2328,null,36699,null,2153,null,35374,null,2093,null,1706,null,561,null,33668,null,1983,null,1325,null,520,null,585,null,352,null,740,null,380,null,27726,null,1472,null,26162,null,1378,null,768,null,544,null,25394,null,1352,null,1564,null,451,null,0,null,273,null,1564,null,451,null,0400000US21,Kentucky,21
110527,null,1418,null,59327,null,1677,null,54097,null,1616,null,5362,null,1205,null,48735,null,1666,null,5230,null,815,null,1737,null,639,null,3493,null,673,null,51200,null,1383,null,44119,null,1575,null,833,null,525,null,43286,null,1637,null,7081,null,1042,null,0,null,281,null,7081,null,1042,null,0400000US22,Louisiana,22
11193,null,472,null,5535,null,751,null,4996,null,727,null,921,null,400,null,4075,null,579,null,539,null,309,null,466,null,302,null,73,null,84,null,5658,null,751,null,5416,null,767,null,253,null,311,null,5163,null,788,null,242,null,158,null,0,null,230,null,242,null,158,null,0400000US23,Maine,23
268810,null,1589,null,143742,null,1589,null,138092,null,1436,null,6741,null,1358,null,131351,null,1937,null,5650,null,581,null,952,null,351,null,4698,null,610,null,125068,null,1260,null,114314,null,1255,null,1502,null,569,null,112812,null,1373,null,10754,null,805,null,422,null,377,null,10332,null,788,null,0400000US24,Maryland,24
387294,null,791,null,193924,null,1008,null,183722,null,1041,null,6391,null,1593,null,177331,null,1745,null,10202,null,454,null,1585,null,585,null,8617,null,707,null,193370,null,736,null,177927,null,785,null,799,null,595,null,177128,null,1057,null,15443,null,654,null,0,null,283,null,15443,null,654,null,0400000US25,Massachusetts,25
266498,null,1504,null,140586,null,2029,null,131251,null,1685,null,7750,null,1144,null,123501,null,1942,null,9335,null,926,null,2997,null,642,null,6338,null,867,null,125912,null,1586,null,115311,null,1826,null,1136,null,526,null,114175,null,1960,null,10601,null,837,null,105,null,133,null,10496,null,803,null,0400000US26,Michigan,26
132466,null,933,null,72562,null,1339,null,69899,null,1577,null,2648,null,736,null,67251,null,1561,null,2663,null,726,null,897,null,487,null,1766,null,606,null,59904,null,1294,null,57294,null,1447,null,301,null,264,null,56993,null,1432,null,2610,null,675,null,0,null,213,null,2610,null,675,null,0400000US27,Minnesota,27
43161,null,2331,null,25440,null,2781,null,24815,null,2770,null,1388,null,645,null,23427,null,2840,null,625,null,443,null,430,null,384,null,195,null,170,null,17721,null,1819,null,15925,null,1766,null,341,null,324,null,15584,null,1792,null,1796,null,718,null,0,null,291,null,1796,null,718,null,0400000US28,Mississippi,28
121567,null,1306,null,65783,null,1709,null,61354,null,1505,null,4833,null,1127,null,56521,null,1727,null,4429,null,781,null,2018,null,549,null,2411,null,652,null,55784,null,1406,null,50199,null,1309,null,470,null,338,null,49729,null,1305,null,5585,null,795,null,0,null,259,null,5585,null,795,null,0400000US29,Missouri,29
17315,null,899,null,7855,null,992,null,7402,null,981,null,846,null,621,null,6556,null,799,null,453,null,270,null,241,null,162,null,212,null,201,null,9460,null,936,null,8554,null,958,null,79,null,117,null,8475,null,945,null,906,null,370,null,0,null,240,null,906,null,370,null,0400000US30,Montana,30
87635,null,808,null,48433,null,1322,null,45506,null,1367,null,2601,null,779,null,42905,null,1436,null,2927,null,1091,null,1104,null,621,null,1823,null,777,null,39202,null,1076,null,36559,null,1162,null,290,null,345,null,36269,null,1194,null,2643,null,777,null,0,null,228,null,2643,null,777,null,0400000US31,Nebraska,31
433976,null,831,null,234017,null,1043,null,220170,null,1050,null,9113,null,1628,null,211057,null,1904,null,13847,null,553,null,3496,null,849,null,10351,null,984,null,199959,null,872,null,184561,null,948,null,944,null,506,null,183617,null,1158,null,15398,null,462,null,111,null,132,null,15287,null,467,null,0400000US32,Nevada,32
23339,null,411,null,12506,null,602,null,12197,null,636,null,515,null,283,null,11682,null,677,null,309,null,231,null,42,null,53,null,267,null,227,null,10833,null,521,null,9887,null,571,null,72,null,128,null,9815,null,580,null,946,null,458,null,40,null,79,null,906,null,447,null,0400000US33,New Hampshire,33
1009092,null,652,null,515941,null,1073,null,476270,null,1251,null,15403,null,2082,null,460867,null,2487,null,39671,null,908,null,5367,null,1106,null,34304,null,1313,null,493151,null,1079,null,438324,null,1275,null,1744,null,672,null,436580,null,1595,null,54827,null,756,null,47,null,80,null,54780,null,747,null,0400000US34,New Jersey,34
630572,null,951,null,313462,null,924,null,277447,null,1089,null,29040,null,2628,null,248407,null,2562,null,36015,null,550,null,16567,null,1549,null,19448,null,1465,null,317110,null,550,null,271329,null,665,null,2413,null,800,null,268916,null,1040,null,45781,null,543,null,699,null,415,null,45082,null,584,null,0400000US35,New Mexico,35
2310395,null,1796,null,1137096,null,1946,null,1038746,null,1938,null,44763,null,3901,null,993983,null,4628,null,98350,null,892,null,15264,null,1809,null,83086,null,1969,null,1173299,null,1428,null,1024337,null,1399,null,3699,null,974,null,1020638,null,1660,null,148962,null,865,null,698,null,423,null,148264,null,956,null,0400000US36,New York,36
