C20005A_001E,C20005A_001EA,C20005A_001M,C20005A_001MA,C20005A_002E,C20005A_002EA,C20005A_002M,C20005A_002MA,C20005A_003E,C20005A_003EA,C20005A_003M,C20005A_003MA,C20005A_004E,C20005A_004EA,C20005A_004M,C20005A_004MA,C20005A_005E,C20005A_005EA,C20005A_005M,C20005A_005MA,C20005A_006E,C20005A_006EA,C20005A_006M,C20005A_006MA,C20005A_007E,C20005A_007EA,C20005A_007M,C20005A_007MA,C20005A_008E,C20005A_008EA,C20005A_008M,C20005A_008MA,C20005A_009E,C20005A_009EA,C20005A_009M,C20005A_009MA,C20005A_010E,C20005A_010EA,C20005A_010M,C20005A_010MA,C20005A_011E,C20005A_011EA,C20005A_011M,C20005A_011MA,C20005A_012E,C20005A_012EA,C20005A_012M,C20005A_012MA,C20005A_013E,C20005A_013EA,C20005A_013M,C20005A_013MA,C20005A_014E,C20005A_014EA,C20005A_014M,C20005A_014MA,C20005A_015E,C20005A_015EA,C20005A_015M,C20005A_015MA,C20005A_016E,C20005A_016EA,C20005A_016M,C20005A_016MA,C20005A_017E,C20005A_017EA,C20005A_017M,C20005A_017MA,C20005A_018E,C20005A_018EA,C20005A_018M,C20005A_018MA,C20005A_019E,C20005A_019EA,C20005A_019M,C20005A_019MA,C20005A_020E,C20005A_020EA,C20005A_020M,C20005A_020MA,C20005A_021E,C20005A_021EA,C20005A_021M,C20005A_021MA,C20005A_022E,C20005A_022EA,C20005A_022M,C20005A_022MA,C20005A_023E,C20005A_023EA,C20005A_023M,C20005A_023MA,C20005A_024E,C20005A_024EA,C20005A_024M,C20005A_024MA,C20005A_025E,C20005A_025EA,C20005A_025M,C20005A_025MA,C20005A_026E,C20005A_026EA,C20005A_026M,C20005A_026MA,C20005A_027E,C20005A_027EA,C20005A_027M,C20005A_027MA,C20005A_028E,C20005A_028EA,C20005A_028M,C20005A_028MA,C20005A_029E,C20005A_029EA,C20005A_029M,C20005A_029MA,C20005A_030E,C20005A_030EA,C20005A_030M,C20005A_030MA,C20005A_031E,C20005A_031EA,C20005A_031M,C20005A_031MA,C20005A_032E,C20005A_032EA,C20005A_032M,C20005A_032MA,C20005A_033E,C20005A_033EA,C20005A_033M,C20005A_033MA,C20005A_034E,C20005A_034EA,C20005A_034M,C20005A_034MA,C20005A_035E,C20005A_035EA,C20005A_035M,C20005A_035MA,C20005A_036E,C20005A_036EA,C20005A_036M,C20005A_036MA,C20005A_037E,C20005A_037EA,C20005A_037M,C20005A_037MA,C20005A_038E,C20005A_038EA,C20005A_038M,C20005A_038MA,C20005A_039E,C20005A_039EA,C20005A_039M,C20005A_039MA,GEO_ID,NAME,state
2652229,null,4833,null,1285431,null,3719,null,630252,null,8160,null,33,null,61,null,630219,null,8153,null,12941,null,1939,null,60820,null,3972,null,100573,null,5095,null,182400,null,6251,null,138798,null,4662,null,134687,null,4912,null,655179,null,8592,null,369152,null,6475,null,286027,null,7657,null,138266,null,5590,null,60587,null,3559,null,33683,null,2996,null,28549,null,2824,null,14726,null,2242,null,10216,null,1372,null,1366798,null,3386,null,432143,null,7869,null,15,null,26,null,432128,null,7867,null,11840,null,1929,null,80174,null,4634,null,96323,null,4534,null,144864,null,6046,null,64800,null,3693,null,34127,null,2793,null,934655,null,8392,null,600479,null,8515,null,334176,null,7332,null,191823,null,6121,null,76267,null,4479,null,26182,null,2739,null,28293,null,2405,null,7969,null,1370,null,3642,null,969,null,0400000US01,Alabama,01
379968,null,1958,null,200923,null,1633,null,99146,null,3601,null,77,null,123,null,99069,null,3633,null,1174,null,663,null,4142,null,1277,null,9084,null,1748,null,28355,null,2429,null,27713,null,2287,null,28601,null,2367,null,101777,null,3424,null,34350,null,2329,null,67427,null,3413,null,23417,null,2194,null,11705,null,1746,null,8811,null,1234,null,9531,null,1688,null,7030,null,1499,null,6933,null,1274,null,179045,null,1061,null,66428,null,3418,null,0,null,244,null,66428,null,3418,null,2703,null,1024,null,3048,null,842,null,11819,null,1840,null,25793,null,2553,null,14474,null,2087,null,8591,null,1311,null,112617,null,3418,null,48417,null,2713,null,64200,null,3643,null,26460,null,2939,null,15855,null,1960,null,8272,null,1348,null,7474,null,2083,null,4215,null,1016,null,1924,null,581,null,0400000US02,Alaska,02
4140639,null,15170,null,2064636,null,9834,null,956267,null,13329,null,31,null,60,null,956236,null,13326,null,25420,null,3702,null,104708,null,7206,null,148264,null,7053,null,284563,null,9405,null,188665,null,6153,null,204616,null,6233,null,1108369,null,14106,null,608453,null,12990,null,499916,null,13121,null,218339,null,8699,null,120475,null,7704,null,66501,null,5715,null,50307,null,4091,null,23565,null,2525,null,20729,null,2564,null,2076003,null,7984,null,678054,null,10825,null,0,null,305,null,678054,null,10825,null,16635,null,2727,null,98095,null,6164,null,143131,null,6015,null,239351,null,7576,null,105953,null,4705,null,74889,null,4281,null,1397949,null,11785,null,869677,null,12677,null,528272,null,11355,null,259868,null,7661,null,135177,null,6829,null,57079,null,3864,null,51860,null,4258,null,17552,null,2371,null,6736,null,1329,null,0400000US04,Arizona,04
1812260,null,4760,null,880887,null,3165,null,420655,null,7184,null,0,null,273,null,420655,null,7184,null,10606,null,1781,null,52510,null,4197,null,80757,null,4813,null,135582,null,5483,null,74564,null,4374,null,66636,null,3174,null,460232,null,7203,null,260938,null,5931,null,199294,null,5663,null,96914,null,4417,null,47039,null,4189,null,23754,null,2447,null,19818,null,2311,null,6985,null,1431,null,4784,null,1036,null,931373,null,2834,null,311913,null,8435,null,113,null,136,null,311800,null,8453,null,11791,null,1799,null,66947,null,4890,null,81778,null,4667,null,96366,null,5509,null,37832,null,2618,null,17086,null,1928,null,619460,null,8930,null,394745,null,6954,null,224715,null,6953,null,125325,null,5343,null,55111,null,3548,null,18539,null,2142,null,18115,null,1878,null,5839,null,1066,null,1786,null,613,null,0400000US05,Arkansas,05
18334328,null,53592,null,9138020,null,31661,null,4239387,null,26856,null,154,null,147,null,4239233,null,26883,null,84749,null,5071,null,404709,null,12531,null,550122,null,15930,null,978155,null,16302,null,845935,null,15680,null,1375563,null,17864,null,4898633,null,29324,null,2473456,null,20843,null,2425177,null,22197,null,949871,null,14504,null,567125,null,14272,null,297683,null,10589,null,290775,null,9737,null,149485,null,6754,null,170238,null,6375,null,9196308,null,26693,null,2817195,null,21575,null,162,null,155,null,2817033,null,21588,null,71935,null,4469,null,349307,null,11256,null,442464,null,12279,null,814927,null,13089,null,571896,null,13035,null,566504,null,11315,null,6379113,null,25685,null,3731477,null,24313,null,2647636,null,20525,null,1198335,null,16919,null,622919,null,13035,null,303738,null,9235,null,267595,null,7832,null,149351,null,5984,null,105698,null,4213,null,0400000US06,California,06
3389558,null,10370,null,1697232,null,7223,null,885553,null,10871,null,49,null,80,null,885504,null,10856,null,19150,null,2779,null,75841,null,5287,null,119477,null,5978,null,239063,null,7517,null,189986,null,6662,null,241987,null,5646,null,811679,null,10610,null,343579,null,7544,null,468100,null,10260,null,209381,null,7744,null,101534,null,4950,null,56868,null,4525,null,51559,null,3523,null,23893,null,2483,null,24865,null,2402,null,1692326,null,5325,null,620551,null,10098,null,70,null,117,null,620481,null,10127,null,17319,null,2478,null,77702,null,4442,null,113283,null,4940,null,209712,null,6926,null,121183,null,4873,null,81282,null,4003,null,1071775,null,9621,null,540930,null,7724,null,530845,null,8276,null,264035,null,6956,null,124049,null,4879,null,59729,null,3639,null,53031,null,3541,null,19898,null,2157,null,10103,null,1425,null,0400000US08,Colorado,08
2273507,null,8440,null,1091994,null,5106,null,564157,null,7538,null,49,null,80,null,564108,null,7534,null,6222,null,1273,null,21442,null,2635,null,46365,null,3476,null,129551,null,5103,null,143103,null,5801,null,217425,null,6413,null,527837,null,7910,null,256262,null,6878,null,271575,null,6903,null,119847,null,4695,null,50100,null,3787,null,32187,null,2876,null,30886,null,2521,null,18342,null,1968,null,20213,null,2092,null,1181513,null,4405,null,405055,null,7086,null,0,null,277,null,405055,null,7086,null,8550,null,1235,null,27090,null,2724,null,54890,null,3819,null,133607,null,4971,null,96002,null,4987,null,84916,null,4984,null,776458,null,8152,null,407586,null,6425,null,368872,null,8219,null,163170,null,5688,null,83975,null,5122,null,45243,null,3040,null,42648,null,3282,null,23282,null,2104,null,10554,null,1565,null,0400000US09,Connecticut,09
518453,null,3004,null,249620,null,2149,null,126174,null,3936,null,0,null,263,null,126174,null,3936,null,1602,null,758,null,9170,null,1817,null,16941,null,2092,null,36197,null,2912,null,31918,null,2246,null,30346,null,2501,null,123446,null,3834,null,66252,null,3035,null,57194,null,3208,null,25203,null,2170,null,12648,null,1817,null,6911,null,1271,null,5178,null,903,null,4108,null,791,null,3146,null,690,null,268833,null,1499,null,93775,null,3515,null,0,null,263,null,93775,null,3515,null,1522,null,548,null,8685,null,1445,null,19505,null,2243,null,32233,null,2735,null,19506,null,1964,null,12324,null,1668,null,175058,null,3868,null,99084,null,4017,null,75974,null,3196,null,39502,null,2523,null,16529,null,2239,null,8352,null,1320,null,7350,null,1282,null,2740,null,595,null,1501,null,523,null,0400000US10,Delaware,10
204633,null,2711,null,101563,null,1364,null,60952,null,2320,null,0,null,296,null,60952,null,2320,null,267,null,204,null,2100,null,855,null,3155,null,929,null,9340,null,1584,null,11126,null,1685,null,34964,null,2225,null,40611,null,2574,null,18348,null,2030,null,22263,null,2071,null,7878,null,1354,null,3972,null,1197,null,2908,null,956,null,2737,null,837,null,2172,null,646,null,2596,null,682,null,103070,null,1854,null,51816,null,2318,null,78,null,130,null,51738,null,2330,null,685,null,423,null,1952,null,921,null,2825,null,925,null,10787,null,1693,null,12414,null,1545,null,23075,null,1730,null,51254,null,2694,null,27829,null,2438,null,23425,null,2141,null,9083,null,1533,null,4196,null,1072,null,2368,null,802,null,3709,null,980,null,1932,null,620,null,2137,null,642,null,0400000US11,District of Columbia,11
11774316,null,23023,null,5748142,null,14304,null,2545172,null,21900,null,124,null,148,null,2545048,null,21864,null,55060,null,4535,null,308767,null,10605,null,443307,null,13027,null,752959,null,13778,null,476971,null,10376,null,507984,null,10377,null,3202970,null,23091,null,1889363,null,17930,null,1313607,null,18213,null,580473,null,12301,null,335427,null,10292,null,160814,null,7704,null,132593,null,6406,null,50800,null,3897,null,53500,null,3782,null,6026174,null,11728,null,1911562,null,19910,null,263,null,338,null,1911299,null,19927,null,49411,null,3968,null,312646,null,12094,null,441349,null,11783,null,639601,null,12863,null,292286,null,9088,null,176006,null,6088,null,4114612,null,22632,null,2690031,null,19502,null,1424581,null,16662,null,696070,null,12351,null,375234,null,9688,null,159940,null,6566,null,126263,null,5424,null,49153,null,3957,null,17921,null,1929,null,0400000US12,Florida,12
