B15002C_001E,B15002C_001EA,B15002C_001M,B15002C_001MA,B15002C_002E,B15002C_002EA,B15002C_002M,B15002C_002MA,B15002C_003E,B15002C_003EA,B15002C_003M,B15002C_003MA,B15002C_004E,B15002C_004EA,B15002C_004M,B15002C_004MA,B15002C_005E,B15002C_005EA,B15002C_005M,B15002C_005MA,B15002C_006E,B15002C_006EA,B15002C_006M,B15002C_006MA,B15002C_007E,B15002C_007EA,B15002C_007M,B15002C_007MA,B15002C_008E,B15002C_008EA,B15002C_008M,B15002C_008MA,B15002C_009E,B15002C_009EA,B15002C_009M,B15002C_009MA,B15002C_010E,B15002C_010EA,B15002C_010M,B15002C_010MA,B15002C_011E,B15002C_011EA,B15002C_011M,B15002C_011MA,B15002C_012E,B15002C_012EA,B15002C_012M,B15002C_012MA,B15002C_013E,B15002C_013EA,B15002C_013M,B15002C_013MA,B15002C_014E,B15002C_014EA,B15002C_014M,B15002C_014MA,B15002C_015E,B15002C_015EA,B15002C_015M,B15002C_015MA,B15002C_016E,B15002C_016EA,B15002C_016M,B15002C_016MA,B15002C_017E,B15002C_017EA,B15002C_017M,B15002C_017MA,B15002C_018E,B15002C_018EA,B15002C_018M,B15002C_018MA,B15002C_019E,B15002C_019EA,B15002C_019M,B15002C_019MA,GEO_ID,NAME,state
15583,null,1922,null,7702,null,1328,null,1258,null,712,null,879,null,439,null,2049,null,593,null,608,null,325,null,1434,null,512,null,722,null,350,null,483,null,244,null,269,null,191,null,7881,null,1163,null,1036,null,447,null,1269,null,563,null,1425,null,502,null,597,null,309,null,1685,null,555,null,802,null,499,null,592,null,343,null,475,null,325,null,0400000US01,Alabama,01
50526,null,2152,null,24415,null,1625,null,2267,null,403,null,2928,null,815,null,9001,null,1207,null,2253,null,614,null,5959,null,926,null,609,null,336,null,865,null,508,null,533,null,442,null,26111,null,1291,null,2047,null,363,null,2233,null,487,null,7358,null,979,null,2358,null,526,null,8351,null,1294,null,1423,null,540,null,1735,null,472,null,606,null,354,null,0400000US02,Alaska,02
154704,null,4208,null,70555,null,2158,null,8384,null,1553,null,12731,null,1604,null,20593,null,2102,null,3258,null,903,null,16077,null,2102,null,4552,null,1163,null,2988,null,862,null,1972,null,1034,null,84149,null,3124,null,11956,null,1692,null,13273,null,2235,null,19050,null,2355,null,4606,null,1297,null,22540,null,2244,null,5839,null,1266,null,4009,null,1065,null,2876,null,820,null,0400000US04,Arizona,04
11394,null,1784,null,5591,null,1193,null,890,null,480,null,369,null,306,null,1296,null,530,null,649,null,388,null,1180,null,690,null,290,null,282,null,574,null,455,null,343,null,290,null,5803,null,1054,null,568,null,379,null,518,null,332,null,1219,null,502,null,331,null,223,null,1471,null,716,null,417,null,226,null,1010,null,515,null,269,null,182,null,0400000US05,Arkansas,05
186282,null,7217,null,91400,null,4838,null,11320,null,1909,null,13432,null,1814,null,18139,null,2170,null,5900,null,1238,null,24697,null,2680,null,5657,null,1265,null,9162,null,1469,null,3093,null,878,null,94882,null,4676,null,11152,null,1889,null,13084,null,1850,null,19614,null,2407,null,3512,null,805,null,26353,null,2555,null,7181,null,1363,null,9003,null,1746,null,4983,null,1004,null,0400000US06,California,06
33180,null,3554,null,16829,null,2498,null,1171,null,783,null,2168,null,805,null,3608,null,1054,null,1451,null,677,null,5147,null,1110,null,896,null,519,null,1936,null,838,null,452,null,385,null,16351,null,2019,null,686,null,378,null,2199,null,881,null,3063,null,728,null,1288,null,499,null,4899,null,1075,null,2065,null,745,null,1509,null,591,null,642,null,353,null,0400000US08,Colorado,08
5732,null,1539,null,2805,null,992,null,403,null,529,null,375,null,249,null,996,null,532,null,287,null,238,null,499,null,335,null,0,null,277,null,187,null,147,null,58,null,98,null,2927,null,814,null,209,null,182,null,341,null,269,null,473,null,329,null,193,null,233,null,898,null,443,null,329,null,318,null,189,null,148,null,295,null,245,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
38214,null,3801,null,20402,null,2760,null,3215,null,1162,null,2166,null,932,null,4811,null,1395,null,1308,null,801,null,4243,null,1464,null,1719,null,739,null,1981,null,799,null,959,null,400,null,17812,null,1901,null,1823,null,919,null,1900,null,782,null,3739,null,867,null,964,null,554,null,5079,null,1060,null,1061,null,559,null,2308,null,905,null,938,null,424,null,0400000US12,Florida,12
