B07008_001E,B07008_001EA,B07008_001M,B07008_001MA,B07008_002E,B07008_002EA,B07008_002M,B07008_002MA,B07008_003E,B07008_003EA,B07008_003M,B07008_003MA,B07008_004E,B07008_004EA,B07008_004M,B07008_004MA,B07008_005E,B07008_005EA,B07008_005M,B07008_005MA,B07008_006E,B07008_006EA,B07008_006M,B07008_006MA,B07008_007E,B07008_007EA,B07008_007M,B07008_007MA,B07008_008E,B07008_008EA,B07008_008M,B07008_008MA,B07008_009E,B07008_009EA,B07008_009M,B07008_009MA,B07008_010E,B07008_010EA,B07008_010M,B07008_010MA,B07008_011E,B07008_011EA,B07008_011M,B07008_011MA,B07008_012E,B07008_012EA,B07008_012M,B07008_012MA,B07008_013E,B07008_013EA,B07008_013M,B07008_013MA,B07008_014E,B07008_014EA,B07008_014M,B07008_014MA,B07008_015E,B07008_015EA,B07008_015M,B07008_015MA,B07008_016E,B07008_016EA,B07008_016M,B07008_016MA,B07008_017E,B07008_017EA,B07008_017M,B07008_017MA,B07008_018E,B07008_018EA,B07008_018M,B07008_018MA,B07008_019E,B07008_019EA,B07008_019M,B07008_019MA,B07008_020E,B07008_020EA,B07008_020M,B07008_020MA,B07008_021E,B07008_021EA,B07008_021M,B07008_021MA,B07008_022E,B07008_022EA,B07008_022M,B07008_022MA,B07008_023E,B07008_023EA,B07008_023M,B07008_023MA,B07008_024E,B07008_024EA,B07008_024M,B07008_024MA,B07008_025E,B07008_025EA,B07008_025M,B07008_025MA,B07008_026E,B07008_026EA,B07008_026M,B07008_026MA,B07008_027E,B07008_027EA,B07008_027M,B07008_027MA,B07008_028E,B07008_028EA,B07008_028M,B07008_028MA,B07008_029E,B07008_029EA,B07008_029M,B07008_029MA,B07008_030E,B07008_030EA,B07008_030M,B07008_030MA,B07008_031E,B07008_031EA,B07008_031M,B07008_031MA,B07008_032E,B07008_032EA,B07008_032M,B07008_032MA,B07008_033E,B07008_033EA,B07008_033M,B07008_033MA,B07008_034E,B07008_034EA,B07008_034M,B07008_034MA,B07008_035E,B07008_035EA,B07008_035M,B07008_035MA,B07008_036E,B07008_036EA,B07008_036M,B07008_036MA,GEO_ID,NAME,state
3772855,null,3273,null,1064937,null,14216,null,1874670,null,22423,null,451913,null,12629,null,104369,null,5217,null,276966,null,7224,null,3212788,null,15141,null,813749,null,14709,null,1693958,null,22598,null,373274,null,10594,null,77805,null,4572,null,254002,null,7492,null,329475,null,10623,null,146811,null,8120,null,103582,null,6688,null,46402,null,4363,null,17346,null,2205,null,15334,null,2041,null,120737,null,7183,null,57460,null,5210,null,32805,null,4556,null,19524,null,2474,null,5834,null,1207,null,5114,null,1100,null,97113,null,7647,null,41192,null,4175,null,39228,null,4480,null,11523,null,2010,null,3265,null,904,null,1905,null,582,null,12742,null,2367,null,5725,null,1748,null,5097,null,1382,null,1190,null,536,null,119,null,133,null,611,null,433,null,0400000US01,Alabama,01
546524,null,1350,null,186179,null,5441,null,264781,null,6689,null,63987,null,4889,null,11745,null,1738,null,19832,null,1827,null,426649,null,6685,null,128710,null,5213,null,225596,null,6299,null,47616,null,4054,null,7240,null,1258,null,17487,null,1594,null,66693,null,5697,null,32321,null,4251,null,20445,null,2784,null,9059,null,1934,null,2996,null,1068,null,1872,null,682,null,16278,null,2444,null,9090,null,1707,null,4257,null,1309,null,2405,null,740,null,270,null,228,null,256,null,224,null,32070,null,4208,null,13434,null,2311,null,12414,null,2655,null,4766,null,1883,null,1239,null,568,null,217,null,245,null,4834,null,1804,null,2624,null,1424,null,2069,null,794,null,141,null,196,null,0,null,244,null,0,null,244,null,0400000US02,Alaska,02
5135919,null,1656,null,1642390,null,22361,null,2486891,null,28766,null,624902,null,16736,null,96830,null,5612,null,284906,null,8054,null,4122105,null,24842,null,1196719,null,21722,null,2126224,null,25268,null,482653,null,14826,null,64433,null,4702,null,252076,null,7510,null,695623,null,23316,null,313280,null,12929,null,234817,null,14139,null,101847,null,7346,null,24613,null,3618,null,21066,null,2750,null,92585,null,7003,null,40819,null,4088,null,32818,null,3880,null,13944,null,2672,null,1987,null,644,null,3017,null,986,null,186322,null,9164,null,76450,null,6433,null,73028,null,6442,null,24191,null,3326,null,5006,null,1601,null,7647,null,1734,null,39284,null,5412,null,15122,null,2899,null,20004,null,3411,null,2267,null,893,null,791,null,535,null,1100,null,665,null,0400000US04,Arizona,04
2297928,null,2637,null,587718,null,10254,null,1194886,null,15910,null,288924,null,8200,null,59951,null,5077,null,166449,null,5489,null,1905156,null,14792,null,428731,null,11431,null,1052699,null,15805,null,232724,null,7293,null,41250,null,4001,null,149752,null,5217,null,232820,null,13023,null,91098,null,7988,null,85887,null,7429,null,34721,null,3694,null,11146,null,2226,null,9968,null,1641,null,86223,null,6442,null,39263,null,4036,null,27161,null,3914,null,12608,null,1947,null,3840,null,1228,null,3351,null,881,null,67241,null,5410,null,25693,null,3909,null,26251,null,3420,null,8690,null,1610,null,3420,null,1140,null,3187,null,1069,null,6488,null,1736,null,2933,null,915,null,2888,null,1082,null,181,null,224,null,295,null,275,null,191,null,196,null,0400000US05,Arkansas,05
29134110,null,3342,null,10330973,null,45360,null,13824174,null,54598,null,2783113,null,29074,null,667264,null,14281,null,1528586,null,17160,null,24423115,null,51642,null,8082657,null,47866,null,12154991,null,49138,null,2298621,null,26154,null,503913,null,13541,null,1382933,null,14922,null,3174936,null,40582,null,1493833,null,26180,null,1127821,null,24924,null,335439,null,11556,null,119989,null,6243,null,97854,null,5317,null,930963,null,23446,null,487463,null,16223,null,288610,null,12660,null,99896,null,5160,null,29372,null,2938,null,25622,null,2686,null,386571,null,14630,null,179526,null,9016,null,144690,null,8518,null,39319,null,3775,null,9130,null,1857,null,13906,null,2002,null,218525,null,11591,null,87494,null,7065,null,108062,null,7749,null,9838,null,1799,null,4860,null,1463,null,8271,null,1609,null,0400000US06,California,06
3991744,null,2059,null,1222398,null,14486,null,2072460,null,18681,null,450063,null,10034,null,69832,null,5010,null,176991,null,6314,null,3237224,null,19130,null,860052,null,13598,null,1818531,null,18522,null,357256,null,9462,null,44034,null,3632,null,157351,null,5822,null,387287,null,14427,null,185852,null,10936,null,130216,null,8241,null,48584,null,3242,null,13471,null,2241,null,9164,null,1409,null,192667,null,10430,null,97985,null,7134,null,54228,null,4907,null,27111,null,3390,null,7105,null,1429,null,6238,null,1497,null,149104,null,8139,null,66786,null,5047,null,58592,null,5445,null,15801,null,2421,null,4193,null,1565,null,3732,null,1114,null,25462,null,3272,null,11723,null,2331,null,10893,null,2115,null,1311,null,514,null,1029,null,640,null,506,null,377,null,0400000US08,Colorado,08
2857602,null,1159,null,922175,null,11151,null,1420022,null,16580,null,298566,null,8622,null,42026,null,3597,null,174813,null,4911,null,2522602,null,10585,null,746789,null,13099,null,1322750,null,16361,null,260117,null,8112,null,32149,null,3283,null,160797,null,4873,null,197706,null,8136,null,98528,null,7075,null,55961,null,5302,null,27114,null,2727,null,6607,null,1367,null,9496,null,1426,null,54596,null,4522,null,33593,null,3472,null,11166,null,2303,null,6708,null,1238,null,1156,null,480,null,1973,null,546,null,63647,null,5148,null,34479,null,3701,null,21170,null,2815,null,4026,null,1132,null,1885,null,669,null,2087,null,662,null,19051,null,2990,null,8786,null,1766,null,8975,null,2003,null,601,null,364,null,229,null,225,null,460,null,364,null,0400000US09,Connecticut,09
713071,null,782,null,225987,null,5910,null,345234,null,8432,null,77996,null,3940,null,15849,null,2755,null,48005,null,2964,null,610186,null,7295,null,173646,null,6913,null,313775,null,8242,null,66641,null,3631,null,12113,null,2466,null,44011,null,2849,null,63532,null,5554,null,30483,null,3300,null,20815,null,3198,null,7056,null,1584,null,2106,null,857,null,3072,null,983,null,6199,null,1261,null,3807,null,1040,null,871,null,457,null,816,null,297,null,518,null,488,null,187,null,151,null,28201,null,4259,null,15591,null,3010,null,7665,null,1578,null,3409,null,956,null,1000,null,632,null,536,null,315,null,4953,null,2281,null,2460,null,1604,null,2108,null,1113,null,74,null,89,null,112,null,139,null,199,null,185,null,0400000US10,Delaware,10
504809,null,352,null,281355,null,6557,null,131544,null,6681,null,49330,null,3428,null,14771,null,2452,null,27809,null,2339,null,422028,null,5982,null,223926,null,7148,null,116509,null,6332,null,43893,null,3163,null,11556,null,2256,null,26144,null,2226,null,40051,null,4142,null,28175,null,3502,null,6238,null,1641,null,2439,null,743,null,2021,null,682,null,1178,null,589,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,35917,null,3481,null,25806,null,2764,null,5635,null,1377,null,2795,null,1110,null,1194,null,570,null,487,null,386,null,6813,null,1836,null,3448,null,1084,null,3162,null,1337,null,203,null,264,null,0,null,296,null,0,null,296,null,0400000US11,District of Columbia,11
15173805,null,3705,null,4500857,null,30263,null,7298448,null,43978,null,1896189,null,26462,null,371531,null,10503,null,1106780,null,14971,null,12735785,null,35083,null,3433053,null,30972,null,6478605,null,44172,null,1546165,null,24674,null,269422,null,8068,null,1008540,null,14403,null,1455368,null,27530,null,642041,null,16651,null,477535,null,16474,null,213950,null,9583,null,64499,null,5142,null,57343,null,4887,null,486866,null,18057,null,236962,null,10310,null,137108,null,9284,null,73746,null,6333,null,22580,null,3781,null,16470,null,2406,null,390588,null,15813,null,147688,null,8486,null,160340,null,9481,null,51577,null,5089,null,11465,null,2099,null,19518,null,2253,null,105198,null,8511,null,41113,null,5344,null,44860,null,4381,null,10751,null,2128,null,3565,null,1120,null,4909,null,1139,null,0400000US12,Florida,12
