C06001_001E,C06001_001EA,C06001_001M,C06001_001MA,C06001_002E,C06001_002EA,C06001_002M,C06001_002MA,C06001_003E,C06001_003EA,C06001_003M,C06001_003MA,C06001_004E,C06001_004EA,C06001_004M,C06001_004MA,C06001_005E,C06001_005EA,C06001_005M,C06001_005MA,C06001_006E,C06001_006EA,C06001_006M,C06001_006MA,C06001_007E,C06001_007EA,C06001_007M,C06001_007MA,C06001_008E,C06001_008EA,C06001_008M,C06001_008MA,C06001_009E,C06001_009EA,C06001_009M,C06001_009MA,C06001_010E,C06001_010EA,C06001_010M,C06001_010MA,C06001_011E,C06001_011EA,C06001_011M,C06001_011MA,C06001_012E,C06001_012EA,C06001_012M,C06001_012MA,C06001_013E,C06001_013EA,C06001_013M,C06001_013MA,C06001_014E,C06001_014EA,C06001_014M,C06001_014MA,C06001_015E,C06001_015EA,C06001_015M,C06001_015MA,C06001_016E,C06001_016EA,C06001_016M,C06001_016MA,C06001_017E,C06001_017EA,C06001_017M,C06001_017MA,C06001_018E,C06001_018EA,C06001_018M,C06001_018MA,C06001_019E,C06001_019EA,C06001_019M,C06001_019MA,C06001_020E,C06001_020EA,C06001_020M,C06001_020MA,C06001_021E,C06001_021EA,C06001_021M,C06001_021MA,C06001_022E,C06001_022EA,C06001_022M,C06001_022MA,C06001_023E,C06001_023EA,C06001_023M,C06001_023MA,C06001_024E,C06001_024EA,C06001_024M,C06001_024MA,C06001_025E,C06001_025EA,C06001_025M,C06001_025MA,C06001_026E,C06001_026EA,C06001_026M,C06001_026MA,C06001_027E,C06001_027EA,C06001_027M,C06001_027MA,C06001_028E,C06001_028EA,C06001_028M,C06001_028MA,C06001_029E,C06001_029EA,C06001_029M,C06001_029MA,C06001_030E,C06001_030EA,C06001_030M,C06001_030MA,C06001_031E,C06001_031EA,C06001_031M,C06001_031MA,C06001_032E,C06001_032EA,C06001_032M,C06001_032MA,C06001_033E,C06001_033EA,C06001_033M,C06001_033MA,C06001_034E,C06001_034EA,C06001_034M,C06001_034MA,C06001_035E,C06001_035EA,C06001_035M,C06001_035MA,C06001_036E,C06001_036EA,C06001_036M,C06001_036MA,C06001_037E,C06001_037EA,C06001_037M,C06001_037MA,C06001_038E,C06001_038EA,C06001_038M,C06001_038MA,C06001_039E,C06001_039EA,C06001_039M,C06001_039MA,C06001_040E,C06001_040EA,C06001_040M,C06001_040MA,C06001_041E,C06001_041EA,C06001_041M,C06001_041MA,C06001_042E,C06001_042EA,C06001_042M,C06001_042MA,C06001_043E,C06001_043EA,C06001_043M,C06001_043MA,C06001_044E,C06001_044EA,C06001_044M,C06001_044MA,C06001_045E,C06001_045EA,C06001_045M,C06001_045MA,GEO_ID,NAME,state
4708708,null,0,*****,313871,null,2930,null,812304,null,3177,null,466551,null,5464,null,1239426,null,5484,null,673931,null,4043,null,553579,null,2411,null,354322,null,2653,null,294724,null,2071,null,3304598,null,18840,null,273000,null,4259,null,639238,null,7537,null,317182,null,6673,null,791589,null,10144,null,436901,null,6742,null,381167,null,5681,null,252035,null,4918,null,213486,null,3689,null,1219841,null,18034,null,37678,null,3348,null,152861,null,7030,null,128105,null,5820,null,363334,null,8944,null,208841,null,5786,null,159005,null,5273,null,94232,null,4153,null,75785,null,3387,null,37270,null,3229,null,922,null,429,null,6253,null,1320,null,4890,null,1366,null,14302,null,2094,null,7563,null,1279,null,2596,null,757,null,418,null,252,null,326,null,344,null,146999,null,4422,null,2271,null,810,null,13952,null,1910,null,16374,null,2221,null,70201,null,3831,null,20626,null,2335,null,10811,null,1759,null,7637,null,1203,null,5127,null,1115,null,0400000US01,Alabama,01
698473,null,0,*****,54781,null,1295,null,128731,null,1234,null,83783,null,2509,null,192979,null,3064,null,107088,null,2023,null,79168,null,1283,null,32134,null,1548,null,19809,null,1043,null,281461,null,6860,null,45149,null,1687,null,85986,null,3022,null,47312,null,3359,null,61149,null,3641,null,20059,null,1953,null,13122,null,1293,null,4879,null,774,null,3805,null,668,null,351932,null,6470,null,8202,null,1350,null,36683,null,2927,null,28414,null,2620,null,109085,null,3830,null,74039,null,2143,null,58280,null,1561,null,24058,null,875,null,13171,null,774,null,16231,null,2333,null,1371,null,753,null,2291,null,798,null,3121,null,953,null,4387,null,982,null,3197,null,967,null,1690,null,769,null,47,null,80,null,127,null,159,null,48849,null,3412,null,59,null,100,null,3771,null,1150,null,4936,null,1353,null,18358,null,1981,null,9793,null,1236,null,6076,null,935,null,3150,null,1053,null,2706,null,830,null,0400000US02,Alaska,02
6595778,null,0,*****,516587,null,1576,null,1215277,null,1691,null,615683,null,3306,null,1828399,null,4189,null,852944,null,2355,null,699809,null,1594,null,454454,null,2051,null,412625,null,1779,null,2484600,null,24067,null,454639,null,5659,null,836845,null,11415,null,299901,null,8411,null,529296,null,12722,null,176593,null,6692,null,101215,null,4635,null,45221,null,2938,null,40890,null,3234,null,3111835,null,25694,null,54016,null,5254,null,302798,null,10853,null,222139,null,7609,null,839391,null,13086,null,519219,null,6899,null,495466,null,4752,null,348037,null,4554,null,330769,null,3939,null,73967,null,5172,null,3338,null,1252,null,10616,null,2075,null,8956,null,1981,null,25600,null,2948,null,14644,null,1913,null,5737,null,1263,null,2570,null,842,null,2506,null,809,null,925376,null,20437,null,4594,null,1248,null,65018,null,5086,null,84687,null,6209,null,434112,null,12409,null,142488,null,6295,null,97391,null,4666,null,58626,null,3975,null,38460,null,2993,null,0400000US04,Arizona,04
2889450,null,0,*****,202311,null,2239,null,505416,null,2902,null,277809,null,4918,null,754181,null,6200,null,399767,null,4196,null,337384,null,2212,null,221930,null,2065,null,190652,null,1862,null,1767599,null,15241,null,172856,null,3495,null,368846,null,7661,null,172927,null,5767,null,411901,null,7501,null,211305,null,5200,null,188179,null,5240,null,128527,null,3470,null,113058,null,3017,null,983126,null,15399,null,28156,null,2771,null,122801,null,7255,null,87210,null,4975,null,279077,null,7654,null,167994,null,4355,null,137753,null,4842,null,87271,null,3376,null,72864,null,3280,null,18494,null,2311,null,256,null,228,null,3169,null,1147,null,2607,null,1051,null,6481,null,1435,null,3440,null,886,null,2034,null,705,null,295,null,214,null,212,null,217,null,120231,null,4717,null,1043,null,593,null,10600,null,1942,null,15065,null,2055,null,56722,null,3628,null,17028,null,2633,null,9418,null,1467,null,5837,null,1032,null,4518,null,1017,null,0400000US05,Arkansas,05
36961664,null,0,*****,2749180,null,3343,null,6685922,null,3504,null,3744453,null,5088,null,10599205,null,7417,null,5204985,null,5160,null,3834688,null,3570,null,2179392,null,3197,null,1963839,null,2721,null,19849289,null,56259,null,2583919,null,8102,null,5737121,null,21819,null,2630204,null,17499,null,4579970,null,35297,null,1995109,null,16577,null,1309349,null,15196,null,558205,null,8621,null,455412,null,8870,null,6741857,null,41438,null,100520,null,5372,null,376528,null,13825,null,354198,null,11481,null,1638125,null,19943,null,1216595,null,13173,null,1232321,null,13283,null,890101,null,9019,null,933469,null,8665,null,423760,null,12810,null,17307,null,2152,null,54950,null,4229,null,43794,null,3768,null,143326,null,7114,null,81910,null,4464,null,44981,null,3152,null,18598,null,2048,null,18894,null,2251,null,9946758,null,47007,null,47434,null,4274,null,517323,null,15119,null,716257,null,13662,null,4237784,null,30925,null,1911371,null,15096,null,1248037,null,11431,null,712488,null,7763,null,556064,null,8677,null,0400000US06,California,06
5024748,null,0,*****,364714,null,1862,null,863375,null,2140,null,503291,null,3743,null,1443426,null,5178,null,744900,null,3570,null,571101,null,1983,null,297505,null,1961,null,236436,null,2176,null,2127589,null,18706,null,318064,null,4171,null,596354,null,8551,null,246889,null,7098,null,461245,null,9797,null,210572,null,6218,null,144955,null,4696,null,80001,null,3588,null,69509,null,3738,null,2344863,null,20730,null,41613,null,3349,null,218044,null,8602,null,192744,null,7258,null,734866,null,10876,null,442339,null,7323,null,377408,null,5292,null,190358,null,3795,null,147491,null,3998,null,65681,null,4562,null,1834,null,674,null,8521,null,1852,null,8256,null,2004,null,23559,null,2344,null,14552,null,1888,null,5495,null,1309,null,1718,null,705,null,1746,null,886,null,486615,null,14663,null,3203,null,941,null,40456,null,4907,null,55402,null,4010,null,223756,null,8716,null,77437,null,4726,null,43243,null,3352,null,25428,null,2275,null,17690,null,2111,null,0400000US08,Colorado,08
3518288,null,0,*****,209369,null,1147,null,597984,null,1184,null,340907,null,1838,null,900795,null,2571,null,562514,null,1862,null,419682,null,1385,null,248187,null,1089,null,238850,null,814,null,1973670,null,16511,null,179158,null,2890,null,447900,null,7060,null,214920,null,4739,null,437809,null,7849,null,281424,null,5350,null,191907,null,4911,null,105525,null,3046,null,115027,null,3227,null,963259,null,13079,null,25221,null,2560,null,100012,null,6207,null,77921,null,4477,null,238864,null,6122,null,181650,null,5897,null,155201,null,4711,null,96158,null,3364,null,88232,null,3106,null,121844,null,6367,null,1689,null,726,null,15545,null,2475,null,11891,null,2012,null,38675,null,3006,null,21502,null,2119,null,16734,null,1673,null,9249,null,1130,null,6559,null,1159,null,459515,null,11635,null,3301,null,971,null,34527,null,3789,null,36175,null,3608,null,185447,null,6044,null,77938,null,3608,null,55840,null,3930,null,37255,null,2146,null,29032,null,2046,null,0400000US09,Connecticut,09
885122,null,0,*****,59461,null,256,null,147303,null,374,null,83225,null,1233,null,234720,null,1791,null,128797,null,1062,null,105794,null,1066,null,67653,null,935,null,58169,null,1051,null,406521,null,7961,null,48993,null,1540,null,101931,null,3120,null,38415,null,3132,null,97788,null,4480,null,49421,null,2846,null,35169,null,2464,null,19001,null,1820,null,15803,null,1677,null,392105,null,8423,null,9482,null,1493,null,37778,null,3228,null,35382,null,2909,null,100040,null,4950,null,66957,null,3186,null,60355,null,2434,null,43933,null,1804,null,38178,null,1789,null,12463,null,1928,null,160,null,189,null,1445,null,605,null,1546,null,773,null,3184,null,907,null,3167,null,874,null,1712,null,691,null,504,null,333,null,745,null,617,null,74033,null,4941,null,826,null,592,null,6149,null,1448,null,7882,null,1878,null,33708,null,3160,null,9252,null,1637,null,8558,null,1407,null,4215,null,1140,null,3443,null,1003,null,0400000US10,Delaware,10
599657,null,0,*****,38152,null,772,null,75558,null,772,null,72551,null,601,null,198085,null,915,null,78634,null,676,null,66655,null,731,null,37936,null,844,null,32086,null,565,null,243641,null,5817,null,29536,null,2038,null,56473,null,2498,null,27668,null,2170,null,59191,null,3202,null,31017,null,2222,null,22847,null,2343,null,10142,null,1382,null,6767,null,1415,null,275265,null,6449,null,7016,null,1704,null,14264,null,2140,null,38305,null,1945,null,101255,null,3908,null,35373,null,2541,null,34349,null,2149,null,23213,null,1598,null,21490,null,1519,null,8641,null,1563,null,146,null,192,null,708,null,435,null,1432,null,629,null,3795,null,1143,null,1800,null,807,null,632,null,425,null,44,null,72,null,84,null,124,null,72110,null,4747,null,1454,null,834,null,4113,null,1646,null,5146,null,1299,null,33844,null,2923,null,10444,null,1349,null,8827,null,1318,null,4537,null,1033,null,3745,null,926,null,0400000US11,District of Columbia,11
18537969,null,0,*****,1163157,null,2501,null,2894262,null,3333,null,1679606,null,7726,null,4779178,null,9400,null,2643396,null,6166,null,2179405,null,4026,null,1565457,null,4471,null,1633508,null,4173,null,6548331,null,38743,null,1051379,null,6135,null,2012413,null,15755,null,885727,null,14660,null,1403367,null,18143,null,564258,null,13148,null,335721,null,7495,null,150228,null,6186,null,145238,null,6540,null,7936994,null,38625,null,85383,null,4977,null,601615,null,13801,null,488476,null,11621,null,1915503,null,18326,null,1343548,null,12166,null,1317874,null,10381,null,1034454,null,7674,null,1150141,null,7437,null,568503,null,18076,null,9535,null,1932,null,72812,null,5575,null,52258,null,5124,null,192335,null,9938,null,94715,null,6082,null,65111,null,4184,null,44537,null,3333,null,37200,null,2970,null,3484141,null,36609,null,16860,null,2459,null,207422,null,9439,null,253145,null,9907,null,1267973,null,19391,null,640875,null,8316,null,460699,null,9571,null,336238,null,7194,null,300929,null,6809,null,0400000US12,Florida,12
