C19101H_001E,C19101H_001EA,C19101H_001M,C19101H_001MA,C19101H_002E,C19101H_002EA,C19101H_002M,C19101H_002MA,C19101H_003E,C19101H_003EA,C19101H_003M,C19101H_003MA,C19101H_004E,C19101H_004EA,C19101H_004M,C19101H_004MA,C19101H_005E,C19101H_005EA,C19101H_005M,C19101H_005MA,C19101H_006E,C19101H_006EA,C19101H_006M,C19101H_006MA,C19101H_007E,C19101H_007EA,C19101H_007M,C19101H_007MA,C19101H_008E,C19101H_008EA,C19101H_008M,C19101H_008MA,C19101H_009E,C19101H_009EA,C19101H_009M,C19101H_009MA,C19101H_010E,C19101H_010EA,C19101H_010M,C19101H_010MA,C19101H_011E,C19101H_011EA,C19101H_011M,C19101H_011MA,GEO_ID,NAME,state
885358,null,9105,null,37243,null,2713,null,26370,null,2288,null,76125,null,4713,null,88048,null,4694,null,141593,null,4823,null,190504,null,6544,null,132059,null,4738,null,121870,null,3694,null,38759,null,2821,null,32787,null,2333,null,0400000US01,Alabama,01
114952,null,3112,null,2856,null,900,null,1372,null,546,null,3958,null,928,null,6369,null,1299,null,12093,null,1644,null,20384,null,1891,null,23193,null,2228,null,26292,null,1775,null,10464,null,1516,null,7971,null,1248,null,0400000US02,Alaska,02
982273,null,10305,null,30225,null,2626,null,21477,null,2517,null,66302,null,4342,null,83657,null,4461,null,137072,null,4639,null,215381,null,7158,null,159179,null,5795,null,166917,null,5659,null,52328,null,3110,null,49735,null,3345,null,0400000US04,Arizona,04
598815,null,6647,null,27755,null,2514,null,22521,null,2300,null,66189,null,4111,null,69376,null,4104,null,102158,null,4478,null,132804,null,5233,null,77150,null,4222,null,66153,null,2968,null,18039,null,1739,null,16670,null,1659,null,0400000US05,Arkansas,05
3918766,null,18081,null,102655,null,5191,null,74565,null,4840,null,214965,null,7079,null,243607,null,6682,null,400490,null,9440,null,661760,null,11128,null,584472,null,11484,null,812331,null,12462,null,391816,null,9539,null,432105,null,9849,null,0400000US06,California,06
930529,null,8517,null,24358,null,2593,null,16736,null,2246,null,48587,null,3799,null,60711,null,4212,null,105555,null,5603,null,191876,null,7017,null,158781,null,5838,null,187519,null,5064,null,71283,null,3652,null,65123,null,3291,null,0400000US08,Colorado,08
675120,null,7735,null,9742,null,1615,null,9141,null,1596,null,24103,null,2376,null,35516,null,2727,null,61180,null,3916,null,115669,null,4811,null,108535,null,4259,null,158380,null,5160,null,70680,null,4108,null,82174,null,4247,null,0400000US09,Connecticut,09
157459,null,3462,null,4105,null,1077,null,1691,null,600,null,8813,null,1512,null,12359,null,1551,null,19087,null,1877,null,32540,null,2024,null,27651,null,2439,null,29953,null,2003,null,11655,null,1546,null,9605,null,1415,null,0400000US10,Delaware,10
34293,null,1916,null,229,null,172,null,315,null,274,null,146,null,145,null,366,null,397,null,874,null,455,null,2238,null,783,null,3351,null,869,null,7422,null,1321,null,6433,null,1020,null,12919,null,1707,null,0400000US11,District of Columbia,11
2881528,null,15843,null,99812,null,5830,null,72763,null,4946,null,226119,null,8249,null,286451,null,9271,null,457488,null,11525,null,618798,null,11590,null,417333,null,8969,null,413747,null,9501,null,139330,null,5295,null,149687,null,5571,null,0400000US12,Florida,12
