B11001G_001E,B11001G_001EA,B11001G_001M,B11001G_001MA,B11001G_002E,B11001G_002EA,B11001G_002M,B11001G_002MA,B11001G_003E,B11001G_003EA,B11001G_003M,B11001G_003MA,B11001G_004E,B11001G_004EA,B11001G_004M,B11001G_004MA,B11001G_005E,B11001G_005EA,B11001G_005M,B11001G_005MA,B11001G_006E,B11001G_006EA,B11001G_006M,B11001G_006MA,B11001G_007E,B11001G_007EA,B11001G_007M,B11001G_007MA,B11001G_008E,B11001G_008EA,B11001G_008M,B11001G_008MA,B11001G_009E,B11001G_009EA,B11001G_009M,B11001G_009MA,GEO_ID,NAME,state
17707,null,1875,null,11826,null,1672,null,7756,null,1246,null,4070,null,1032,null,1325,null,605,null,2745,null,835,null,5881,null,1089,null,4822,null,972,null,1059,null,512,null,0400000US01,Alabama,01
10910,null,1522,null,6871,null,1161,null,3739,null,873,null,3132,null,941,null,1251,null,714,null,1881,null,611,null,4039,null,1106,null,3448,null,1015,null,591,null,373,null,0400000US02,Alaska,02
33070,null,3060,null,21563,null,2316,null,14015,null,1775,null,7548,null,1462,null,2150,null,785,null,5398,null,1229,null,11507,null,1831,null,8482,null,1582,null,3025,null,813,null,0400000US04,Arizona,04
16648,null,2018,null,10599,null,1646,null,6614,null,1399,null,3985,null,1147,null,1091,null,709,null,2894,null,881,null,6049,null,1222,null,5465,null,1233,null,584,null,393,null,0400000US05,Arkansas,05
301207,null,7951,null,196512,null,6151,null,130684,null,5112,null,65828,null,3657,null,16831,null,2188,null,48997,null,3424,null,104695,null,4979,null,75941,null,4173,null,28754,null,2874,null,0400000US06,California,06
37763,null,2981,null,23603,null,2281,null,15844,null,1866,null,7759,null,1601,null,1949,null,717,null,5810,null,1479,null,14160,null,1849,null,10972,null,1543,null,3188,null,1045,null,0400000US08,Colorado,08
15219,null,1821,null,10310,null,1608,null,4946,null,1045,null,5364,null,1082,null,997,null,501,null,4367,null,1027,null,4909,null,1169,null,3902,null,1001,null,1007,null,544,null,0400000US09,Connecticut,09
3730,null,873,null,2323,null,657,null,1240,null,531,null,1083,null,466,null,132,null,160,null,951,null,437,null,1407,null,651,null,1105,null,586,null,302,null,296,null,0400000US10,Delaware,10
3573,null,860,null,837,null,443,null,325,null,212,null,512,null,373,null,91,null,114,null,421,null,362,null,2736,null,821,null,2250,null,816,null,486,null,330,null,0400000US11,District of Columbia,11
88716,null,4433,null,57065,null,3556,null,36929,null,2726,null,20136,null,2019,null,5148,null,1144,null,14988,null,1752,null,31651,null,2726,null,25032,null,2328,null,6619,null,1400,null,0400000US12,Florida,12
33950,null,3111,null,21909,null,2595,null,13386,null,1996,null,8523,null,1701,null,2308,null,887,null,6215,null,1386,null,12041,null,1804,null,9006,null,1421,null,3035,null,996,null,0400000US13,Georgia,13
72897,null,3871,null,55081,null,3543,null,34750,null,2648,null,20331,null,2036,null,6136,null,1451,null,14195,null,1587,null,17816,null,2254,null,11994,null,1763,null,5822,null,1572,null,0400000US15,Hawaii,15
8160,null,1480,null,5345,null,1136,null,3831,null,893,null,1514,null,714,null,371,null,319,null,1143,null,637,null,2815,null,900,null,2358,null,780,null,457,null,384,null,0400000US16,Idaho,16
46479,null,3701,null,28400,null,2732,null,18071,null,1957,null,10329,null,1728,null,2225,null,805,null,8104,null,1481,null,18079,null,2297,null,13666,null,1950,null,4413,null,1117,null,0400000US17,Illinois,17
26713,null,2234,null,17173,null,1986,null,10474,null,1375,null,6699,null,1279,null,1697,null,585,null,5002,null,1148,null,9540,null,1541,null,7778,null,1448,null,1762,null,552,null,0400000US18,Indiana,18
11178,null,1914,null,7898,null,1625,null,4456,null,993,null,3442,null,1226,null,1074,null,607,null,2368,null,1037,null,3280,null,1000,null,2379,null,931,null,901,null,459,null,0400000US19,Iowa,19
19094,null,1692,null,13508,null,1579,null,7247,null,1065,null,6261,null,1210,null,1905,null,738,null,4356,null,954,null,5586,null,811,null,4582,null,840,null,1004,null,415,null,0400000US20,Kansas,20
16227,null,2134,null,11011,null,1716,null,6621,null,1371,null,4390,null,966,null,982,null,550,null,3408,null,921,null,5216,null,1120,null,4685,null,1104,null,531,null,341,null,0400000US21,Kentucky,21
15125,null,2182,null,9722,null,1698,null,6462,null,1255,null,3260,null,1219,null,690,null,379,null,2570,null,1098,null,5403,null,1195,null,4614,null,1187,null,789,null,421,null,0400000US22,Louisiana,22
8041,null,1248,null,4006,null,810,null,1796,null,536,null,2210,null,826,null,547,null,461,null,1663,null,667,null,4035,null,1039,null,3128,null,877,null,907,null,594,null,0400000US23,Maine,23
26948,null,2604,null,16633,null,2163,null,11098,null,1621,null,5535,null,1192,null,1583,null,673,null,3952,null,966,null,10315,null,1902,null,8472,null,1725,null,1843,null,670,null,0400000US24,Maryland,24
34601,null,3010,null,23767,null,2388,null,13327,null,1519,null,10440,null,1887,null,2709,null,896,null,7731,null,1609,null,10834,null,1700,null,8390,null,1484,null,2444,null,852,null,0400000US25,Massachusetts,25
46711,null,3293,null,28945,null,2484,null,16466,null,1842,null,12479,null,1737,null,2638,null,778,null,9841,null,1543,null,17766,null,2003,null,14101,null,1727,null,3665,null,1006,null,0400000US26,Michigan,26
19792,null,1971,null,11679,null,1586,null,6814,null,1199,null,4865,null,1048,null,918,null,406,null,3947,null,986,null,8113,null,1317,null,5579,null,989,null,2534,null,866,null,0400000US27,Minnesota,27
9553,null,1721,null,6846,null,1449,null,4552,null,1109,null,2294,null,980,null,389,null,379,null,1905,null,886,null,2707,null,1128,null,2440,null,1090,null,267,null,225,null,0400000US28,Mississippi,28
31359,null,3002,null,19089,null,2010,null,11609,null,1593,null,7480,null,1308,null,1618,null,648,null,5862,null,1102,null,12270,null,2037,null,9502,null,1632,null,2768,null,999,null,0400000US29,Missouri,29
4295,null,1040,null,2606,null,763,null,2063,null,709,null,543,null,303,null,123,null,145,null,420,null,251,null,1689,null,562,null,1134,null,462,null,555,null,341,null,0400000US30,Montana,30
10313,null,1250,null,6530,null,1010,null,4136,null,833,null,2394,null,849,null,692,null,374,null,1702,null,690,null,3783,null,857,null,2383,null,720,null,1400,null,599,null,0400000US31,Nebraska,31
22898,null,2462,null,14715,null,2003,null,9641,null,1580,null,5074,null,1188,null,1388,null,669,null,3686,null,981,null,8183,null,1576,null,4826,null,1077,null,3357,null,1278,null,0400000US32,Nevada,32
