B08014_001E,B08014_001EA,B08014_001M,B08014_001MA,B08014_002E,B08014_002EA,B08014_002M,B08014_002MA,B08014_003E,B08014_003EA,B08014_003M,B08014_003MA,B08014_004E,B08014_004EA,B08014_004M,B08014_004MA,B08014_005E,B08014_005EA,B08014_005M,B08014_005MA,B08014_006E,B08014_006EA,B08014_006M,B08014_006MA,B08014_007E,B08014_007EA,B08014_007M,B08014_007MA,B08014_008E,B08014_008EA,B08014_008M,B08014_008MA,B08014_009E,B08014_009EA,B08014_009M,B08014_009MA,B08014_010E,B08014_010EA,B08014_010M,B08014_010MA,B08014_011E,B08014_011EA,B08014_011M,B08014_011MA,B08014_012E,B08014_012EA,B08014_012M,B08014_012MA,B08014_013E,B08014_013EA,B08014_013M,B08014_013MA,B08014_014E,B08014_014EA,B08014_014M,B08014_014MA,B08014_015E,B08014_015EA,B08014_015M,B08014_015MA,B08014_016E,B08014_016EA,B08014_016M,B08014_016MA,B08014_017E,B08014_017EA,B08014_017M,B08014_017MA,B08014_018E,B08014_018EA,B08014_018M,B08014_018MA,B08014_019E,B08014_019EA,B08014_019M,B08014_019MA,B08014_020E,B08014_020EA,B08014_020M,B08014_020MA,B08014_021E,B08014_021EA,B08014_021M,B08014_021MA,GEO_ID,NAME,state
1946149,null,14288,null,38347,null,4279,null,387945,null,9905,null,798684,null,13910,null,463530,null,12761,null,177215,null,8617,null,80428,null,6174,null,1030269,null,11123,null,20702,null,3017,null,162724,null,7057,null,439353,null,9851,null,259059,null,7427,null,100886,null,5197,null,47545,null,3793,null,915880,null,11373,null,17645,null,2576,null,225221,null,7397,null,359331,null,8279,null,204471,null,7468,null,76329,null,4573,null,32883,null,3421,null,0400000US01,Alabama,01
325068,null,6056,null,18472,null,1997,null,68480,null,4494,null,135617,null,6498,null,67230,null,5622,null,20960,null,4079,null,14309,null,3188,null,172014,null,4124,null,9254,null,1577,null,33804,null,2735,null,73014,null,4036,null,36647,null,3413,null,11662,null,2697,null,7633,null,2036,null,153054,null,3954,null,9218,null,1096,null,34676,null,2848,null,62603,null,3639,null,30583,null,3023,null,9298,null,1982,null,6676,null,1624,null,0400000US02,Alaska,02
2735712,null,19607,null,88410,null,7817,null,634724,null,14613,null,1184585,null,18417,null,552509,null,18994,null,200664,null,11888,null,74820,null,8841,null,1486003,null,14218,null,50246,null,5880,null,311769,null,9702,null,660302,null,12836,null,309744,null,12461,null,111389,null,8127,null,42553,null,5593,null,1249709,null,13824,null,38164,null,3926,null,322955,null,9232,null,524283,null,11344,null,242765,null,9415,null,89275,null,6139,null,32267,null,4364,null,0400000US04,Arizona,04
1211878,null,14362,null,24572,null,2713,null,258619,null,8640,null,530822,null,15209,null,275068,null,11302,null,89752,null,6984,null,33045,null,4524,null,641641,null,8913,null,11197,null,1720,null,118237,null,5655,null,291817,null,9257,null,151994,null,6296,null,49341,null,4132,null,19055,null,2795,null,570237,null,9329,null,13375,null,2003,null,140382,null,5870,null,239005,null,8012,null,123074,null,6636,null,40411,null,3671,null,13990,null,2123,null,0400000US05,Arkansas,05
16005470,null,40083,null,557753,null,17943,null,3222515,null,39739,null,6332008,null,51290,null,3510859,null,40677,null,1566775,null,35106,null,815560,null,24381,null,8769368,null,31201,null,310723,null,14259,null,1630984,null,24912,null,3531953,null,29717,null,1955871,null,29012,null,876901,null,20707,null,462936,null,15736,null,7236102,null,27795,null,247030,null,8339,null,1591531,null,22794,null,2800055,null,30476,null,1554988,null,20521,null,689874,null,17934,null,352624,null,12443,null,0400000US06,California,06
2445355,null,15140,null,58334,null,5616,null,494997,null,12528,null,1057655,null,17395,null,535099,null,14037,null,209196,null,10980,null,90074,null,8002,null,1322274,null,11306,null,34101,null,4098,null,238608,null,9089,null,591286,null,11050,null,294239,null,8974,null,111532,null,6738,null,52508,null,5510,null,1123081,null,9765,null,24233,null,2695,null,256389,null,7494,null,466369,null,10264,null,240860,null,7636,null,97664,null,5559,null,37566,null,3363,null,0400000US08,Colorado,08
1686074,null,11527,null,54441,null,5592,null,335816,null,9802,null,724952,null,13605,null,370319,null,14047,null,144949,null,8688,null,55597,null,5934,null,874807,null,7956,null,25816,null,3505,null,152288,null,5946,null,391675,null,8176,null,196967,null,8690,null,78248,null,5152,null,29813,null,3434,null,811267,null,8353,null,28625,null,3281,null,183528,null,5711,null,333277,null,8100,null,173352,null,6656,null,66701,null,4279,null,25784,null,3548,null,0400000US09,Connecticut,09
410119,null,5633,null,12842,null,2303,null,83041,null,5585,null,180751,null,6875,null,90292,null,6335,null,33096,null,4386,null,10097,null,2937,null,208756,null,4066,null,4877,null,1450,null,38329,null,3674,null,96057,null,3895,null,46486,null,3316,null,17304,null,2650,null,5703,null,1792,null,201363,null,4028,null,7965,null,1657,null,44712,null,3278,null,84694,null,4388,null,43806,null,3760,null,15792,null,2176,null,4394,null,1368,null,0400000US10,Delaware,10
286909,null,5171,null,68842,null,4578,null,123929,null,6593,null,72281,null,5593,null,16006,null,2775,null,4352,null,2087,null,1499,null,1060,null,140074,null,3161,null,32162,null,3184,null,56959,null,3441,null,38901,null,3490,null,9451,null,1952,null,1936,null,1131,null,665,null,585,null,146835,null,4053,null,36680,null,3092,null,66970,null,4371,null,33380,null,3327,null,6555,null,1328,null,2416,null,1190,null,834,null,575,null,0400000US11,District of Columbia,11
7852905,null,35012,null,218796,null,13712,null,1934750,null,25377,null,3622208,null,39011,null,1461422,null,33994,null,463952,null,19061,null,151777,null,11903,null,4132041,null,21367,null,119163,null,9861,null,922776,null,15698,null,1960579,null,23654,null,789844,null,21197,null,254345,null,12646,null,85334,null,6570,null,3720864,null,22869,null,99633,null,6741,null,1011974,null,18119,null,1661629,null,22443,null,671578,null,15478,null,209607,null,9460,null,66443,null,6492,null,0400000US12,Florida,12
