B15002I_001E,B15002I_001EA,B15002I_001M,B15002I_001MA,B15002I_002E,B15002I_002EA,B15002I_002M,B15002I_002MA,B15002I_003E,B15002I_003EA,B15002I_003M,B15002I_003MA,B15002I_004E,B15002I_004EA,B15002I_004M,B15002I_004MA,B15002I_005E,B15002I_005EA,B15002I_005M,B15002I_005MA,B15002I_006E,B15002I_006EA,B15002I_006M,B15002I_006MA,B15002I_007E,B15002I_007EA,B15002I_007M,B15002I_007MA,B15002I_008E,B15002I_008EA,B15002I_008M,B15002I_008MA,B15002I_009E,B15002I_009EA,B15002I_009M,B15002I_009MA,B15002I_010E,B15002I_010EA,B15002I_010M,B15002I_010MA,B15002I_011E,B15002I_011EA,B15002I_011M,B15002I_011MA,B15002I_012E,B15002I_012EA,B15002I_012M,B15002I_012MA,B15002I_013E,B15002I_013EA,B15002I_013M,B15002I_013MA,B15002I_014E,B15002I_014EA,B15002I_014M,B15002I_014MA,B15002I_015E,B15002I_015EA,B15002I_015M,B15002I_015MA,B15002I_016E,B15002I_016EA,B15002I_016M,B15002I_016MA,B15002I_017E,B15002I_017EA,B15002I_017M,B15002I_017MA,B15002I_018E,B15002I_018EA,B15002I_018M,B15002I_018MA,B15002I_019E,B15002I_019EA,B15002I_019M,B15002I_019MA,GEO_ID,NAME,state
70526,null,1755,null,38222,null,1567,null,14270,null,1808,null,4666,null,956,null,9599,null,1492,null,982,null,456,null,3854,null,920,null,721,null,354,null,2609,null,798,null,1521,null,546,null,32304,null,1532,null,8523,null,1464,null,5039,null,1355,null,7774,null,1085,null,799,null,377,null,4015,null,999,null,1093,null,458,null,3840,null,914,null,1221,null,407,null,0400000US01,Alabama,01
20875,null,1161,null,11475,null,1177,null,1212,null,573,null,1606,null,691,null,1524,null,703,null,959,null,545,null,3710,null,1293,null,926,null,547,null,884,null,405,null,654,null,384,null,9400,null,614,null,717,null,391,null,564,null,382,null,1571,null,505,null,881,null,400,null,2983,null,717,null,600,null,333,null,1342,null,482,null,742,null,393,null,0400000US02,Alaska,02
1043446,null,1719,null,544750,null,1286,null,114439,null,6961,null,95225,null,5990,null,127094,null,7792,null,22222,null,2861,null,103531,null,7166,null,30824,null,3962,null,38024,null,3954,null,13391,null,1867,null,498696,null,999,null,103301,null,5300,null,78161,null,4689,null,112270,null,5454,null,19311,null,2893,null,102420,null,5524,null,28163,null,3180,null,39208,null,3549,null,15862,null,2107,null,0400000US04,Arizona,04
80013,null,1895,null,41894,null,1747,null,15239,null,2109,null,8556,null,1667,null,8065,null,1730,null,2388,null,776,null,3970,null,1145,null,1335,null,675,null,1821,null,596,null,520,null,352,null,38119,null,1436,null,11965,null,1589,null,5992,null,1136,null,9344,null,1564,null,2289,null,911,null,3738,null,875,null,1413,null,627,null,2345,null,694,null,1033,null,426,null,0400000US05,Arkansas,05
7312489,null,2223,null,3758889,null,1649,null,992458,null,17299,null,662716,null,15254,null,838132,null,17052,null,105628,null,6974,null,638625,null,14597,null,170786,null,6260,null,253336,null,9500,null,97208,null,5321,null,3553600,null,1580,null,956697,null,14047,null,556289,null,13293,null,750513,null,13245,null,81129,null,4302,null,645224,null,12849,null,189861,null,8584,null,264249,null,7776,null,109638,null,4604,null,0400000US06,California,06
535911,null,1680,null,282235,null,1476,null,57044,null,4115,null,48158,null,3769,null,66554,null,3973,null,15496,null,2315,null,49057,null,3320,null,12735,null,1890,null,24108,null,3027,null,9083,null,1345,null,253676,null,1418,null,49348,null,3762,null,42492,null,4051,null,49799,null,3312,null,11796,null,1845,null,50003,null,3899,null,14646,null,1900,null,26324,null,2604,null,9268,null,1346,null,0400000US08,Colorado,08
236735,null,1290,null,116480,null,1052,null,23802,null,2755,null,18252,null,2323,null,31366,null,3310,null,7514,null,1543,null,17390,null,2163,null,4171,null,979,null,9267,null,1569,null,4718,null,717,null,120255,null,772,null,19889,null,2471,null,17634,null,2303,null,27928,null,2657,null,4745,null,1121,null,22816,null,2291,null,8512,null,1509,null,10856,null,1530,null,7875,null,1279,null,0400000US09,Connecticut,09
32175,null,436,null,17307,null,409,null,3866,null,1295,null,3770,null,1426,null,3823,null,1122,null,746,null,490,null,2244,null,791,null,506,null,332,null,1577,null,974,null,775,null,442,null,14868,null,406,null,3585,null,994,null,2548,null,781,null,2982,null,869,null,758,null,473,null,3170,null,844,null,320,null,217,null,1184,null,498,null,321,null,208,null,0400000US10,Delaware,10
33040,null,0,*****,17540,null,0,*****,5665,null,1307,null,2261,null,998,null,1899,null,923,null,176,null,222,null,709,null,320,null,354,null,323,null,3193,null,934,null,3283,null,999,null,15500,null,0,*****,4403,null,1149,null,1213,null,673,null,2195,null,850,null,237,null,242,null,1903,null,775,null,591,null,574,null,1827,null,639,null,3131,null,1005,null,0400000US11,District of Columbia,11
2513758,null,3973,null,1260260,null,2701,null,195129,null,9849,null,152656,null,6972,null,326375,null,11387,null,49849,null,4064,null,200154,null,8094,null,95521,null,5697,null,156571,null,6159,null,84005,null,4854,null,1253498,null,2676,null,188315,null,7573,null,120807,null,5340,null,308178,null,7877,null,36263,null,3721,null,221983,null,8904,null,116702,null,5894,null,179273,null,7471,null,81977,null,5293,null,0400000US12,Florida,12
404624,null,3893,null,234555,null,3257,null,84036,null,5982,null,34666,null,4519,null,51198,null,4763,null,6645,null,1644,null,24668,null,3372,null,8032,null,1682,null,14889,null,1955,null,10421,null,2076,null,170069,null,2658,null,46351,null,3808,null,24193,null,2829,null,35669,null,3379,null,4879,null,1292,null,21736,null,2455,null,10066,null,1623,null,19001,null,2416,null,8174,null,1283,null,0400000US13,Georgia,13
