C15010G_001E,C15010G_001EA,C15010G_001M,C15010G_001MA,C15010G_002E,C15010G_002EA,C15010G_002M,C15010G_002MA,C15010G_003E,C15010G_003EA,C15010G_003M,C15010G_003MA,C15010G_004E,C15010G_004EA,C15010G_004M,C15010G_004MA,C15010G_005E,C15010G_005EA,C15010G_005M,C15010G_005MA,C15010G_006E,C15010G_006EA,C15010G_006M,C15010G_006MA,GEO_ID,NAME,state
6707,null,1237,null,2662,null,1091,null,240,null,188,null,1596,null,486,null,685,null,313,null,1524,null,593,null,0400000US01,Alabama,01
3365,null,1109,null,1291,null,686,null,209,null,316,null,737,null,519,null,766,null,511,null,362,null,244,null,0400000US02,Alaska,02
12110,null,1701,null,4672,null,1130,null,919,null,435,null,1181,null,491,null,2263,null,798,null,3075,null,867,null,0400000US04,Arizona,04
3526,null,907,null,860,null,451,null,332,null,319,null,541,null,349,null,785,null,386,null,1008,null,504,null,0400000US05,Arkansas,05
153388,null,6694,null,59072,null,3563,null,12537,null,1893,null,26306,null,3052,null,8588,null,1326,null,46885,null,3461,null,0400000US06,California,06
15035,null,2187,null,6070,null,1335,null,1375,null,528,null,2607,null,683,null,1602,null,583,null,3381,null,1234,null,0400000US08,Colorado,08
7211,null,1355,null,2649,null,726,null,703,null,426,null,1580,null,598,null,216,null,173,null,2063,null,652,null,0400000US09,Connecticut,09
1663,null,738,null,581,null,413,null,102,null,124,null,466,null,452,null,166,null,172,null,348,null,272,null,0400000US10,Delaware,10
2966,null,840,null,1255,null,519,null,119,null,198,null,163,null,157,null,231,null,285,null,1198,null,452,null,0400000US11,District of Columbia,11
38602,null,2943,null,13068,null,1823,null,3454,null,949,null,8511,null,1455,null,4898,null,1210,null,8671,null,1833,null,0400000US12,Florida,12
16767,null,2432,null,5630,null,1274,null,1021,null,479,null,4369,null,1173,null,1860,null,994,null,3887,null,1096,null,0400000US13,Georgia,13
29461,null,2827,null,9880,null,1678,null,2483,null,1036,null,5672,null,1161,null,3290,null,847,null,8136,null,1366,null,0400000US15,Hawaii,15
2784,null,742,null,1477,null,582,null,205,null,155,null,339,null,206,null,295,null,215,null,468,null,304,null,0400000US16,Idaho,16
24497,null,2180,null,8529,null,1522,null,2118,null,685,null,4276,null,834,null,2387,null,690,null,7187,null,1243,null,0400000US17,Illinois,17
8328,null,1504,null,3381,null,971,null,376,null,240,null,1068,null,529,null,1148,null,530,null,2355,null,661,null,0400000US18,Indiana,18
3151,null,926,null,995,null,417,null,135,null,133,null,503,null,453,null,747,null,402,null,771,null,440,null,0400000US19,Iowa,19
5181,null,1203,null,1703,null,685,null,397,null,255,null,833,null,422,null,755,null,425,null,1493,null,631,null,0400000US20,Kansas,20
3212,null,703,null,1276,null,433,null,241,null,166,null,430,null,275,null,168,null,181,null,1097,null,392,null,0400000US21,Kentucky,21
4094,null,959,null,1475,null,678,null,217,null,198,null,790,null,415,null,544,null,283,null,1068,null,489,null,0400000US22,Louisiana,22
1222,null,501,null,182,null,148,null,284,null,264,null,132,null,137,null,108,null,97,null,516,null,357,null,0400000US23,Maine,23
19008,null,2920,null,8544,null,1611,null,1931,null,762,null,3121,null,913,null,894,null,446,null,4518,null,1396,null,0400000US24,Maryland,24
16767,null,2090,null,8006,null,1450,null,996,null,479,null,2448,null,731,null,789,null,480,null,4528,null,1206,null,0400000US25,Massachusetts,25
16296,null,2024,null,6618,null,1327,null,1441,null,480,null,2905,null,645,null,1393,null,476,null,3939,null,1091,null,0400000US26,Michigan,26
9179,null,1328,null,3513,null,858,null,461,null,244,null,1721,null,614,null,1201,null,519,null,2283,null,763,null,0400000US27,Minnesota,27
2462,null,939,null,802,null,417,null,271,null,314,null,603,null,363,null,437,null,354,null,349,null,311,null,0400000US28,Mississippi,28
9901,null,1639,null,3560,null,970,null,874,null,423,null,1685,null,700,null,1095,null,438,null,2687,null,895,null,0400000US29,Missouri,29
1930,null,565,null,466,null,267,null,204,null,171,null,175,null,162,null,430,null,285,null,655,null,391,null,0400000US30,Montana,30
