B99163_001E,B99163_001EA,B99163_002E,B99163_002EA,B99163_003E,B99163_003EA,B99163_004E,B99163_004EA,B99163_005E,B99163_005EA,GEO_ID,NAME,state
4394837,null,4191173,null,203664,null,7503,null,196161,null,0400000US01,Alabama,01
643692,null,538043,null,105649,null,2172,null,103477,null,0400000US02,Alaska,02
6079191,null,4395579,null,1683612,null,68078,null,1615534,null,0400000US04,Arizona,04
2687139,null,2504624,null,182515,null,5335,null,177180,null,0400000US05,Arkansas,05
34212484,null,19461770,null,14750714,null,441308,null,14309406,null,0400000US06,California,06
4660034,null,3883103,null,776931,null,29774,null,747157,null,0400000US08,Colorado,08
3308919,null,2633025,null,675894,null,21153,null,654741,null,0400000US09,Connecticut,09
825661,null,731261,null,94400,null,3875,null,90525,null,0400000US10,Delaware,10
561505,null,490979,null,70526,null,3276,null,67250,null,0400000US11,District of Columbia,11
17374812,null,12801854,null,4572958,null,132965,null,4439993,null,0400000US12,Florida,12
9084812,null,7950037,null,1134775,null,38729,null,1096046,null,0400000US13,Georgia,13
1206732,null,906731,null,300001,null,10583,null,289418,null,0400000US15,Hawaii,15
1422425,null,1281370,null,141055,null,5122,null,135933,null,0400000US16,Idaho,16
12017820,null,9415760,null,2602060,null,69164,null,2532896,null,0400000US17,Illinois,17
5979302,null,5527011,null,452291,null,17719,null,434572,null,0400000US18,Indiana,18
2809202,null,2625651,null,183551,null,8203,null,175348,null,0400000US19,Iowa,19
2614097,null,2351283,null,262814,null,9384,null,253430,null,0400000US20,Kansas,20
4023706,null,3843284,null,180422,null,7187,null,173235,null,0400000US21,Kentucky,21
4173509,null,3831702,null,341807,null,9524,null,332283,null,0400000US22,Louisiana,22
1246940,null,1156082,null,90858,null,3364,null,87494,null,0400000US23,Maine,23
5319919,null,4503375,null,816544,null,29527,null,787017,null,0400000US24,Maryland,24
6208685,null,4926679,null,1282006,null,50103,null,1231903,null,0400000US25,Massachusetts,25
9354233,null,8492114,null,862119,null,31322,null,830797,null,0400000US26,Michigan,26
4904175,null,4421587,null,482588,null,21991,null,460597,null,0400000US27,Minnesota,27
2731685,null,2629825,null,101860,null,3635,null,98225,null,0400000US28,Mississippi,28
5583484,null,5259716,null,323768,null,13582,null,310186,null,0400000US29,Missouri,29
914065,null,870217,null,43848,null,2235,null,41613,null,0400000US30,Montana,30
1662501,null,1503481,null,159020,null,5792,null,153228,null,0400000US31,Nebraska,31
2440771,null,1746113,null,694658,null,15390,null,679268,null,0400000US32,Nevada,32
1249886,null,1149610,null,100276,null,2819,null,97457,null,0400000US33,New Hampshire,33
8152722,null,5831958,null,2320764,null,63539,null,2257225,null,0400000US34,New Jersey,34
1859881,null,1193998,null,665883,null,17584,null,648299,null,0400000US35,New Mexico,35
18322949,null,13011251,null,5311698,null,203899,null,5107799,null,0400000US36,New York,36
8726819,null,7847684,null,879135,null,29496,null,849639,null,0400000US37,North Carolina,37
604295,null,574291,null,30004,null,1023,null,28981,null,0400000US38,North Dakota,38
10805366,null,10124018,null,681348,null,25526,null,655822,null,0400000US39,Ohio,39
3415068,null,3121089,null,293979,null,11498,null,282481,null,0400000US40,Oklahoma,40
3580799,null,3058070,null,522729,null,17124,null,505605,null,0400000US41,Oregon,41
11860950,null,10718082,null,1142868,null,69775,null,1073093,null,0400000US42,Pennsylvania,42
993039,null,783190,null,209849,null,9861,null,199988,null,0400000US44,Rhode Island,44
4250118,null,3980933,null,269185,null,11908,null,257277,null,0400000US45,South Carolina,45
752710,null,705175,null,47535,null,2091,null,45444,null,0400000US46,South Dakota,46
5873924,null,5521450,null,352474,null,13878,null,338596,null,0400000US47,Tennessee,47
22716319,null,14950108,null,7766211,null,167201,null,7599010,null,0400000US48,Texas,48
2513546,null,2166101,null,347445,null,15543,null,331902,null,0400000US49,Utah,49
589327,null,563234,null,26093,null,1038,null,25055,null,0400000US50,Vermont,50
7357344,null,6365957,null,991387,null,35685,null,955702,null,0400000US51,Virginia,51
6213872,null,5159465,null,1054407,null,31768,null,1022639,null,0400000US53,Washington,53
1712657,null,1674009,null,38648,null,1868,null,36780,null,0400000US54,West Virginia,54
5294278,null,4855586,null,438692,null,20066,null,418626,null,0400000US55,Wisconsin,55
505143,null,470835,null,34308,null,710,null,33598,null,0400000US56,Wyoming,56
3733631,null,170787,null,3562844,null,69343,null,3493501,null,0400000US72,Puerto Rico,72
