B10001_001E,B10001_001EA,B10001_001M,B10001_001MA,B10001_002E,B10001_002EA,B10001_002M,B10001_002MA,B10001_003E,B10001_003EA,B10001_003M,B10001_003MA,B10001_004E,B10001_004EA,B10001_004M,B10001_004MA,GEO_ID,NAME,state
110977,null,7410,null,49014,null,4249,null,34214,null,3721,null,27749,null,2718,null,0400000US01,Alabama,01
12532,null,2255,null,7088,null,1453,null,3480,null,1006,null,1964,null,680,null,0400000US02,Alaska,02
144835,null,10558,null,74484,null,6150,null,41479,null,4569,null,28872,null,2997,null,0400000US04,Arizona,04
58192,null,5218,null,27613,null,3049,null,15958,null,2712,null,14621,null,2247,null,0400000US05,Arkansas,05
735450,null,20387,null,389945,null,11920,null,201857,null,8742,null,143648,null,7611,null,0400000US06,California,06
61202,null,5409,null,30944,null,3585,null,17602,null,2404,null,12656,null,2149,null,0400000US08,Colorado,08
48152,null,5225,null,21953,null,2810,null,14223,null,2150,null,11976,null,2250,null,0400000US09,Connecticut,09
14852,null,2795,null,7385,null,2080,null,4276,null,1359,null,3191,null,1037,null,0400000US10,Delaware,10
13397,null,2789,null,7061,null,1826,null,3798,null,1051,null,2538,null,904,null,0400000US11,District of Columbia,11
315514,null,11408,null,150848,null,7431,null,93571,null,5710,null,71095,null,4590,null,0400000US12,Florida,12
213418,null,10789,null,100651,null,7533,null,61772,null,4754,null,50995,null,4020,null,0400000US13,Georgia,13
40584,null,4166,null,19382,null,2591,null,11172,null,1884,null,10030,null,1780,null,0400000US15,Hawaii,15
18862,null,2379,null,8729,null,1567,null,4899,null,1098,null,5234,null,1318,null,0400000US16,Idaho,16
213258,null,9932,null,111920,null,7501,null,57012,null,4823,null,44326,null,3999,null,0400000US17,Illinois,17
105558,null,5790,null,50812,null,3269,null,30487,null,3638,null,24259,null,2034,null,0400000US18,Indiana,18
26755,null,2870,null,13881,null,2287,null,7846,null,1610,null,5028,null,1045,null,0400000US19,Iowa,19
31443,null,3373,null,13490,null,2359,null,11386,null,1766,null,6567,null,1381,null,0400000US20,Kansas,20
88582,null,6475,null,37764,null,3819,null,29708,null,3107,null,21110,null,3149,null,0400000US21,Kentucky,21
121196,null,7657,null,56343,null,4343,null,37001,null,4300,null,27852,null,3154,null,0400000US22,Louisiana,22
11521,null,1629,null,5511,null,1318,null,2922,null,666,null,3088,null,831,null,0400000US23,Maine,23
106405,null,8584,null,52081,null,4695,null,30313,null,3998,null,24011,null,2549,null,0400000US24,Maryland,24
73562,null,5488,null,34837,null,3426,null,22521,null,2698,null,16204,null,2249,null,0400000US25,Massachusetts,25
134355,null,5955,null,66486,null,4368,null,36852,null,3286,null,31017,null,2414,null,0400000US26,Michigan,26
42631,null,3398,null,22245,null,2120,null,11791,null,1627,null,8595,null,1458,null,0400000US27,Minnesota,27
105511,null,8233,null,51231,null,5205,null,30097,null,3600,null,24183,null,3081,null,0400000US28,Mississippi,28
92581,null,6752,null,45843,null,4144,null,25533,null,3485,null,21205,null,2493,null,0400000US29,Missouri,29
13540,null,2271,null,5924,null,1535,null,4590,null,1087,null,3026,null,876,null,0400000US30,Montana,30
19563,null,2424,null,9715,null,1590,null,5694,null,1231,null,4154,null,896,null,0400000US31,Nebraska,31
50791,null,5845,null,26684,null,3518,null,12595,null,2704,null,11512,null,2061,null,0400000US32,Nevada,32
13669,null,2576,null,6335,null,1549,null,4663,null,1316,null,2671,null,1077,null,0400000US33,New Hampshire,33
114430,null,8199,null,55405,null,5069,null,30350,null,3426,null,28675,null,3122,null,0400000US34,New Jersey,34
51013,null,5016,null,24240,null,2948,null,14342,null,2220,null,12431,null,2269,null,0400000US35,New Mexico,35
304458,null,11330,null,148780,null,6840,null,89157,null,5411,null,66521,null,4716,null,0400000US36,New York,36
155146,null,8105,null,73008,null,5464,null,44591,null,3435,null,37547,null,2994,null,0400000US37,North Carolina,37
5309,null,1212,null,3132,null,851,null,1328,null,515,null,849,null,362,null,0400000US38,North Dakota,38
158704,null,7342,null,76286,null,4648,null,44401,null,3890,null,38017,null,3473,null,0400000US39,Ohio,39
67976,null,5329,null,30307,null,3429,null,19482,null,2584,null,18187,null,2264,null,0400000US40,Oklahoma,40
49809,null,5517,null,22154,null,3067,null,15523,null,2636,null,12132,null,2208,null,0400000US41,Oregon,41
172803,null,9052,null,82343,null,5698,null,50969,null,4185,null,39491,null,3364,null,0400000US42,Pennsylvania,42
13236,null,2406,null,7007,null,1598,null,4120,null,1134,null,2109,null,753,null,0400000US44,Rhode Island,44
96450,null,6532,null,45877,null,4178,null,24082,null,2952,null,26491,null,2803,null,0400000US45,South Carolina,45
12506,null,2103,null,6006,null,1142,null,3780,null,1406,null,2720,null,934,null,0400000US46,South Dakota,46
138120,null,8131,null,59589,null,4616,null,43530,null,3635,null,35001,null,3476,null,0400000US47,Tennessee,47
610289,null,20086,null,320359,null,12143,null,169293,null,8751,null,120637,null,8057,null,0400000US48,Texas,48
46812,null,5215,null,24654,null,3077,null,13710,null,2488,null,8448,null,1725,null,0400000US49,Utah,49
4365,null,1022,null,2313,null,609,null,1288,null,554,null,764,null,381,null,0400000US50,Vermont,50
119711,null,7665,null,55641,null,4635,null,35606,null,3639,null,28464,null,3441,null,0400000US51,Virginia,51
82908,null,5777,null,38866,null,2856,null,24367,null,2330,null,19675,null,3058,null,0400000US53,Washington,53
38366,null,4087,null,16672,null,2294,null,11853,null,2028,null,9841,null,1788,null,0400000US54,West Virginia,54
57033,null,3545,null,28071,null,2187,null,17368,null,1949,null,11594,null,1898,null,0400000US55,Wisconsin,55
7303,null,1573,null,3875,null,1064,null,2452,null,841,null,976,null,493,null,0400000US56,Wyoming,56
136717,null,7132,null,59354,null,3665,null,40712,null,3334,null,36651,null,3396,null,0400000US72,Puerto Rico,72
