B18101I_001E,B18101I_001EA,B18101I_001M,B18101I_001MA,B18101I_002E,B18101I_002EA,B18101I_002M,B18101I_002MA,B18101I_003E,B18101I_003EA,B18101I_003M,B18101I_003MA,B18101I_004E,B18101I_004EA,B18101I_004M,B18101I_004MA,B18101I_005E,B18101I_005EA,B18101I_005M,B18101I_005MA,B18101I_006E,B18101I_006EA,B18101I_006M,B18101I_006MA,B18101I_007E,B18101I_007EA,B18101I_007M,B18101I_007MA,B18101I_008E,B18101I_008EA,B18101I_008M,B18101I_008MA,B18101I_009E,B18101I_009EA,B18101I_009M,B18101I_009MA,B18101I_010E,B18101I_010EA,B18101I_010M,B18101I_010MA,GEO_ID,NAME,state
145199,null,2002,null,61818,null,1862,null,1585,null,640,null,60233,null,1984,null,78541,null,2185,null,5971,null,1393,null,72570,null,2432,null,4840,null,1170,null,3088,null,921,null,1752,null,604,null,0400000US01,Alabama,01
42190,null,426,null,15469,null,432,null,566,null,428,null,14903,null,574,null,25458,null,788,null,2748,null,1212,null,22710,null,1323,null,1263,null,462,null,538,null,319,null,725,null,362,null,0400000US02,Alaska,02
1999088,null,2097,null,753363,null,389,null,23130,null,2913,null,730233,null,2951,null,1150574,null,2017,null,82688,null,5729,null,1067886,null,5745,null,95151,null,883,null,40698,null,2714,null,54453,null,2463,null,0400000US04,Arizona,04
170501,null,2152,null,72201,null,1227,null,1605,null,638,null,70596,null,1305,null,94004,null,2122,null,7105,null,1533,null,86899,null,2331,null,4296,null,1132,null,1891,null,746,null,2405,null,794,null,0400000US05,Arkansas,05
13512047,null,5426,null,4730947,null,1191,null,129981,null,7256,null,4600966,null,7483,null,8065074,null,5186,null,556595,null,13443,null,7508479,null,14188,null,716026,null,2289,null,298425,null,8810,null,417601,null,8604,null,0400000US06,California,06
997904,null,1736,null,365312,null,722,null,10778,null,2040,null,354534,null,2185,null,581477,null,2458,null,50059,null,3593,null,531418,null,4203,null,51115,null,1640,null,20904,null,1704,null,30211,null,1929,null,0400000US08,Colorado,08
424910,null,943,null,144268,null,198,null,9136,null,1728,null,135132,null,1765,null,260072,null,1302,null,29186,null,2861,null,230886,null,3076,null,20570,null,827,null,9652,null,1222,null,10918,null,1098,null,0400000US09,Connecticut,09
63392,null,247,null,25004,null,4,null,912,null,398,null,24092,null,398,null,36298,null,804,null,3006,null,1014,null,33292,null,1048,null,2090,null,706,null,1030,null,504,null,1060,null,695,null,0400000US10,Delaware,10
52605,null,226,null,13960,null,3,null,624,null,451,null,13336,null,452,null,35632,null,644,null,2800,null,1053,null,32832,null,1181,null,3013,null,603,null,609,null,410,null,2404,null,711,null,0400000US11,District of Columbia,11
3943669,null,3367,null,1067716,null,1353,null,35712,null,3319,null,1032004,null,3656,null,2464419,null,4107,null,174662,null,7641,null,2289757,null,8458,null,411534,null,2325,null,157210,null,5652,null,254324,null,5910,null,0400000US12,Florida,12
801598,null,3130,null,321241,null,1995,null,9306,null,2487,null,311935,null,2571,null,461941,null,3281,null,22746,null,3260,null,439195,null,4377,null,18416,null,1761,null,6713,null,1355,null,11703,null,1958,null,0400000US13,Georgia,13
109208,null,1503,null,42910,null,434,null,1479,null,710,null,41431,null,861,null,60958,null,1574,null,5417,null,1206,null,55541,null,1562,null,5340,null,475,null,2068,null,540,null,3272,null,511,null,0400000US15,Hawaii,15
162596,null,521,null,68990,null,678,null,2723,null,821,null,66267,null,951,null,89278,null,1413,null,9931,null,2070,null,79347,null,2424,null,4328,null,1146,null,1801,null,764,null,2527,null,748,null,0400000US16,Idaho,16
1953312,null,2548,null,702564,null,1040,null,17874,null,2450,null,684690,null,2446,null,1166355,null,2019,null,66235,null,4713,null,1100120,null,4952,null,84393,null,1336,null,31879,null,2377,null,52514,null,2542,null,0400000US17,Illinois,17
345400,null,1608,null,135031,null,1414,null,3791,null,1210,null,131240,null,1927,null,198451,null,1870,null,13811,null,1927,null,184640,null,2771,null,11918,null,1090,null,5332,null,865,null,6586,null,963,null,0400000US18,Indiana,18
129266,null,1576,null,52524,null,1302,null,1968,null,692,null,50556,null,1412,null,72395,null,1503,null,4032,null,985,null,68363,null,1806,null,4347,null,1195,null,2204,null,840,null,2143,null,786,null,0400000US19,Iowa,19
258131,null,1197,null,101575,null,1147,null,4697,null,990,null,96878,null,1415,null,146098,null,1897,null,11681,null,1622,null,134417,null,2336,null,10458,null,1479,null,4065,null,950,null,6393,null,1283,null,0400000US20,Kansas,20
109589,null,2680,null,46536,null,1988,null,1980,null,747,null,44556,null,1824,null,60238,null,2093,null,4900,null,1246,null,55338,null,2083,null,2815,null,809,null,1085,null,510,null,1730,null,599,null,0400000US21,Kentucky,21
156740,null,2171,null,49267,null,1547,null,2554,null,750,null,46713,null,1705,null,95652,null,1831,null,7680,null,1377,null,87972,null,2460,null,11821,null,1312,null,4178,null,1074,null,7643,null,1200,null,0400000US22,Louisiana,22
17169,null,386,null,6155,null,453,null,365,null,231,null,5790,null,501,null,10279,null,598,null,1744,null,489,null,8535,null,737,null,735,null,338,null,342,null,301,null,393,null,200,null,0400000US23,Maine,23
407364,null,1911,null,140637,null,1029,null,3610,null,1176,null,137027,null,1449,null,250377,null,1747,null,11611,null,1758,null,238766,null,2538,null,16350,null,999,null,5779,null,977,null,10571,null,990,null,0400000US24,Maryland,24
572888,null,1350,null,194032,null,169,null,15166,null,2339,null,178866,null,2343,null,354120,null,1615,null,50545,null,4054,null,303575,null,4448,null,24736,null,822,null,12023,null,1326,null,12713,null,1462,null,0400000US25,Massachusetts,25
416783,null,1607,null,155577,null,1337,null,6239,null,1292,null,149338,null,1846,null,241841,null,1790,null,22235,null,2645,null,219606,null,2944,null,19365,null,1338,null,7041,null,1174,null,12324,null,1317,null,0400000US26,Michigan,26
221534,null,1014,null,91232,null,1183,null,4773,null,1402,null,86459,null,1843,null,125287,null,1548,null,9747,null,1771,null,115540,null,2374,null,5015,null,1198,null,1698,null,743,null,3317,null,962,null,0400000US27,Minnesota,27
65249,null,3097,null,23296,null,1757,null,852,null,595,null,22444,null,1739,null,39532,null,2321,null,2273,null,949,null,37259,null,2595,null,2421,null,856,null,544,null,350,null,1877,null,763,null,0400000US28,Mississippi,28
197846,null,1496,null,78394,null,1399,null,4051,null,1134,null,74343,null,1652,null,109964,null,1272,null,9388,null,1792,null,100576,null,1876,null,9488,null,970,null,4518,null,934,null,4970,null,999,null,0400000US29,Missouri,29
27024,null,749,null,10120,null,718,null,1280,null,632,null,8840,null,928,null,15633,null,826,null,1563,null,728,null,14070,null,1077,null,1271,null,392,null,526,null,336,null,745,null,362,null,0400000US30,Montana,30
147491,null,518,null,61325,null,791,null,1811,null,819,null,59514,null,1104,null,80824,null,1464,null,5838,null,1412,null,74986,null,2140,null,5342,null,1301,null,2071,null,834,null,3271,null,1101,null,0400000US31,Nebraska,31
693984,null,816,null,263816,null,870,null,7631,null,1765,null,256185,null,1854,null,401269,null,1085,null,23508,null,2580,null,377761,null,2761,null,28899,null,725,null,11115,null,1659,null,17784,null,1720,null,0400000US32,Nevada,32
