GEO_ID,S2418_C01_001E,S2418_C01_001M,S2418_C02_001E,S2418_C02_001M,S2418_C03_001E,S2418_C03_001M,S2418_C04_001E,S2418_C04_001M,S2418_C01_002E,S2418_C01_002M,S2418_C02_002E,S2418_C02_002M,S2418_C03_002E,S2418_C03_002M,S2418_C04_002E,S2418_C04_002M,S2418_C01_003E,S2418_C01_003M,S2418_C02_003E,S2418_C02_003M,S2418_C03_003E,S2418_C03_003M,S2418_C04_003E,S2418_C04_003M,S2418_C01_004E,S2418_C01_004M,S2418_C02_004E,S2418_C02_004M,S2418_C03_004E,S2418_C03_004M,S2418_C04_004E,S2418_C04_004M,S2418_C01_005E,S2418_C01_005M,S2418_C02_005E,S2418_C02_005M,S2418_C03_005E,S2418_C03_005M,S2418_C04_005E,S2418_C04_005M,S2418_C01_006E,S2418_C01_006M,S2418_C02_006E,S2418_C02_006M,S2418_C03_006E,S2418_C03_006M,S2418_C04_006E,S2418_C04_006M,S2418_C01_007E,S2418_C01_007M,S2418_C02_007E,S2418_C02_007M,S2418_C03_007E,S2418_C03_007M,S2418_C04_007E,S2418_C04_007M,S2418_C01_008E,S2418_C01_008M,S2418_C02_008E,S2418_C02_008M,S2418_C03_008E,S2418_C03_008M,S2418_C04_008E,S2418_C04_008M,S2418_C01_009E,S2418_C01_009M,S2418_C02_009E,S2418_C02_009M,S2418_C03_009E,S2418_C03_009M,S2418_C04_009E,S2418_C04_009M,NAME,S2418_C01_001MA,S2418_C01_001EA,S2418_C02_001EA,S2418_C02_001MA,S2418_C03_001EA,S2418_C03_001MA,S2418_C04_001MA,S2418_C04_001EA,S2418_C01_002MA,S2418_C01_002EA,S2418_C02_002EA,S2418_C02_002MA,S2418_C03_002EA,S2418_C03_002MA,S2418_C04_002EA,S2418_C04_002MA,S2418_C01_003EA,S2418_C01_003MA,S2418_C02_003EA,S2418_C02_003MA,S2418_C03_003MA,S2418_C03_003EA,S2418_C04_003MA,S2418_C04_003EA,S2418_C01_004MA,S2418_C01_004EA,S2418_C02_004EA,S2418_C02_004MA,S2418_C03_004EA,S2418_C03_004MA,S2418_C04_004MA,S2418_C04_004EA,S2418_C01_005MA,S2418_C01_005EA,S2418_C02_005MA,S2418_C02_005EA,S2418_C03_005EA,S2418_C03_005MA,S2418_C04_005EA,S2418_C04_005MA,S2418_C01_006MA,S2418_C01_006EA,S2418_C02_006MA,S2418_C02_006EA,S2418_C03_006MA,S2418_C03_006EA,S2418_C04_006EA,S2418_C04_006MA,S2418_C01_007EA,S2418_C01_007MA,S2418_C02_007MA,S2418_C02_007EA,S2418_C03_007MA,S2418_C03_007EA,S2418_C04_007EA,S2418_C04_007MA,S2418_C01_008EA,S2418_C01_008MA,S2418_C02_008EA,S2418_C02_008MA,S2418_C03_008MA,S2418_C03_008EA,S2418_C04_008MA,S2418_C04_008EA,S2418_C01_009MA,S2418_C01_009EA,S2418_C02_009MA,S2418_C02_009EA,S2418_C03_009MA,S2418_C03_009EA,S2418_C04_009EA,S2418_C04_009MA,state
0400000US02,44026,2337,51257,863,36999,1284,72.2,2.8,40398,1297,49924,2074,31595,1523,63.3,4.6,37900,2619,47442,2811,31300,1322,66.0,5.4,60098,11294,70147,15244,42272,12675,60.3,23.8,45798,3816,50821,5386,42284,4668,83.2,14.5,49898,2759,59457,8702,46501,3010,78.2,12.4,57627,4790,66906,8207,50148,3897,75.0,10.9,61029,2204,61890,4276,58876,5745,95.1,11.1,32438,4857,40913,3463,26285,3641,64.2,10.6,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US23,35942,482,40818,629,31544,507,77.3,1.7,35034,771,40394,735,29920,1029,74.1,2.8,34205,895,39744,1160,29439,1289,74.1,3.9,48645,4191,50140,4703,44848,8222,89.4,19.6,37431,1550,41293,1433,35393,1781,85.7,5.4,40980,1418,47547,4535,37646,2278,79.2,9.3,42637,1883,47451,6091,40170,1930,84.7,11.2,60834,2470,68909,7088,53589,5244,77.8,9.7,25523,1867,30384,2168,18706,3718,61.6,13.4,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,35151,238,40358,311,30609,249,75.8,0.9,33246,527,40017,527,27707,606,69.2,1.9,32453,317,38555,807,27556,548,71.5,2.2,50074,2667,56319,4374,32401,4864,57.5,9.6,40430,1088,47055,2721,37497,1438,79.7,5.4,39042,723,43413,1714,36463,676,84.0,3.8,41529,544,45579,1726,40253,654,88.3,3.8,54871,2170,57373,3226,50151,3809,87.4,8.2,22024,611,27037,1039,16230,896,60.0,4.0,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US29,35549,265,41470,280,30571,267,73.7,0.8,35127,352,41631,337,28631,593,68.8,1.6,34576,610,41245,349,28509,580,69.1,1.5,46518,2416,52430,5988,32475,4928,61.9,10.3,37002,954,42496,3857,35225,1117,82.9,7.8,38747,1260,41990,1231,36228,931,86.3,3.4,36192,789,40059,2012,34551,1428,86.3,5.6,58262,4716,62123,1790,51594,2683,83.1,4.7,25681,832,30999,905,18516,2496,59.7,8.2,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,39268,370,46301,334,31945,190,69.0,0.6,37204,235,45467,332,30092,244,66.2,0.7,36834,237,44859,575,29961,368,66.8,1.2,52181,1133,60659,1046,36007,1751,59.4,2.9,41472,508,49020,1898,39355,1139,80.3,4.0,48736,907,54594,1926,42635,1814,78.1,4.7,50829,708,54024,2093,47699,1421,88.3,4.5,61556,872,64859,2095,57592,2419,88.8,4.7,26744,920,35236,1682,17309,961,49.1,3.7,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,36021,244,42828,716,30067,238,70.2,1.2,35302,276,42436,437,27567,420,65.0,1.1,34802,459,42018,280,27455,365,65.3,0.9,51171,1072,60583,2045,33743,4674,55.7,8.0,38577,1272,43758,2418,36318,836,83.0,4.8,41488,731,50391,1221,35909,1108,71.3,2.5,50239,895,55270,2671,45278,2100,81.9,5.8,61385,1092,67798,5685,55631,4107,82.1,9.5,22563,1410,29811,2071,16368,908,54.9,4.7,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,36675,434,42445,728,30411,488,71.6,1.4,35677,469,41895,401,27855,1118,66.5,2.6,35413,483,41619,413,27776,1083,66.7,2.6,43040,7494,52282,5466,30296,4328,57.9,9.2,39195,2471,45387,3821,36704,1123,80.9,7.1,44848,2441,51411,1683,38858,3998,75.6,8.1,41857,1601,51129,1400,36400,1373,71.2,3.4,59282,4841,67045,4394,47031,3875,70.1,7.3,27440,2794,34667,3481,16727,1332,48.3,6.6,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US41,37227,435,42252,534,31578,463,74.7,1.4,36208,476,41417,549,29948,667,72.3,1.8,35671,521,40791,599,29647,809,72.7,2.1,51240,2313,61258,1516,36907,3352,60.2,5.6,40586,1075,41548,1573,40022,1531,96.3,4.7,50127,1547,63751,3485,40822,1713,64.0,4.0,48010,2504,54099,4188,42842,3423,79.2,9.6,56467,2757,60564,5366,51325,5736,84.7,13.2,24693,1964,32013,2435,20076,1624,62.7,6.5,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,36764,958,47377,2367,27361,1607,57.8,4.6,35963,1135,48610,3140,24930,1807,51.3,5.0,35042,1659,46770,2812,24638,1701,52.7,4.8,60030,13366,70225,15409,28992,20701,41.3,29.1,42012,5790,63552,5124,30812,6348,48.5,10.8,42449,5730,46926,3033,36055,7151,76.8,16.5,41888,3775,41988,7683,41829,3614,99.6,17.6,50305,6357,56042,8740,41644,10155,74.3,20.9,23022,3198,30939,2688,11713,5206,37.9,16.5,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,40305,118,45557,262,33912,398,74.4,0.9,37871,334,43120,502,31519,179,73.1,0.9,37050,148,42006,163,31292,180,74.5,0.5,61523,540,72025,1821,45295,3122,62.9,4.6,48647,997,51411,683,46477,637,90.4,1.7,51734,411,66092,1026,43907,1389,66.4,2.3,55938,988,64902,2906,50222,1161,77.4,3.7,62430,1472,67330,1951,57087,3426,84.8,5.3,28924,971,32677,1149,22100,389,67.6,2.7,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
