GEO_ID,B19001A_001E,B19001A_001M,B19001A_002E,B19001A_002M,B19001A_003E,B19001A_003M,B19001A_004E,B19001A_004M,B19001A_005E,B19001A_005M,B19001A_006E,B19001A_006M,B19001A_007E,B19001A_007M,B19001A_008E,B19001A_008M,B19001A_009E,B19001A_009M,B19001A_010E,B19001A_010M,B19001A_011E,B19001A_011M,B19001A_012E,B19001A_012M,B19001A_013E,B19001A_013M,B19001A_014E,B19001A_014M,B19001A_015E,B19001A_015M,B19001A_016E,B19001A_016M,B19001A_017E,B19001A_017M,NAME,B19001A_001MA,B19001A_001EA,B19001A_002EA,B19001A_002MA,B19001A_003EA,B19001A_003MA,B19001A_004MA,B19001A_004EA,B19001A_005MA,B19001A_005EA,B19001A_006MA,B19001A_006EA,B19001A_007MA,B19001A_007EA,B19001A_008EA,B19001A_008MA,B19001A_009EA,B19001A_009MA,B19001A_010MA,B19001A_010EA,B19001A_011MA,B19001A_011EA,B19001A_012MA,B19001A_012EA,B19001A_013EA,B19001A_013MA,B19001A_014EA,B19001A_014MA,B19001A_015MA,B19001A_015EA,B19001A_016MA,B19001A_016EA,B19001A_017MA,B19001A_017EA,state
0400000US01,1291280,8686,113298,4866,88932,4176,82029,4265,91819,5178,76631,3965,80896,5059,71504,3850,72166,3782,62860,3844,109740,4695,131876,6469,137168,5397,78397,3712,35992,2831,29879,2467,28093,2343,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175622,2739,8983,1392,6557,1092,6341,1114,8088,1491,6352,1115,7534,1301,7016,1305,8738,1483,8397,1360,16434,1770,20710,1947,26986,2292,18986,1862,10053,1395,8768,1296,5679,883,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1793084,10722,118537,6247,101211,5307,109504,6049,112603,5828,108068,6077,108750,5664,100566,5858,106112,6432,89084,5320,154637,7773,192408,7871,208975,6790,116248,5069,57438,3377,57850,4013,51093,3630,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,881282,7445,85769,4860,68445,3684,61209,3826,69484,4136,62776,3766,61538,3639,53386,3348,48878,3049,42191,2879,77186,4565,84763,4263,82966,4499,38570,2715,16945,1643,15071,1866,12105,1445,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8083976,26836,479397,12509,404494,11388,385982,9618,424034,10186,376772,11395,393718,11669,353894,9295,381049,11737,339810,11924,650414,11942,839248,15866,1020905,17727,715884,16206,419510,9725,432743,11427,466122,10750,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1567507,9017,102366,4960,81110,5047,76752,5094,89083,5337,77846,4527,86449,3983,79472,4545,83320,4234,71087,3702,133666,5055,175757,5617,203591,5738,119999,4823,71092,4116,60523,3449,55394,3774,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1111113,8202,58594,4691,50347,3836,41288,3248,43598,2875,46509,3494,46970,3318,43569,3474,50464,3679,41941,3199,88937,5392,116537,5779,166898,6001,108262,4739,66069,3796,65704,4067,75426,3930,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,244107,3359,12040,1520,10868,1348,11797,1528,11825,1505,12072,1735,10818,1287,13042,1762,12919,1438,12858,1823,22384,1825,28667,2453,33790,2100,21606,1888,10825,1304,9976,1234,8620,1515,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,93997,2617,5570,1149,2878,945,2143,788,3230,699,2369,710,3447,1181,2225,601,3609,1006,3696,849,6627,1198,9712,1506,10988,1501,8930,1408,5853,1160,9001,1265,13719,1443,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5677510,19793,405404,11193,349971,10582,339267,9642,365658,10680,349110,9637,362662,10369,331031,8756,316323,8644,282884,7723,492623,12402,592258,12462,620213,13792,350853,10186,174837,7345,163308,5974,181108,6031,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
