GEO_ID,B25038F_001E,B25038F_001M,B25038F_002E,B25038F_002M,B25038F_003E,B25038F_003M,B25038F_004E,B25038F_004M,B25038F_005E,B25038F_005M,B25038F_006E,B25038F_006M,B25038F_007E,B25038F_007M,NAME,B25038F_001EA,B25038F_001MA,B25038F_002EA,B25038F_002MA,B25038F_003MA,B25038F_003EA,B25038F_004MA,B25038F_004EA,B25038F_005MA,B25038F_005EA,B25038F_006EA,B25038F_006MA,B25038F_007EA,B25038F_007MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3059,757,2064,666,559,277,281,281,103,103,39,63,13,22,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,184829,6213,123912,5569,30096,2679,10597,1524,9682,1602,6231,1031,4311,1062,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15473,2118,12376,1800,1664,623,1192,960,137,142,77,72,27,38,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1458187,20878,868042,15941,268747,9279,130580,6611,111794,6801,49279,3592,29745,2620,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,97562,4540,62607,4203,15796,2106,8066,1383,5013,848,4004,895,2076,583,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47709,3286,33431,3191,9066,1605,2421,799,2425,1040,366,302,0,274,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9950,1233,6102,1298,2199,788,963,482,380,430,263,242,43,64,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,214369,7726,158586,6584,33363,3711,12738,1913,7256,1491,1750,794,676,319,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,90705,4955,79278,5203,8388,1728,1474,696,889,620,345,255,331,427,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
