GEO_ID,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M,NAME,B19001_001MA,B19001_001EA,B19001_002MA,B19001_002EA,B19001_003EA,B19001_003MA,B19001_004EA,B19001_004MA,B19001_005MA,B19001_005EA,B19001_006MA,B19001_006EA,B19001_007MA,B19001_007EA,B19001_008MA,B19001_008EA,B19001_009EA,B19001_009MA,B19001_010EA,B19001_010MA,B19001_011MA,B19001_011EA,B19001_012MA,B19001_012EA,B19001_013MA,B19001_013EA,B19001_014EA,B19001_014MA,B19001_015EA,B19001_015MA,B19001_016MA,B19001_016EA,B19001_017MA,B19001_017EA,state
0400000US01,1788692,9253,219792,7821,146731,6390,131204,5640,132316,6343,110787,5484,111298,5880,97078,4829,96303,4546,81942,4786,141700,5331,162185,7502,163433,5944,89531,4245,41726,3306,32901,2566,29765,2400,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,14670,1756,10256,1237,9930,1419,12623,1607,9816,1335,11153,1531,10547,1626,11360,1723,10718,1419,23166,2257,25862,2087,32760,2389,22100,2023,11663,1554,10332,1466,6296,934,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,168348,7088,130348,5939,140314,6081,142727,7011,140171,6721,139019,6797,125748,6594,130298,6867,107112,5645,188919,8388,232607,8052,240627,7204,133125,5372,66531,3837,63204,4108,54915,3875,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,130025,5452,93518,4619,82466,3932,85788,4350,76956,3778,75028,3819,64512,3948,59556,3439,49131,2976,89114,5145,97134,4468,92980,4594,43091,3017,18796,1909,16378,1861,13069,1648,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,833171,17464,636652,13728,619837,12969,674295,13577,586156,14714,618115,12497,556670,12980,590097,13372,512229,13943,975897,16037,1254382,18726,1496005,21903,1004898,19177,577834,11882,580454,12300,581202,12705,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,129656,5506,95104,5656,91516,5183,109986,5686,93892,5140,103599,5005,94651,4890,96056,4657,82531,4227,158925,6398,199521,5804,229733,6108,133819,5144,76777,4247,65107,3459,58164,3807,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,87610,5531,64372,4298,53563,4227,54622,3429,57799,3975,60409,4274,55209,3473,58127,4054,52339,3650,107041,5719,140270,5894,187842,6757,120591,5015,71467,4154,70837,4251,81740,4217,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,18416,1987,15508,1822,16945,2032,15903,1641,17530,2002,15539,1649,16375,2048,16954,1933,16051,1949,27930,2470,36595,2785,43912,2479,25916,2279,12979,1436,11650,1366,9437,1581,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,33380,2879,13313,2087,11190,1848,12529,1731,12818,1720,13157,2034,11022,1739,12519,2164,9733,1785,21046,2150,19383,2082,24654,2630,14765,2022,9478,1498,12439,1509,16787,1717,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,586067,13846,453396,11323,442510,11439,482893,12254,457786,10813,463239,11860,418699,9936,392786,10311,352975,9289,600878,14505,707257,13647,719814,15752,399550,10630,195274,7287,182969,6300,192707,6429,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
