GEO_ID,B20017A_001E,B20017A_001M,B20017A_002E,B20017A_002M,B20017A_003E,B20017A_003M,B20017A_004E,B20017A_004M,B20017A_005E,B20017A_005M,B20017A_006E,B20017A_006M,B20017A_007E,B20017A_007M,NAME,B20017A_001EA,B20017A_001MA,B20017A_002MA,B20017A_002EA,B20017A_003MA,B20017A_003EA,B20017A_004EA,B20017A_004MA,B20017A_005EA,B20017A_005MA,B20017A_006EA,B20017A_006MA,B20017A_007MA,B20017A_007EA,state
0400000US01,26372,362,32483,653,40610,533,11285,450,19711,508,28741,748,8723,380,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34231,1478,42275,1270,52432,2329,22519,1878,26083,1332,40265,1714,12260,673,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,28727,525,32648,749,41645,422,13184,710,24357,544,34446,698,11321,260,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,23555,350,28080,686,35380,551,11032,391,19090,528,26750,436,9062,378,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32140,169,39521,484,50663,218,16835,257,25631,257,40235,291,12167,141,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30481,284,36072,459,46220,626,15836,543,24269,497,35682,528,11564,286,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,37368,487,45648,620,55911,1001,16298,803,30215,480,41904,439,14497,685,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32207,731,39738,1940,47780,2403,13907,2632,26563,1141,36330,1268,11757,657,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,52925,3075,61732,2684,78321,4346,28066,3557,47722,2225,61849,2342,23606,1853,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,27534,242,32226,179,40362,261,13699,419,22667,288,31617,230,11206,138,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,30876,208,36695,368,45168,568,13005,765,24166,481,34241,552,10522,285,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,34872,1545,41097,1187,48274,3351,20480,2297,25661,1623,39491,2407,13380,1561,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,22248,395,29284,930,37063,605,11854,565,16608,468,27094,782,8795,479,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,31156,188,40110,322,50041,440,13964,633,23655,413,35526,306,10787,169,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,27082,188,34485,441,42121,351,12072,279,20846,215,30039,286,9697,278,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25927,269,31801,269,39933,519,10665,351,20658,271,29469,429,9773,332,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,25933,375,32184,453,40448,542,10746,468,20236,386,30469,455,8992,336,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,25013,368,31022,338,39565,819,11331,396,19706,515,29119,516,9427,330,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,27476,490,35344,444,42345,707,15119,856,20496,397,29624,602,9665,389,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,25059,413,30767,485,39126,1304,11965,547,20564,460,29663,761,10345,344,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,37472,570,46124,701,56066,803,14755,1034,30185,525,42666,857,12310,356,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,35628,254,42900,878,52442,565,15887,514,28121,541,40859,376,13568,624,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,28847,280,36906,331,48764,705,12230,227,21360,197,33746,390,10276,152,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,30724,179,37221,311,46490,408,13357,883,24527,384,34901,353,11789,211,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,25816,329,31113,405,37195,556,12367,665,20525,413,28216,799,9443,491,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,26057,186,32039,277,41066,263,11458,319,20679,225,29325,356,9692,251,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,21809,470,28386,1166,35965,688,12841,1269,16291,595,25273,585,9069,529,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,25522,327,30960,260,37435,677,10888,546,20496,356,29098,649,9629,377,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
