GEO_ID,B25093_001E,B25093_001M,B25093_002E,B25093_002M,B25093_003E,B25093_003M,B25093_004E,B25093_004M,B25093_005E,B25093_005M,B25093_006E,B25093_006M,B25093_007E,B25093_007M,B25093_008E,B25093_008M,B25093_009E,B25093_009M,B25093_010E,B25093_010M,B25093_011E,B25093_011M,B25093_012E,B25093_012M,B25093_013E,B25093_013M,B25093_014E,B25093_014M,B25093_015E,B25093_015M,B25093_016E,B25093_016M,B25093_017E,B25093_017M,B25093_018E,B25093_018M,B25093_019E,B25093_019M,B25093_020E,B25093_020M,B25093_021E,B25093_021M,B25093_022E,B25093_022M,B25093_023E,B25093_023M,B25093_024E,B25093_024M,B25093_025E,B25093_025M,B25093_026E,B25093_026M,B25093_027E,B25093_027M,B25093_028E,B25093_028M,B25093_029E,B25093_029M,NAME,B25093_001EA,B25093_001MA,B25093_002MA,B25093_002EA,B25093_003MA,B25093_003EA,B25093_004MA,B25093_004EA,B25093_005EA,B25093_005MA,B25093_006EA,B25093_006MA,B25093_007MA,B25093_007EA,B25093_008MA,B25093_008EA,B25093_009EA,B25093_009MA,B25093_010EA,B25093_010MA,B25093_011EA,B25093_011MA,B25093_012EA,B25093_012MA,B25093_013MA,B25093_013EA,B25093_014MA,B25093_014EA,B25093_015MA,B25093_015EA,B25093_016EA,B25093_016MA,B25093_017EA,B25093_017MA,B25093_018MA,B25093_018EA,B25093_019MA,B25093_019EA,B25093_020MA,B25093_020EA,B25093_021MA,B25093_021EA,B25093_022EA,B25093_022MA,B25093_023EA,B25093_023MA,B25093_024MA,B25093_024EA,B25093_025MA,B25093_025EA,B25093_026MA,B25093_026EA,B25093_027EA,B25093_027MA,B25093_028EA,B25093_028MA,B25093_029MA,B25093_029EA,state
0400000US01,1261475,13183,21774,2260,9101,1610,3293,1037,2172,868,1312,654,5662,1257,234,198,141569,6512,69922,4005,24927,2257,15353,2313,8082,1590,22092,2413,1193,486,779513,8886,458282,7557,95235,5337,60663,3831,40773,3356,118175,5489,6385,1165,318619,5358,196299,4563,32384,2735,19810,2308,15118,1644,53392,3216,1616,543,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,147019,3283,2090,682,856,358,322,316,437,399,0,233,475,294,0,233,16155,1551,6471,1119,2820,869,1754,519,1857,785,3142,788,111,173,109175,2918,55950,2341,15494,1746,10229,1364,6636,1223,20471,1780,395,312,19599,1182,11201,933,1977,600,1243,460,973,322,4138,887,67,114,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1502457,13503,30387,3318,10196,2125,3963,1246,3458,821,3128,1156,8926,1969,716,409,190106,6185,62350,4227,35424,3194,26552,2802,16671,2431,48154,4493,955,464,882930,10935,416638,7449,128415,5123,92949,4981,61250,4174,177568,6820,6110,1643,399034,6221,237867,5587,37466,3055,25735,1967,21427,2187,74527,3263,2012,631,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,736825,11065,13861,2257,5895,1297,1988,713,1384,576,1449,779,3101,957,44,56,82449,3385,44064,3035,11777,1861,8434,1681,5600,1302,12308,1604,266,224,441142,8347,268996,7201,52870,3677,32846,2453,23132,2425,60470,3668,2828,774,199373,3976,122811,4205,19637,1910,13949,1587,8900,1259,33275,2258,801,374,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7070138,36338,70121,5008,13322,2315,4578,1104,6557,1385,7949,2190,36467,3153,1248,647,728360,14943,143540,6535,94191,4831,100920,6190,87169,5166,299333,10653,3207,1216,4601750,33726,1548167,18813,615591,13020,539268,13189,425074,10465,1443591,22179,30059,3019,1669907,14559,875098,13539,153050,5957,125357,4804,90654,4440,415634,8412,10114,1929,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1233695,10904,22038,2030,4947,1122,2819,743,2957,742,2464,825,8532,1562,319,342,179345,6400,49122,3506,33265,3390,27532,2599,20597,2599,47783,4191,1046,503,803321,9245,331613,8006,126227,5383,96677,5037,63003,4003,182464,7093,3337,664,228991,4179,126185,3535,22966,2043,17306,1871,13632,1640,47725,3277,1177,509,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,919943,9808,6031,1233,1387,642,756,454,815,394,601,338,2472,868,0,274,86598,4582,22836,2275,18584,2059,13872,1561,9374,1752,21609,2420,323,270,609061,8449,261729,6599,89743,3731,75509,4226,53266,3867,126945,5395,1869,607,218253,4479,94680,4071,26287,2230,21214,1730,14002,1565,60843,3004,1227,512,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,229860,4042,3431,846,1400,568,424,328,649,468,271,286,687,442,0,262,26910,1956,10174,1433,5050,1169,3865,1021,1778,523,6043,1286,0,262,142340,3460,76596,3225,20048,1792,12896,1641,9385,1304,22732,2012,683,350,57179,1962,35221,2175,4451,765,3710,654,3287,868,10342,1328,168,167,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,105518,3324,594,330,25,39,30,52,68,80,35,59,316,236,120,156,16317,1703,6726,1099,2861,876,1959,603,1289,477,3389,897,93,110,61327,2430,27008,2018,10034,1509,5984,1113,4535,907,13266,1560,500,320,27280,1963,14493,1542,2577,802,1624,550,1425,466,6935,1171,226,172,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4903949,29804,61495,5106,12482,2015,6936,1677,5804,1243,6847,1800,27727,3124,1699,720,455782,10163,141148,5484,73108,5036,61765,3732,44681,3619,131692,6074,3388,1207,2857246,20549,1214077,19353,387122,10510,295007,9789,212251,7456,723297,13603,25492,2859,1529426,13151,798928,12443,150495,5488,116757,5646,89471,4789,360836,9066,12939,1941,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
