GEO_ID,B16006_001E,B16006_001M,B16006_002E,B16006_002M,B16006_003E,B16006_003M,B16006_004E,B16006_004M,B16006_005E,B16006_005M,B16006_006E,B16006_006M,B16006_007E,B16006_007M,B16006_008E,B16006_008M,NAME,B16006_001EA,B16006_001MA,B16006_002EA,B16006_002MA,B16006_003EA,B16006_003MA,B16006_004MA,B16006_004EA,B16006_005MA,B16006_005EA,B16006_006EA,B16006_006MA,B16006_007EA,B16006_007MA,B16006_008EA,B16006_008MA,state
0400000US01,87347,2185,23639,2804,61692,3450,19329,2902,12078,1863,18330,2402,11955,2060,2016,1331,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27275,752,14804,2171,11628,2146,8315,1745,2245,970,514,295,554,398,843,572,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1468800,356,394042,16947,1071419,16960,542585,14861,183408,10540,198482,9590,146944,8574,3339,1090,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,110342,1961,26586,3481,83487,3494,33484,2949,16411,2222,20948,2329,12644,2462,269,230,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11175789,749,2382105,40634,8763422,40927,4297080,42413,1683939,30351,1673932,27963,1108471,28194,30262,3671,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,790247,1182,331315,11211,456095,11101,217364,7948,91237,7706,90626,7970,56868,6771,2837,1324,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,335130,240,69731,6291,263137,6090,146803,7163,53645,4538,47563,4827,15126,2776,2262,743,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,43804,0,8110,1600,35640,1600,13065,1775,8566,1283,8118,1413,5891,1382,54,87,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,40767,0,6215,1466,34552,1465,16469,2387,6476,1726,6723,1271,4884,1418,0,286,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3126682,2226,384265,13780,2727177,13961,1355484,21596,522908,13599,508694,13777,340091,13904,15240,2405,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,534947,3149,75067,6338,457971,5998,155123,7985,104517,6657,119674,8488,78657,7355,1909,865,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,83404,0,64367,3013,16317,2966,10242,1714,2717,1079,2565,1335,793,958,2720,1055,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,111537,875,34330,3669,76277,3660,36084,3527,14940,1955,16087,2429,9166,2007,930,513,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1599918,1418,264062,16447,1330529,16397,618915,17953,272955,10548,291391,14734,147268,10547,5327,1445,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,244137,1831,69719,4945,173933,4942,75623,4662,37246,3511,40694,3678,20370,2773,485,320,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,92153,1079,30136,3213,61736,3053,25580,2757,13471,1752,16056,2793,6629,1426,281,224,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
