GEO_ID,B01002G_001E,B01002G_001M,B01002G_002E,B01002G_002M,B01002G_003E,B01002G_003M,NAME,B01002G_001MA,B01002G_001EA,B01002G_002MA,B01002G_002EA,B01002G_003EA,B01002G_003MA,state
0400000US01,26.1,3.1,24.1,4.7,28.7,5.7,Alabama,null,null,null,null,null,null,01
0400000US02,16.9,1.4,16.8,1.7,17.1,2.5,Alaska,null,null,null,null,null,null,02
0400000US04,16.0,1.0,15.0,1.7,16.7,1.1,Arizona,null,null,null,null,null,null,04
0400000US05,20.3,3.6,18.9,2.5,24.4,7.0,Arkansas,null,null,null,null,null,null,05
0400000US06,17.8,0.4,17.2,0.6,18.5,0.8,California,null,null,null,null,null,null,06
0400000US08,17.4,1.0,17.9,1.4,17.0,1.5,Colorado,null,null,null,null,null,null,08
0400000US09,16.5,1.5,14.8,2.3,18.5,2.5,Connecticut,null,null,null,null,null,null,09
0400000US10,15.7,4.4,18.1,6.3,14.6,7.8,Delaware,null,null,null,null,null,null,10
0400000US11,29.2,5.0,32.5,15.1,28.6,5.6,District of Columbia,null,null,null,null,null,null,11
0400000US12,23.1,1.6,22.0,1.9,24.2,1.8,Florida,null,null,null,null,null,null,12
0400000US13,19.1,1.6,18.6,2.0,19.8,2.5,Georgia,null,null,null,null,null,null,13
0400000US15,21.8,0.8,21.5,0.8,22.4,1.3,Hawaii,null,null,null,null,null,null,15
0400000US16,19.6,3.9,18.9,3.6,21.6,6.3,Idaho,null,null,null,null,null,null,16
0400000US17,15.9,0.9,15.0,1.1,16.5,1.3,Illinois,null,null,null,null,null,null,17
0400000US18,16.7,1.2,15.7,1.9,17.4,0.9,Indiana,null,null,null,null,null,null,18
0400000US19,16.1,2.2,17.2,2.9,14.8,3.0,Iowa,null,null,null,null,null,null,19
0400000US20,18.6,1.1,18.7,1.7,18.5,1.6,Kansas,null,null,null,null,null,null,20
0400000US21,16.5,2.1,15.2,2.5,19.0,6.1,Kentucky,null,null,null,null,null,null,21
0400000US22,22.1,2.4,20.7,4.6,23.5,3.2,Louisiana,null,null,null,null,null,null,22
0400000US23,27.4,2.0,28.0,7.1,27.3,1.4,Maine,null,null,null,null,null,null,23
0400000US24,17.8,2.4,14.5,2.8,24.2,3.3,Maryland,null,null,null,null,null,null,24
0400000US25,18.9,2.3,18.9,3.2,18.8,3.2,Massachusetts,null,null,null,null,null,null,25
0400000US26,17.7,1.9,16.5,1.7,19.8,2.4,Michigan,null,null,null,null,null,null,26
0400000US27,15.1,1.1,14.2,1.6,16.2,1.5,Minnesota,null,null,null,null,null,null,27
0400000US28,21.4,5.5,21.0,7.1,21.8,8.1,Mississippi,null,null,null,null,null,null,28
0400000US29,18.9,1.9,18.5,1.8,19.7,3.1,Missouri,null,null,null,null,null,null,29
0400000US30,23.7,5.5,23.0,7.9,25.2,7.4,Montana,null,null,null,null,null,null,30
0400000US31,14.5,1.7,13.4,2.1,15.8,5.9,Nebraska,null,null,null,null,null,null,31
0400000US32,17.4,1.9,16.9,2.4,17.9,2.2,Nevada,null,null,null,null,null,null,32
0400000US33,15.1,2.5,13.7,3.1,16.2,4.4,New Hampshire,null,null,null,null,null,null,33
0400000US34,19.5,2.0,18.3,1.9,20.6,2.1,New Jersey,null,null,null,null,null,null,34
0400000US35,18.7,2.0,17.5,2.1,20.7,2.7,New Mexico,null,null,null,null,null,null,35
0400000US36,21.6,1.2,19.7,1.8,23.8,1.5,New York,null,null,null,null,null,null,36
0400000US37,16.2,1.2,14.9,1.6,18.6,2.1,North Carolina,null,null,null,null,null,null,37
0400000US38,14.1,2.4,13.7,3.1,14.7,3.6,North Dakota,null,null,null,null,null,null,38
0400000US39,15.4,1.0,15.3,1.2,15.5,1.2,Ohio,null,null,null,null,null,null,39
0400000US40,24.6,0.7,24.2,0.9,25.2,1.4,Oklahoma,null,null,null,null,null,null,40
0400000US41,20.0,1.4,19.3,1.7,20.9,2.4,Oregon,null,null,null,null,null,null,41
0400000US42,16.2,1.0,15.0,1.2,17.3,1.4,Pennsylvania,null,null,null,null,null,null,42
0400000US44,16.3,2.1,13.5,2.8,18.8,4.0,Rhode Island,null,null,null,null,null,null,44
0400000US45,17.0,2.8,18.5,4.9,16.2,3.4,South Carolina,null,null,null,null,null,null,45
0400000US46,12.6,3.9,12.1,5.5,13.2,6.8,South Dakota,null,null,null,null,null,null,46
0400000US47,16.4,1.9,14.0,2.8,19.0,3.4,Tennessee,null,null,null,null,null,null,47
0400000US48,18.0,1.0,17.8,1.1,18.2,1.4,Texas,null,null,null,null,null,null,48
0400000US49,15.0,1.3,15.2,1.9,14.7,1.6,Utah,null,null,null,null,null,null,49
0400000US50,33.5,7.7,28.6,9.6,42.0,8.3,Vermont,null,null,null,null,null,null,50
0400000US51,16.1,1.4,15.2,1.8,16.8,1.4,Virginia,null,null,null,null,null,null,51
0400000US53,19.0,0.7,17.1,1.3,20.7,1.7,Washington,null,null,null,null,null,null,53
0400000US54,17.9,3.1,21.4,3.6,15.9,2.2,West Virginia,null,null,null,null,null,null,54
0400000US55,15.3,1.2,15.0,1.4,15.7,2.1,Wisconsin,null,null,null,null,null,null,55
0400000US56,23.9,13.6,18.5,12.6,35.1,16.4,Wyoming,null,null,null,null,null,null,56
0400000US72,30.4,1.3,30.0,1.4,30.8,2.0,Puerto Rico,null,null,null,null,null,null,72
