GEO_ID,B14006_001E,B14006_001M,B14006_002E,B14006_002M,B14006_003E,B14006_003M,B14006_004E,B14006_004M,B14006_005E,B14006_005M,B14006_006E,B14006_006M,B14006_007E,B14006_007M,B14006_008E,B14006_008M,B14006_009E,B14006_009M,B14006_010E,B14006_010M,B14006_011E,B14006_011M,B14006_012E,B14006_012M,B14006_013E,B14006_013M,B14006_014E,B14006_014M,B14006_015E,B14006_015M,B14006_016E,B14006_016M,B14006_017E,B14006_017M,B14006_018E,B14006_018M,B14006_019E,B14006_019M,B14006_020E,B14006_020M,B14006_021E,B14006_021M,NAME,B14006_001MA,B14006_001EA,B14006_002MA,B14006_002EA,B14006_003MA,B14006_003EA,B14006_004EA,B14006_004MA,B14006_005EA,B14006_005MA,B14006_006EA,B14006_006MA,B14006_007MA,B14006_007EA,B14006_008MA,B14006_008EA,B14006_009EA,B14006_009MA,B14006_010EA,B14006_010MA,B14006_011EA,B14006_011MA,B14006_012MA,B14006_012EA,B14006_013MA,B14006_013EA,B14006_014EA,B14006_014MA,B14006_015EA,B14006_015MA,B14006_016EA,B14006_016MA,B14006_017EA,B14006_017MA,B14006_018EA,B14006_018MA,B14006_019EA,B14006_019MA,B14006_020EA,B14006_020MA,B14006_021EA,B14006_021MA,state
0400000US01,4260836,5150,702794,21969,252112,12017,16301,2429,13969,2765,59293,4266,58529,4546,45467,3511,52058,4528,6495,1554,450682,15048,3558042,22401,845453,14494,49302,3709,48381,3268,168618,6425,192443,7119,197015,6346,150906,6560,38788,3745,2712589,14678,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,608729,1647,66808,5949,24532,3351,971,358,1545,620,6256,1387,5850,1414,6635,1544,3040,944,235,189,42276,3823,541921,6354,159687,5176,10060,1471,8362,1205,33696,2277,35350,2317,38852,2113,26155,2762,7212,1382,382234,4489,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5533085,8305,758158,25424,288957,12250,14106,2616,18246,2512,68984,5476,60166,4886,58453,4517,62902,5103,6100,1434,469201,17400,4774927,26656,1245777,16064,67879,5317,65567,4662,263537,9443,270913,9177,279525,7684,239759,9026,58597,4446,3529150,20321,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2581143,4354,431981,15283,156288,8803,9803,1499,9115,1631,37468,3620,33579,3159,32402,2740,30673,3831,3248,1046,275693,9719,2149162,15606,508459,10381,30691,2538,25954,2500,108767,5150,109800,4184,123251,4114,90501,4946,19495,2331,1640703,12054,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33571009,18459,4368565,81024,1822957,43632,86997,5723,103131,7988,381457,14370,392810,16402,405276,15534,392279,14684,61007,5067,2545608,49089,29202444,82168,8344481,53965,493741,11248,413309,12899,1638993,21960,1771020,22590,1882761,18586,1754888,25795,389769,11054,20857963,57913,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4352377,5853,471299,17058,175929,9588,9628,1596,8893,1629,32709,3936,31252,3645,31184,3540,53733,4153,8530,1639,295370,12172,3881078,17837,1019546,12524,66128,4477,51360,2994,209126,5913,227080,6046,228195,5926,182227,6237,55430,3641,2861532,14169,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3264150,4513,263335,15644,93952,8788,6679,1731,6272,1636,19617,3040,17932,2927,24386,3315,13230,2530,5836,1325,169383,9361,3000815,15150,786388,9628,57140,3101,36060,2555,157298,5904,170965,5919,184107,3871,136014,5695,44804,3806,2214427,12580,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,783239,1721,79395,6368,28051,3824,1068,609,1878,624,4956,1186,5484,1252,5703,1427,8136,2302,826,403,51344,5083,703844,6377,169375,4820,12971,1707,9072,1272,35410,2536,37545,2767,37119,2302,28321,2806,8937,1312,534469,6070,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,491269,1491,90557,7202,36381,4608,1954,954,2133,810,7020,1572,8133,1668,6731,1430,5809,1304,4601,1075,54176,4089,400712,7268,82886,4471,5076,1027,4517,1085,14820,2068,16290,2014,16368,1733,12570,1760,13245,2038,317826,5137,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16665206,11956,2080217,44808,707763,22337,44522,4670,40786,3731,149864,9097,144944,7543,151964,8193,154858,8391,20825,2681,1372454,31372,14584989,47904,3468581,27769,229785,9653,175745,8126,700224,14386,748669,14686,790666,13342,686234,14069,137258,6048,11116408,34468,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
