GEO_ID,B12007_001E,B12007_001M,B12007_002E,B12007_002M,NAME,B12007_001MA,B12007_001EA,B12007_002EA,B12007_002MA,state
0400000US01,26.4,0.4,24.9,0.3,Alabama,null,null,null,null,01
0400000US02,25.9,0.7,24.0,0.7,Alaska,null,null,null,null,02
0400000US04,26.5,0.4,25.0,0.4,Arizona,null,null,null,null,04
0400000US05,25.2,0.4,23.0,0.6,Arkansas,null,null,null,null,05
0400000US06,27.6,0.3,25.8,0.2,California,null,null,null,null,06
0400000US08,26.7,0.4,25.1,0.3,Colorado,null,null,null,null,08
0400000US09,29.1,0.3,27.5,0.5,Connecticut,null,null,null,null,09
0400000US10,27.3,1.0,25.7,0.5,Delaware,null,null,null,null,10
0400000US11,29.9,3.5,29.8,1.5,District of Columbia,null,null,null,null,11
0400000US12,27.6,0.4,25.7,0.2,Florida,null,null,null,null,12
0400000US13,26.4,0.3,24.9,0.2,Georgia,null,null,null,null,13
0400000US15,28.6,0.6,27.0,1.3,Hawaii,null,null,null,null,15
0400000US16,24.9,0.7,23.1,0.7,Idaho,null,null,null,null,16
0400000US17,27.6,0.3,26.0,0.3,Illinois,null,null,null,null,17
0400000US18,26.3,0.3,25.1,0.2,Indiana,null,null,null,null,18
0400000US19,26.3,0.4,24.9,0.3,Iowa,null,null,null,null,19
0400000US20,26.3,0.5,24.4,0.3,Kansas,null,null,null,null,20
0400000US21,25.8,0.3,24.1,0.3,Kentucky,null,null,null,null,21
0400000US22,26.4,0.4,25.7,0.3,Louisiana,null,null,null,null,22
0400000US23,27.6,0.9,26.4,0.7,Maine,null,null,null,null,23
0400000US24,28.0,0.5,26.8,0.4,Maryland,null,null,null,null,24
0400000US25,29.2,0.4,27.2,0.4,Massachusetts,null,null,null,null,25
0400000US26,27.2,0.3,26.0,0.2,Michigan,null,null,null,null,26
0400000US27,27.1,0.4,25.7,0.3,Minnesota,null,null,null,null,27
0400000US28,26.0,0.3,25.5,0.5,Mississippi,null,null,null,null,28
0400000US29,26.2,0.3,24.9,0.2,Missouri,null,null,null,null,29
0400000US30,26.5,0.7,24.7,0.6,Montana,null,null,null,null,30
0400000US31,26.1,0.5,24.8,0.4,Nebraska,null,null,null,null,31
0400000US32,26.7,0.7,23.5,1.4,Nevada,null,null,null,null,32
0400000US33,27.7,0.8,25.9,0.5,New Hampshire,null,null,null,null,33
0400000US34,29.1,0.3,26.8,0.3,New Jersey,null,null,null,null,34
0400000US35,26.9,0.9,25.6,0.8,New Mexico,null,null,null,null,35
0400000US36,29.3,0.2,27.3,0.3,New York,null,null,null,null,36
0400000US37,26.6,0.3,25.2,0.3,North Carolina,null,null,null,null,37
0400000US38,27.3,1.0,25.1,0.4,North Dakota,null,null,null,null,38
0400000US39,26.6,0.2,25.6,0.1,Ohio,null,null,null,null,39
0400000US40,25.6,0.4,23.5,0.3,Oklahoma,null,null,null,null,40
0400000US41,26.6,0.5,25.1,0.4,Oregon,null,null,null,null,41
0400000US42,28.0,0.4,26.5,0.2,Pennsylvania,null,null,null,null,42
0400000US44,29.3,0.8,27.4,0.9,Rhode Island,null,null,null,null,44
0400000US45,26.7,0.5,25.9,0.5,South Carolina,null,null,null,null,45
0400000US46,28.0,1.1,25.7,0.7,South Dakota,null,null,null,null,46
0400000US47,25.8,0.3,24.3,0.2,Tennessee,null,null,null,null,47
0400000US48,26.0,0.2,24.2,0.2,Texas,null,null,null,null,48
0400000US49,24.6,0.3,22.1,0.3,Utah,null,null,null,null,49
0400000US50,28.4,1.0,26.2,0.5,Vermont,null,null,null,null,50
0400000US51,27.2,0.4,25.3,0.2,Virginia,null,null,null,null,51
0400000US53,26.6,0.3,25.2,0.3,Washington,null,null,null,null,53
0400000US54,26.0,0.4,24.7,0.4,West Virginia,null,null,null,null,54
0400000US55,27.0,0.3,25.7,0.2,Wisconsin,null,null,null,null,55
0400000US56,26.7,1.3,23.7,1.2,Wyoming,null,null,null,null,56
0400000US72,26.5,0.4,25.1,0.3,Puerto Rico,null,null,null,null,72
