GEO_ID,B15002C_001E,B15002C_001M,B15002C_002E,B15002C_002M,B15002C_003E,B15002C_003M,B15002C_004E,B15002C_004M,B15002C_005E,B15002C_005M,B15002C_006E,B15002C_006M,B15002C_007E,B15002C_007M,B15002C_008E,B15002C_008M,B15002C_009E,B15002C_009M,B15002C_010E,B15002C_010M,B15002C_011E,B15002C_011M,B15002C_012E,B15002C_012M,B15002C_013E,B15002C_013M,B15002C_014E,B15002C_014M,B15002C_015E,B15002C_015M,B15002C_016E,B15002C_016M,B15002C_017E,B15002C_017M,NAME,B15002C_001EA,B15002C_001MA,B15002C_002EA,B15002C_002MA,B15002C_003MA,B15002C_003EA,B15002C_004MA,B15002C_004EA,B15002C_005EA,B15002C_005MA,B15002C_006EA,B15002C_006MA,B15002C_007EA,B15002C_007MA,B15002C_008MA,B15002C_008EA,B15002C_009MA,B15002C_009EA,B15002C_010MA,B15002C_010EA,B15002C_011EA,B15002C_011MA,B15002C_012EA,B15002C_012MA,B15002C_013MA,B15002C_013EA,B15002C_014MA,B15002C_014EA,B15002C_015MA,B15002C_015EA,B15002C_016EA,B15002C_016MA,B15002C_017EA,B15002C_017MA,state
0400000US01,16343,1453,8599,1201,1074,573,1314,574,1921,652,1330,551,866,508,1254,506,840,558,7744,978,980,605,1099,558,2650,921,945,376,810,324,984,461,276,194,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,47659,1699,23411,1175,2505,404,2333,511,11980,1230,5108,976,617,269,734,250,134,143,24248,1148,2401,346,2933,655,10066,959,5791,915,1312,492,1148,390,597,301,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,137866,3258,64171,2065,7307,1264,13346,1850,22675,2269,12263,1853,4289,1217,2676,869,1615,736,73695,2150,9817,1243,12461,1786,19512,2218,19122,2238,5253,1311,5649,1321,1881,685,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12605,1235,5495,883,648,367,825,496,1693,491,1229,468,577,344,461,289,62,89,7110,1165,795,328,1094,535,2288,787,1450,590,549,443,597,414,337,300,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,161348,6855,77991,4582,5175,1276,11228,1666,20809,2659,19776,2634,6503,1205,9094,1394,5406,1275,83357,4280,6024,1295,11993,1512,21393,2442,23118,2286,8674,1757,8821,1615,3334,959,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,25991,2588,11692,1399,1072,539,1505,524,3638,840,2498,825,1344,618,1034,392,601,376,14299,1898,1300,579,926,386,3156,803,4407,996,1040,458,2381,1267,1089,581,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,39660,2766,19038,1818,1943,943,2561,808,5731,1240,3994,1056,1302,529,2190,693,1317,603,20622,2287,1743,688,2726,924,6138,1253,4790,1191,2563,969,2083,729,579,328,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,14025,1797,6532,1407,1173,644,1207,597,1967,610,1064,477,239,272,655,371,227,222,7493,1202,628,383,1136,560,1915,697,1892,628,528,376,811,385,583,404,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
