GEO_ID,B14001F_001E,B14001F_001M,B14001F_002E,B14001F_002M,B14001F_003E,B14001F_003M,B14001F_004E,B14001F_004M,B14001F_005E,B14001F_005M,B14001F_006E,B14001F_006M,B14001F_007E,B14001F_007M,NAME,B14001F_001MA,B14001F_001EA,B14001F_002EA,B14001F_002MA,B14001F_003EA,B14001F_003MA,B14001F_004EA,B14001F_004MA,B14001F_005MA,B14001F_005EA,B14001F_006MA,B14001F_006EA,B14001F_007EA,B14001F_007MA,state
0400000US01,32677,4386,10297,2450,885,370,5833,1724,2021,800,1558,797,22380,3251,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8024,2025,3270,985,137,255,1337,497,1148,718,648,356,4754,1375,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,613600,20985,204810,10315,22088,2814,105893,7352,46920,4065,29909,3324,408790,14174,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,59784,6544,19956,2520,2144,659,10208,1555,5160,1185,2444,843,39828,5089,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5439323,77764,1923189,36570,217137,9432,884636,21019,465714,14189,355702,12516,3516134,51644,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,289724,15598,95371,7769,13381,2930,45900,4714,20743,2518,15347,2086,194353,9853,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,145668,9029,46965,3876,6264,1557,20813,2241,12623,2056,7265,1297,98703,7388,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15294,3048,4808,1366,903,472,1899,659,1034,637,972,470,10486,2098,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28159,2832,6614,1273,620,377,3691,971,879,584,1424,778,21545,2550,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,669120,22831,207287,10850,22509,2841,89140,6071,53221,5398,42417,3698,461833,15952,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,315356,14563,82697,5713,13428,2493,43840,3634,14378,1764,11051,2483,232659,11852,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14912,3223,3336,1326,320,256,1264,843,854,460,898,464,11576,2331,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,45239,4249,12737,2242,1432,568,6460,1361,3417,911,1428,575,32502,2863,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,866772,24413,292068,12242,37697,4573,138690,6217,60823,4909,54858,6224,574704,17256,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
