B14002_006M,B14002_007E,B14002_007M,B14002_008E,B14002_008M,B14002_009E,B14002_009M,B14002_010E,B14002_010M,B14002_011E,B14002_011M,B14002_012E,B14002_012M,B14002_013E,B14002_013M,B14002_014E,B14002_014M,B14002_015E,B14002_015M,B14002_016E,B14002_016M,B14002_017E,B14002_017M,B14002_018E,B14002_018M,B14002_019E,B14002_019M,B14002_020E,B14002_020M,B14002_021E,B14002_021M,B14002_022E,B14002_022M,B14002_023E,B14002_023M,B14002_024E,B14002_024M,B14002_025E,B14002_025M,B14002_026E,B14002_026M,B14002_027E,B14002_027M,B14002_028E,B14002_028M,B14002_029E,B14002_029M,B14002_030E,B14002_030M,B14002_031E,B14002_031M,B14002_032E,B14002_032M,B14002_033E,B14002_033M,B14002_034E,B14002_034M,B14002_035E,B14002_035M,B14002_036E,B14002_036M,B14002_037E,B14002_037M,B14002_038E,B14002_038M,B14002_039E,B14002_039M,B14002_040E,B14002_040M,B14002_041E,B14002_041M,B14002_042E,B14002_042M,B14002_043E,B14002_043M,B14002_044E,B14002_044M,B14002_045E,B14002_045M,B14002_046E,B14002_046M,B14002_047E,B14002_047M,B14002_048E,B14002_048M,B14002_049E,B14002_049M,GEO_ID,B14002_001E,B14002_001M,B14002_002E,B14002_002M,B14002_003E,B14002_003M,B14002_004E,B14002_004M,B14002_005E,B14002_005M,B14002_006E,B14002_006MA,B14002_007MA,B14002_007EA,B14002_008MA,B14002_008EA,B14002_009EA,B14002_009MA,B14002_010EA,B14002_010MA,B14002_011MA,B14002_011EA,B14002_012MA,B14002_012EA,B14002_013MA,B14002_013EA,B14002_014EA,B14002_014MA,B14002_015EA,B14002_015MA,B14002_016MA,B14002_016EA,B14002_017MA,B14002_017EA,B14002_018MA,B14002_018EA,B14002_019EA,B14002_019MA,B14002_020EA,B14002_020MA,B14002_021EA,B14002_021MA,B14002_022MA,B14002_022EA,B14002_023MA,B14002_023EA,B14002_024EA,B14002_024MA,B14002_025EA,B14002_025MA,B14002_026EA,B14002_026MA,B14002_027MA,B14002_027EA,B14002_028MA,B14002_028EA,B14002_029MA,B14002_029EA,B14002_030EA,B14002_030MA,B14002_031EA,B14002_031MA,B14002_032MA,B14002_032EA,B14002_033MA,B14002_033EA,B14002_034MA,B14002_034EA,B14002_035MA,B14002_035EA,B14002_036EA,B14002_036MA,B14002_037EA,B14002_037MA,B14002_038EA,B14002_038MA,B14002_039MA,B14002_039EA,B14002_040MA,B14002_040EA,B14002_041MA,B14002_041EA,B14002_042EA,B14002_042MA,B14002_043EA,B14002_043MA,B14002_044MA,B14002_044EA,B14002_045EA,B14002_045MA,B14002_046MA,B14002_046EA,B14002_047EA,B14002_047MA,B14002_048EA,B14002_048MA,B14002_049MA,B14002_049EA,NAME,B14002_001EA,B14002_001MA,B14002_002MA,B14002_002EA,B14002_003EA,B14002_003MA,B14002_004EA,B14002_004MA,B14002_005MA,B14002_005EA,B14002_006EA,state
1846,33669,3125,28021,2653,5648,1207,117747,5404,103893,5044,13854,1747,130744,4816,115944,4687,14800,2163,121129,4262,107155,4726,13974,1837,87966,4616,76997,4386,10969,1813,18997,1960,15002,1907,3995,870,1512081,7115,2215536,4324,563043,8014,32554,3168,17390,2372,15164,1839,29612,3163,24062,2838,5550,1226,114126,4865,98469,4372,15657,2637,123727,4565,111227,4576,12500,1936,121740,3470,109155,3643,12585,1607,114998,5162,100980,4824,14018,2228,26286,3167,21591,2755,4695,1396,1652493,6927,0400000US01,4272024,4428,2056488,5013,544407,7653,34155,3032,18560,2203,15595,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,01
719,4865,991,3735,778,1130,610,21649,2025,20471,1990,1178,494,21692,1953,20257,1898,1435,590,23922,1567,22499,1736,1423,710,12539,1674,11279,1602,1260,540,2737,694,2246,676,491,313,218359,2053,301292,1829,94045,2873,6022,1168,2822,670,3200,1081,5331,1036,4987,1031,344,355,18962,1518,17067,1563,1895,819,20653,1648,19169,1628,1484,540,21711,1451,19733,1646,1978,736,16656,1939,14826,1643,1830,856,4710,1082,3364,692,1346,625,207247,2901,0400000US02,612449,1478,311157,1855,92798,2148,5394,1044,3007,658,2387,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,02
2113,43517,3381,39799,3394,3718,867,172064,5971,160468,5942,11596,1996,181137,6165,170425,6245,10712,2167,169093,6305,160931,6530,8162,1626,135381,6623,111569,5955,23812,3460,28054,3100,19304,2470,8750,1586,1992989,9835,2791591,5613,783251,9261,40631,3528,22142,2576,18489,2517,41577,3547,37240,3500,4337,1130,167543,6562,156470,6246,11073,1897,159586,5629,150646,5999,8940,1674,169991,5204,160432,5210,9559,1812,167280,6715,143475,6170,23805,3060,36643,3392,27203,2917,9440,1566,2008340,8880,0400000US04,5556247,6475,2764656,4451,771667,9562,42421,4287,25263,3536,17158,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,04
1236,20738,2383,19135,2369,1603,624,77056,4132,70544,3810,6512,1352,74103,3100,69034,2931,5069,994,79820,3107,74954,3094,4866,1001,48815,3434,42598,3162,6217,1260,8390,1295,6978,1118,1412,431,928911,5123,1332010,3580,343272,6164,19810,2164,12113,1693,7697,1176,15599,1832,14202,1769,1397,566,72424,3134,66736,3032,5688,979,72584,3673,68065,3594,4519,859,76143,2807,71265,2865,4878,987,72359,4349,63598,3781,8761,1619,14353,1956,11744,1676,2609,867,988738,5800,0400000US05,2591202,3905,1259192,3902,330281,5205,21359,2183,12142,1894,9217,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,05
6568,260553,9909,226917,9114,33636,2982,1058131,15739,949410,15059,108721,6734,1141027,15467,1039492,15490,101535,5389,1162021,13131,1074938,13584,87083,4720,963216,18314,820170,17436,143046,9041,197650,7477,113884,5528,83766,4647,11608133,24369,17007338,9404,5193954,22070,283786,8734,153748,7794,130038,6522,263691,10193,229744,9427,33947,3044,1006592,13866,903418,13568,103174,6159,1069058,15686,972646,16007,96412,5789,1133750,11741,1046011,12760,87739,5810,1183951,17170,1018204,17458,165747,7294,253126,9435,147621,7422,105505,5131,11813384,20417,0400000US06,33703118,14529,16695780,11354,5087647,24911,305049,8837,166840,7229,138209,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,06
1975,30346,2331,25903,2305,4443,1064,124630,4793,112204,4587,12426,1815,133227,4978,122230,5318,10997,1740,131627,3621,122462,3770,9165,1488,111160,6200,90924,5615,20236,2969,30746,3150,21430,2812,9316,1708,1581358,8597,2179635,4225,601045,7776,36035,2912,19531,2439,16504,1924,30335,3109,26653,2904,3682,812,119993,4928,109048,4635,10945,2070,128500,5472,119816,5243,8684,1218,128168,4372,118562,4287,9606,1535,124800,4964,103383,4852,21417,2439,33214,2584,22963,2130,10251,1470,1578590,7281,0400000US08,4363063,5065,2183428,4660,602070,7928,40334,3146,21927,2839,18407,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,08
1874,24260,2610,21094,2427,3166,778,89387,3644,82620,3605,6767,1239,99885,4352,89823,4191,10062,1972,103308,3475,94033,3778,9275,1489,64585,4200,43665,3455,20920,2619,22472,2739,8421,1256,14051,2272,1146366,5716,1689746,2864,451772,5728,31698,2452,14209,2098,17489,1920,18349,1988,16813,2037,1536,507,89923,4318,81630,4067,8293,1225,93074,3809,83992,3627,9082,1615,105901,3023,96380,3329,9521,1469,84659,4332,57039,3489,27620,3206,28168,2536,14775,1983,13393,1684,1237974,6112,0400000US09,3273182,3596,1583436,2556,437070,5709,33173,2574,17286,2008,15887,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,09
1202,4845,1066,3363,794,1482,680,21185,1839,17949,1811,3236,900,22935,2321,19240,2336,3695,926,21832,1429,19406,1461,2426,602,15401,2149,11537,1957,3864,972,3260,745,1942,618,1318,450,283575,2736,405217,1452,102024,3110,6038,989,2395,700,3643,790,6105,1186,4110,1100,1995,674,20490,1649,15523,1602,4967,1104,20842,1569,17630,1492,3212,740,20990,1833,17938,1712,3052,820,21056,2662,17120,2554,3936,838,6503,1141,3218,871,3285,765,303193,3135,0400000US10,786350,1406,381133,1743,97558,2843,8100,1503,3604,1078,4496,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,10
575,3873,1057,3091,935,782,477,10484,1333,9414,1288,1070,424,13072,1339,11312,1333,1760,592,11204,1224,9073,1215,2131,543,7989,1583,3401,1162,4588,1411,6659,1263,853,460,5806,1218,174789,2496,260883,1338,63558,2532,3814,915,2453,849,1361,458,2951,830,2271,735,680,326,11470,1495,10345,1425,1125,452,11851,1346,9033,1237,2818,729,11895,1442,9834,1465,2061,669,10390,1563,5274,1180,5116,1140,11187,1580,1646,579,9541,1484,197325,2579,0400000US11,492453,1362,231570,1511,56781,2414,3500,988,1899,677,1601,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,11
5505,116260,6629,94474,5640,21786,2954,445455,10139,391768,9547,53687,3947,467877,11470,410192,10676,57685,4269,477096,9166,431730,9455,45366,3720,356615,9878,280245,9946,76370,5518,68615,4363,42146,3699,26469,2709,6056622,15761,8597063,10418,2155736,15919,139057,6831,58952,4894,80105,5813,105966,5926,88188,5819,17778,2894,423998,9690,369192,10421,54806,4315,444475,10493,391091,9915,53384,3869,468295,8875,421916,9075,46379,3580,484477,10336,383076,9990,101401,6604,89468,4532,53708,3648,35760,3237,6441327,16133,0400000US12,16726000,10362,8128937,10918,2072315,16304,140397,7655,61557,5782,78840,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,12
