GEO_ID,B07004I_001E,B07004I_001M,B07004I_002E,B07004I_002M,B07004I_003E,B07004I_003M,B07004I_004E,B07004I_004M,B07004I_005E,B07004I_005M,B07004I_006E,B07004I_006M,NAME,B07004I_001EA,B07004I_001MA,B07004I_002EA,B07004I_002MA,B07004I_003EA,B07004I_003MA,B07004I_004MA,B07004I_004EA,B07004I_005EA,B07004I_005MA,B07004I_006EA,B07004I_006MA,state
0400000US01,96317,2167,70370,3888,11735,2680,3018,1771,6871,1665,4323,1377,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30530,641,20188,2337,5449,2064,1447,774,2682,1283,764,677,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1627450,3536,1221830,18613,291455,17701,25978,4879,53205,7410,34982,6558,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,124088,2375,90839,4814,15739,3788,2929,1066,12457,3371,2124,987,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12244778,7850,10125302,53088,1564058,46203,335894,24888,78690,9596,140834,11880,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,871630,2666,666500,13161,112353,10579,52371,6905,24188,4321,16218,3972,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,363933,1517,286160,7877,55037,6877,5164,1926,12388,3983,5184,1946,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,49100,461,37003,2845,6604,2289,623,846,1959,1006,2911,1454,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44591,550,35342,2483,4945,2021,0,286,2782,1128,1522,796,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3357480,4894,2633366,25551,443016,21562,109743,10466,102672,8488,68683,7649,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,606531,4054,447386,12966,81272,9127,32053,6396,25784,4726,20036,3215,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,96322,647,76822,3447,12093,2419,687,504,5956,2522,764,507,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,122626,824,91784,3771,15736,2684,2282,912,10097,3086,2727,1496,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1763493,4433,1434122,20110,248272,17516,38228,6572,21383,4883,21488,4831,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,269453,1882,211383,6197,31405,4604,8137,2637,11237,2500,7291,1695,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,103134,1071,77228,3500,12028,2115,3511,1327,8925,3258,1442,565,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
