GEO_ID,B23004_001E,B23004_001M,B23004_002E,B23004_002M,B23004_003E,B23004_003M,B23004_004E,B23004_004M,B23004_005E,B23004_005M,B23004_006E,B23004_006M,B23004_007E,B23004_007M,B23004_008E,B23004_008M,B23004_009E,B23004_009M,B23004_010E,B23004_010M,B23004_011E,B23004_011M,B23004_012E,B23004_012M,B23004_013E,B23004_013M,B23004_014E,B23004_014M,B23004_015E,B23004_015M,B23004_016E,B23004_016M,B23004_017E,B23004_017M,B23004_018E,B23004_018M,B23004_019E,B23004_019M,NAME,B23004_001MA,B23004_001EA,B23004_002EA,B23004_002MA,B23004_003EA,B23004_003MA,B23004_004MA,B23004_004EA,B23004_005MA,B23004_005EA,B23004_006MA,B23004_006EA,B23004_007EA,B23004_007MA,B23004_008EA,B23004_008MA,B23004_009EA,B23004_009MA,B23004_010MA,B23004_010EA,B23004_011MA,B23004_011EA,B23004_012EA,B23004_012MA,B23004_013EA,B23004_013MA,B23004_014EA,B23004_014MA,B23004_015MA,B23004_015EA,B23004_016MA,B23004_016EA,B23004_017EA,B23004_017MA,B23004_018EA,B23004_018MA,B23004_019EA,B23004_019MA,state
0400000US01,572684,2434,88427,4190,73194,3721,59488,3494,58450,3508,1038,502,13706,1335,15233,1595,11241,1394,11073,1381,168,148,3992,844,484257,4600,252038,3898,1066,428,250972,3765,232219,2554,212,185,232007,2537,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,42156,1002,9207,1052,7777,953,5761,812,5502,790,259,199,2016,584,1430,373,1088,309,1074,310,14,24,342,178,32949,1220,18625,1099,132,141,18493,1126,14324,790,0,233,14324,790,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,735397,1442,119066,4977,98130,4403,77053,4445,75397,4475,1656,496,21077,2023,20936,2012,14125,1586,13927,1549,198,198,6811,1256,616331,4806,309094,4485,1436,621,307658,4690,307237,2504,524,370,306713,2548,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,363641,1868,62525,2992,52615,2599,43008,2689,41837,2681,1171,474,9607,1499,9910,1309,8067,1235,7904,1235,163,157,1843,534,301116,3548,154209,2959,515,355,153694,2985,146907,1793,202,181,146705,1773,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3701104,2855,659579,11060,532243,10205,432664,9288,420785,9118,11879,1785,99579,5228,127336,4291,98695,3951,97039,4056,1656,500,28641,2208,3041525,11267,1409700,10347,6872,1360,1402828,10588,1631825,4767,2191,611,1629634,4816,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,442897,1640,97016,3773,80402,3442,61348,3039,60344,3027,1004,361,19054,2042,16614,1776,12790,1516,12510,1492,280,235,3824,884,345881,4042,164494,3484,983,390,163511,3548,181387,2607,467,305,180920,2550,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,442579,1234,88191,3413,68188,2947,57047,2873,55980,2955,1067,509,11141,1704,20003,2145,16816,1920,16606,1919,210,202,3187,683,354388,3429,143093,3009,815,456,142278,3006,211295,2365,259,261,211036,2341,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,106791,727,20283,1422,16403,1368,13010,1354,12960,1357,50,48,3393,866,3880,697,3027,646,2931,625,96,112,853,358,86508,1655,42153,1529,96,89,42057,1520,44355,919,104,96,44251,935,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62494,605,14136,1601,10282,1330,8608,1220,8395,1196,213,212,1674,551,3854,824,3176,790,3108,774,68,115,678,461,48358,1617,21627,1308,305,237,21322,1295,26731,959,99,120,26632,976,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2881213,3403,457921,10574,362869,8407,288289,8313,281083,8360,7206,1375,74580,3510,95052,4573,70372,3928,69143,3918,1229,437,24680,2155,2423292,11854,1126391,9346,8600,1817,1117791,9568,1296901,6257,2900,1138,1294001,6307,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,811503,3754,153930,4725,129218,4349,104342,4519,101643,4427,2699,729,24876,2226,24712,2510,20175,2366,19993,2388,182,165,4537,1033,657573,5390,354334,5221,2822,916,351512,5288,303239,4121,662,484,302577,4224,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,168895,685,28348,2117,22001,1841,18377,1729,18261,1734,116,111,3624,672,6347,1076,5234,1020,5055,1037,179,166,1113,455,140547,2089,55292,1780,246,248,55046,1779,85255,1175,0,264,85255,1175,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,156720,1218,30393,1856,25098,1469,18322,1508,17859,1493,463,275,6776,1132,5295,1041,3601,932,3462,921,139,171,1694,578,126327,2067,61196,1710,263,225,60933,1706,65131,1113,17,30,65114,1112,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1436153,2109,273583,7143,217357,6264,176304,5857,173156,5739,3148,827,41053,2663,56226,3318,44045,2967,43289,2894,756,398,12181,1576,1162570,7294,532267,6165,4081,890,528186,6266,630303,3562,933,361,629370,3590,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
