GEO_ID,B05003H_001E,B05003H_001M,B05003H_002E,B05003H_002M,B05003H_003E,B05003H_003M,B05003H_004E,B05003H_004M,B05003H_005E,B05003H_005M,B05003H_006E,B05003H_006M,B05003H_007E,B05003H_007M,B05003H_008E,B05003H_008M,B05003H_009E,B05003H_009M,B05003H_010E,B05003H_010M,B05003H_011E,B05003H_011M,B05003H_012E,B05003H_012M,B05003H_013E,B05003H_013M,B05003H_014E,B05003H_014M,B05003H_015E,B05003H_015M,B05003H_016E,B05003H_016M,B05003H_017E,B05003H_017M,B05003H_018E,B05003H_018M,B05003H_019E,B05003H_019M,B05003H_020E,B05003H_020M,B05003H_021E,B05003H_021M,B05003H_022E,B05003H_022M,B05003H_023E,B05003H_023M,NAME,B05003H_001MA,B05003H_001EA,B05003H_002MA,B05003H_002EA,B05003H_003EA,B05003H_003MA,B05003H_004EA,B05003H_004MA,B05003H_005EA,B05003H_005MA,B05003H_006EA,B05003H_006MA,B05003H_007MA,B05003H_007EA,B05003H_008MA,B05003H_008EA,B05003H_009EA,B05003H_009MA,B05003H_010EA,B05003H_010MA,B05003H_011EA,B05003H_011MA,B05003H_012MA,B05003H_012EA,B05003H_013MA,B05003H_013EA,B05003H_014EA,B05003H_014MA,B05003H_015EA,B05003H_015MA,B05003H_016EA,B05003H_016MA,B05003H_017MA,B05003H_017EA,B05003H_018MA,B05003H_018EA,B05003H_019MA,B05003H_019EA,B05003H_020EA,B05003H_020MA,B05003H_021EA,B05003H_021MA,B05003H_022MA,B05003H_022EA,B05003H_023MA,B05003H_023EA,state
0400000US01,3093833,1501,1516750,1586,349589,1616,347874,1792,1715,742,416,259,1299,699,1167161,462,1155883,1853,11278,1852,4824,1104,6454,1509,1577083,1898,329455,1641,328009,1721,1446,720,605,361,841,618,1247628,525,1231533,2406,16095,2366,7092,1003,9003,2101,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,428220,688,220562,840,53929,623,53493,699,436,293,359,308,77,95,166633,388,162474,1104,4159,1059,2292,614,1867,862,207658,926,52713,778,52272,858,441,290,72,117,369,263,154945,316,149129,1022,5816,953,2948,711,2868,712,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3507357,3181,1723523,1983,371114,1555,368822,1646,2292,685,896,479,1396,486,1352409,1360,1298822,4687,53587,4243,27954,3000,25633,3038,1783834,1784,352978,1255,350358,1570,2620,787,738,559,1882,525,1430856,1110,1367604,4054,63252,3879,34123,2637,29129,2801,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2080710,2035,1021740,1804,241337,1551,240320,1691,1017,676,0,260,1017,676,780403,828,774399,1453,6004,1198,2620,604,3384,1013,1058970,2016,224857,1720,224195,1825,662,443,343,354,319,273,834113,565,825395,1386,8718,1368,4625,1051,4093,922,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15274256,10014,7530119,6054,1596343,3733,1554686,6290,41657,5003,9791,1965,31866,4684,5933776,3961,5341129,14108,592647,14029,369170,10681,223477,9356,7744137,5815,1510653,3319,1471198,5842,39455,5227,9158,2165,30297,5053,6233484,4211,5578778,13803,654706,13324,409376,12049,245330,7946,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3281823,2312,1633071,1945,379553,1653,375903,1847,3650,1203,1415,800,2235,871,1253518,989,1213844,3444,39674,3161,20441,2333,19233,2216,1648752,1885,359803,1636,355909,2033,3894,1014,1193,533,2701,921,1288949,826,1237205,3238,51744,3295,25647,1906,26097,3319,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2555434,2862,1239682,1596,287399,749,281998,1293,5401,1102,1338,539,4063,1093,952283,1051,875274,4781,77009,4601,43404,3279,33605,3589,1315752,1578,272963,672,267625,1366,5338,1143,1932,851,3406,822,1042789,1129,952979,5544,89810,5578,54636,4339,35174,3854,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,570027,1163,278297,603,60346,300,59848,623,498,543,41,69,457,536,217951,330,212165,1461,5786,1389,3575,994,2211,920,291730,583,56906,295,56743,333,163,150,36,59,127,137,234824,317,225827,1640,8997,1650,5214,1187,3783,1029,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,152879,1654,75689,1192,8051,753,7695,777,356,295,115,140,241,252,67638,490,60199,1320,7439,1214,2725,711,4714,1283,77190,632,7895,143,7632,328,263,292,109,140,154,259,69295,615,61648,1213,7647,1147,3228,823,4419,769,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10774504,6542,5252200,5003,1074205,3512,1055581,4795,18624,2925,4411,1309,14213,2758,4177995,2656,3907051,8720,270944,8624,140466,5957,130478,6608,5522304,4167,1017292,3306,998525,3733,18767,3132,3234,937,15533,3047,4505012,2646,4183935,9966,321077,9628,177733,6746,143344,6894,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
