GEO_ID,B14001A_001E,B14001A_001M,B14001A_002E,B14001A_002M,B14001A_003E,B14001A_003M,B14001A_004E,B14001A_004M,B14001A_005E,B14001A_005M,B14001A_006E,B14001A_006M,B14001A_007E,B14001A_007M,NAME,B14001A_001EA,B14001A_001MA,B14001A_002MA,B14001A_002EA,B14001A_003MA,B14001A_003EA,B14001A_004MA,B14001A_004EA,B14001A_005EA,B14001A_005MA,B14001A_006EA,B14001A_006MA,B14001A_007MA,B14001A_007EA,state
0400000US01,3042889,5545,718512,7789,81472,4332,309952,4992,153781,3864,173307,5724,2324377,7829,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,427706,2584,117418,3230,13887,1751,48431,2000,27769,1499,27331,2493,310288,2973,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4259647,19608,1088129,13757,119326,6307,457717,7820,230931,7804,280155,9170,3171518,16383,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2057774,7359,487918,7556,56813,3856,211484,4063,111256,2914,108365,5702,1569856,8479,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,20631478,76338,5730819,45416,622992,11936,2389085,24840,1274332,17604,1444410,23924,14900659,52831,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3650714,15814,952934,11967,106927,4747,397650,6873,204533,5241,243824,6801,2697780,14418,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2667194,10427,681657,9143,81673,4385,282687,4069,158286,3508,159011,5775,1985537,9287,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,581108,3404,132723,3306,17016,1729,56387,1995,27896,1672,31424,2834,448385,3505,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,161285,2790,29670,2309,3605,746,6855,907,2744,434,16466,1865,131615,2747,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12909894,24921,2886064,20877,332424,10758,1217678,11468,643272,10038,692690,14045,10023830,24917,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5293355,15887,1337808,13788,173399,6414,563885,6222,295183,5394,305341,10255,3955547,15204,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,297638,3590,60606,3089,7473,1260,20807,1504,11445,1260,20881,2550,237032,4124,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1226927,5111,331315,5512,34230,2888,141349,3176,76752,2611,78984,3879,895612,6869,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8643893,25833,2269801,17442,270536,7487,931041,8744,486036,6837,582188,12099,6374092,21030,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5042900,9417,1306556,10492,151552,5622,583801,6316,287996,4567,283207,7678,3736344,12219,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2579229,5488,636651,7103,74296,3319,256579,3558,154352,3000,151424,5616,1942578,7103,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2182159,7345,581350,7928,66958,3434,234349,3501,129348,2935,150695,5107,1600809,7702,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3509295,6766,856061,8919,97442,4735,370171,5478,191374,4627,197074,7689,2653234,8112,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2696879,5816,670778,6882,80146,3706,276439,4020,146867,4794,167326,6364,2026101,8386,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1201010,2496,279926,4366,27738,2336,115610,2527,69952,2169,66626,3784,921084,4532,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3236740,11724,821378,8280,92011,4800,340028,5392,185680,3855,203659,6716,2415362,10430,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4981585,17538,1239933,14115,154633,5709,501919,7603,273040,4971,310341,9492,3741652,15869,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7612404,10099,2032652,12612,218345,6792,834688,7309,459604,5886,520015,11187,5579752,14901,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4233631,7819,1068626,8685,119691,3975,437702,3983,252225,3608,259008,6890,3165005,10205,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1655115,3759,392741,6518,49233,3612,165798,3444,86483,3175,91227,4787,1262374,7238,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4586201,7196,1118725,9705,128324,4593,481107,5442,252427,4404,256867,7425,3467476,9761,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,796331,2227,181954,4056,16846,1968,75451,2449,45386,2057,44271,3025,614377,4165,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1468403,4210,384347,5849,45976,2828,153632,3146,87176,2218,97563,4696,1084056,6142,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1741966,13069,415674,8473,38959,3787,196167,5281,89050,3630,91498,6207,1326292,12040,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1174992,2920,300250,5188,28869,2456,133443,2716,72261,2159,65677,4510,874742,6079,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5750133,18271,1480575,11185,189695,6100,621728,6693,331554,5735,337598,8558,4269558,15605,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1264567,11882,335473,8758,35290,2763,133351,4387,72302,3726,94530,5425,929094,9197,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12065718,31067,2948589,18659,332128,8751,1207878,12721,679143,9119,729440,13409,9117129,25336,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5788867,12457,1432779,12141,169506,6016,606833,6952,305139,5878,351301,10005,4356088,14501,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,538906,1336,128351,2431,12068,1280,50507,1241,29462,1027,36314,2013,410555,2617,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
