GEO_ID,B08515_001E,B08515_001M,B08515_002E,B08515_002M,B08515_003E,B08515_003M,B08515_004E,B08515_004M,B08515_005E,B08515_005M,B08515_006E,B08515_006M,B08515_007E,B08515_007M,B08515_008E,B08515_008M,B08515_009E,B08515_009M,B08515_010E,B08515_010M,B08515_011E,B08515_011M,B08515_012E,B08515_012M,B08515_013E,B08515_013M,B08515_014E,B08515_014M,B08515_015E,B08515_015M,B08515_016E,B08515_016M,B08515_017E,B08515_017M,B08515_018E,B08515_018M,B08515_019E,B08515_019M,B08515_020E,B08515_020M,B08515_021E,B08515_021M,B08515_022E,B08515_022M,B08515_023E,B08515_023M,B08515_024E,B08515_024M,B08515_025E,B08515_025M,B08515_026E,B08515_026M,B08515_027E,B08515_027M,B08515_028E,B08515_028M,B08515_029E,B08515_029M,B08515_030E,B08515_030M,B08515_031E,B08515_031M,B08515_032E,B08515_032M,B08515_033E,B08515_033M,B08515_034E,B08515_034M,B08515_035E,B08515_035M,B08515_036E,B08515_036M,B08515_037E,B08515_037M,B08515_038E,B08515_038M,B08515_039E,B08515_039M,B08515_040E,B08515_040M,B08515_041E,B08515_041M,B08515_042E,B08515_042M,NAME,B08515_001EA,B08515_001MA,B08515_002EA,B08515_002MA,B08515_003MA,B08515_003EA,B08515_004MA,B08515_004EA,B08515_005MA,B08515_005EA,B08515_006EA,B08515_006MA,B08515_007EA,B08515_007MA,B08515_008MA,B08515_008EA,B08515_009MA,B08515_009EA,B08515_010MA,B08515_010EA,B08515_011EA,B08515_011MA,B08515_012EA,B08515_012MA,B08515_013MA,B08515_013EA,B08515_014MA,B08515_014EA,B08515_015MA,B08515_015EA,B08515_016MA,B08515_016EA,B08515_017EA,B08515_017MA,B08515_018EA,B08515_018MA,B08515_019MA,B08515_019EA,B08515_020MA,B08515_020EA,B08515_021MA,B08515_021EA,B08515_022EA,B08515_022MA,B08515_023EA,B08515_023MA,B08515_024MA,B08515_024EA,B08515_025MA,B08515_025EA,B08515_026MA,B08515_026EA,B08515_027MA,B08515_027EA,B08515_028EA,B08515_028MA,B08515_029EA,B08515_029MA,B08515_030MA,B08515_030EA,B08515_031MA,B08515_031EA,B08515_032MA,B08515_032EA,B08515_033MA,B08515_033EA,B08515_034MA,B08515_034EA,B08515_035EA,B08515_035MA,B08515_036EA,B08515_036MA,B08515_037EA,B08515_037MA,B08515_038MA,B08515_038EA,B08515_039MA,B08515_039EA,B08515_040EA,B08515_040MA,B08515_041EA,B08515_041MA,B08515_042EA,B08515_042MA,state
0400000US01,1902128,16556,442237,10349,1133348,16540,235255,9778,48145,5043,43143,3779,1599861,17665,356317,9927,965916,15645,203530,9192,37658,4708,36440,3482,205436,9440,59682,4721,113268,6964,21309,2574,7363,1942,3814,979,7827,1923,3286,1430,2096,719,1384,916,653,484,408,299,22998,3159,8437,1697,10484,2353,2086,778,1217,674,774,466,22587,2713,9034,1851,9676,1954,2928,852,592,362,357,371,43419,3740,5481,1378,31908,3112,4018,1002,662,517,1350,487,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,298923,5561,77855,4160,169806,5803,40206,2895,6489,1312,4567,880,201624,5975,47075,3397,117619,4584,29388,2286,4759,1083,2783,686,44617,3248,12790,2179,26117,2605,4152,1203,919,535,639,453,3701,987,1675,717,1062,442,596,352,236,275,132,132,19766,1970,8290,1408,8406,1110,2503,690,294,151,273,123,17148,2055,6628,1315,7956,1332,2135,632,164,131,265,187,12067,1657,1397,610,8646,1517,1432,587,117,138,475,218,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2556544,15310,735478,14805,1394205,18832,335144,11192,52281,4801,39436,3130,1932189,18646,529357,12942,1065595,15884,271327,10925,34846,4019,31064,2693,363623,11781,123617,7628,192409,9609,35067,4307,9062,2128,3468,1318,48737,5031,22097,3063,16853,3016,5611,1318,2629,1069,1547,1138,53420,4515,22904,3074,23072,2544,4836,1274,1992,828,616,304,54553,5021,23266,3311,24234,2667,5761,1393,977,442,315,320,104022,5974,14237,2162,72042,4997,12542,2043,2775,1436,2426,717,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1200858,12781,248475,7694,733145,11676,162072,7934,29706,3529,27460,2710,980236,12802,192850,7093,604388,11199,136715,7619,23162,3037,23121,2578,150065,7767,37979,4165,88594,5147,16418,2455,4720,1108,2354,785,3750,1331,2558,1160,756,523,365,268,0,268,71,120,18668,2396,6564,1357,9199,1784,1507,559,919,625,479,302,16887,2166,5221,1253,7299,1293,3103,1192,754,462,510,387,31252,3349,3303,846,22909,2910,3964,1216,151,139,925,419,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15547355,39306,4713106,44213,8591310,48825,1605996,22128,388220,11631,248723,8404,11508503,41760,3343329,35297,6453542,44443,1260790,20196,270611,9917,180231,7164,1949509,26101,608902,17590,1131804,21585,137450,7237,49592,4596,21761,2690,733206,18253,334714,14015,291506,11477,64085,5239,27889,3033,15012,2185,383022,11896,167699,7783,160014,7523,36059,3672,11204,1960,8046,1733,310602,13093,128337,8563,141553,6849,25486,3231,11010,2484,4216,1503,662513,13426,130125,8063,412891,12536,82126,5261,17914,3265,19457,2006,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2276165,12672,615891,13224,1317530,17554,271544,10456,39724,4368,31476,2739,1740733,15175,452801,12754,1018167,15872,214880,8655,29480,2989,25405,2616,228894,10199,70463,5556,133083,7180,18134,2134,5581,2005,1633,691,61559,4764,26882,3380,22273,2547,10758,1959,720,431,926,485,66179,4096,27550,2951,28217,3462,7052,1487,2349,839,1011,494,41769,3442,17829,2226,18071,2208,5310,1297,526,444,33,62,137031,6572,20366,3346,97719,5819,15410,2205,1068,534,2468,814,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1648283,15093,442619,10824,966990,13931,179547,6878,27274,3152,31853,3263,1357015,16525,342939,11140,811921,12220,154562,6845,20316,2363,27277,3161,137578,7316,43802,3803,76969,5978,10833,2071,4124,1447,1850,627,48737,4664,24250,3579,17976,2656,4049,937,1412,722,1050,495,32626,4057,15186,2740,14606,2430,1954,628,603,393,277,204,18144,2222,9322,1769,7202,1305,1007,446,319,230,294,253,54183,3413,7120,1239,38316,3098,7142,1513,500,398,1105,429,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,405768,6661,108354,5040,236951,6578,43714,3071,8909,1555,7840,1165,328212,6410,83217,4610,194825,6664,37464,2858,6038,1383,6668,1135,42603,3539,13234,1979,24003,2556,3482,828,1551,724,333,306,7511,1408,3538,946,2314,795,1031,489,262,249,366,266,7393,1632,3402,866,2968,1112,512,232,343,219,168,209,5497,1413,3061,1331,1708,492,279,191,393,423,56,91,14552,2167,1902,722,11133,2001,946,467,322,265,249,180,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,669068,13056,217150,7375,350481,9221,67509,4675,21722,3284,12206,1929,290822,9233,77089,4817,166515,6253,31745,2720,10249,2040,5224,1041,86128,6647,19963,2957,56973,5327,6179,1798,1266,515,1747,717,243180,7521,96168,5387,108746,5091,25206,2594,8855,2370,4205,1109,25990,2306,16189,1997,6413,1224,2179,684,881,498,328,310,11838,1680,3720,1023,6305,1176,1145,484,252,189,416,367,11110,1973,4021,1266,5529,1203,1055,514,219,197,286,288,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7674825,26995,2054000,25251,4172644,31001,1076340,16144,212391,9576,159450,6669,6145295,33344,1546189,24980,3396194,28216,902648,13980,168714,9273,131550,6436,853275,18966,282700,11712,453865,13815,85135,5226,20596,3071,10979,1880,136085,8558,70092,6287,36479,4316,18913,2572,7396,1457,3205,906,118815,8668,50330,5146,42463,5167,17260,3089,5483,1600,3279,1031,142030,7773,64565,5423,54945,4181,15860,2465,3619,1282,3041,1205,279325,9541,40124,3302,188698,7624,36524,4255,6583,1826,7396,1507,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
