GEO_ID,B24041_001E,B24041_001M,B24041_002E,B24041_002M,B24041_003E,B24041_003M,B24041_004E,B24041_004M,B24041_005E,B24041_005M,B24041_006E,B24041_006M,B24041_007E,B24041_007M,B24041_008E,B24041_008M,B24041_009E,B24041_009M,B24041_010E,B24041_010M,B24041_011E,B24041_011M,B24041_012E,B24041_012M,B24041_013E,B24041_013M,B24041_014E,B24041_014M,B24041_015E,B24041_015M,B24041_016E,B24041_016M,B24041_017E,B24041_017M,B24041_018E,B24041_018M,B24041_019E,B24041_019M,B24041_020E,B24041_020M,B24041_021E,B24041_021M,B24041_022E,B24041_022M,B24041_023E,B24041_023M,B24041_024E,B24041_024M,B24041_025E,B24041_025M,B24041_026E,B24041_026M,B24041_027E,B24041_027M,NAME,B24041_001EA,B24041_001MA,B24041_002EA,B24041_002MA,B24041_003EA,B24041_003MA,B24041_004EA,B24041_004MA,B24041_005MA,B24041_005EA,B24041_006MA,B24041_006EA,B24041_007MA,B24041_007EA,B24041_008EA,B24041_008MA,B24041_009EA,B24041_009MA,B24041_010EA,B24041_010MA,B24041_011EA,B24041_011MA,B24041_012MA,B24041_012EA,B24041_013EA,B24041_013MA,B24041_014EA,B24041_014MA,B24041_015MA,B24041_015EA,B24041_016MA,B24041_016EA,B24041_017MA,B24041_017EA,B24041_018MA,B24041_018EA,B24041_019EA,B24041_019MA,B24041_020EA,B24041_020MA,B24041_021EA,B24041_021MA,B24041_022MA,B24041_022EA,B24041_023MA,B24041_023EA,B24041_024EA,B24041_024MA,B24041_025MA,B24041_025EA,B24041_026MA,B24041_026EA,B24041_027MA,B24041_027EA,state
0400000US01,32399,397,34384,4240,31186,3696,43742,7027,30962,804,33501,1140,34610,2442,25668,828,42029,1102,39734,1849,51114,3132,41236,2340,34810,1641,35280,1504,32913,3119,37680,2953,47567,2936,71924,30164,26467,1936,31929,794,36166,931,29042,1221,19578,1788,26529,2675,17571,1350,27247,1283,41668,1176,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,45011,1189,60466,10850,46300,9151,72171,27942,50962,4258,44178,8324,41899,4404,32392,1676,49005,4752,46371,4370,60265,6227,47063,2954,45904,1684,46255,2673,44814,5610,52272,5486,66439,9267,61250,0,35630,10617,43146,2720,45158,3224,42130,3871,26328,2092,33497,8538,25339,2550,40358,4969,51438,1947,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,36292,263,31731,1314,27009,5494,44242,3692,32345,912,43661,3097,40055,2962,31549,835,45159,1784,41442,1088,62743,4142,46601,5006,42370,1346,43557,1842,40892,1898,39948,2442,51547,1807,41261,908,24836,1162,35995,582,36292,1032,35810,769,23528,1049,30847,1657,21272,933,27171,2107,41367,829,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30372,287,27137,1932,25854,1693,42942,4741,28245,1544,29777,914,30920,1307,27151,967,40016,2384,37867,2893,46805,6176,41434,2624,31424,991,32029,1280,29014,4269,32432,1999,40825,2147,41145,717,23436,2288,30810,709,34047,1799,28608,1488,19095,1681,30071,8174,17694,1493,26393,1540,33789,2091,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,41595,123,24335,1063,22587,806,51673,2686,39206,1258,43005,1215,41274,735,33413,881,45542,569,42154,479,63637,3289,56321,1144,50759,619,52325,1043,43877,2936,51126,537,66848,1037,65546,11755,28906,1151,42014,317,46727,628,40126,531,24526,645,36053,938,21563,425,29379,1137,56808,1027,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40417,358,33794,4826,23530,3241,52907,5173,36877,1011,47419,2141,45243,2875,32560,870,46180,1250,43880,1891,54080,6706,50688,1674,43318,1923,45094,1619,40555,2291,47439,2307,58898,4204,94315,46814,31352,1633,37507,1215,39718,1841,36417,1264,24260,1384,32309,2774,22337,1490,31023,921,50797,1114,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47476,869,36199,5302,33985,10396,51471,26017,45795,2812,50556,1066,47488,2800,36965,1058,50247,2117,46110,1311,66855,7352,51937,2733,60603,2229,65158,3518,50357,3088,58251,4062,70715,2290,100001,0,38528,2415,45263,1212,50003,2238,42497,1305,29628,2044,34177,2645,25634,2052,35436,1735,59944,3281,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,***,"100,000+",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,41006,665,22329,5919,22329,5919,-666666666,0,38408,2772,51410,1846,44766,6100,31220,1492,46798,4344,44828,4484,61875,15028,46392,12214,44472,2369,44247,2443,46026,10341,42055,3179,51457,6464,52425,72219,33770,4624,41041,1221,42845,2685,39893,4242,25351,2902,29326,9117,23904,3505,34378,4404,43837,4956,Delaware,null,null,null,null,null,null,-,**,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,50242,1333,41572,707,41250,0,100001,0,34341,3183,57671,29350,38621,7167,32436,7137,50222,4018,49661,4105,59505,89796,62314,8786,52564,5108,60950,11647,40086,18542,58747,5161,72236,11434,-666666666,0,30652,2978,39070,2100,39197,2403,38900,4057,27117,3834,39903,4881,24015,2743,52780,4644,61388,4726,District of Columbia,null,null,null,null,null,*,"100,000+",***,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,**,-,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,33877,281,23064,3165,20648,2536,49844,5118,31347,406,36142,671,36728,920,29179,707,40585,589,38395,1865,50600,1799,42067,1051,38531,1370,40652,1007,35020,1457,37144,722,48647,2112,45825,19391,27068,728,34636,524,35614,617,33800,788,24356,707,29800,1500,22247,588,27150,816,41558,643,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
