GEO_ID,B19202G_001E,B19202G_001M,NAME,B19202G_001EA,B19202G_001MA,state
0400000US01,17314,3533,Alabama,null,null,01
0400000US02,27464,8718,Alaska,null,null,02
0400000US04,27652,6222,Arizona,null,null,04
0400000US05,15554,5084,Arkansas,null,null,05
0400000US06,33658,3646,California,null,null,06
0400000US08,33413,4758,Colorado,null,null,08
0400000US09,27947,12083,Connecticut,null,null,09
0400000US10,29955,5055,Delaware,null,null,10
0400000US11,64593,41743,District of Columbia,null,null,11
0400000US12,24987,2883,Florida,null,null,12
0400000US13,25593,7438,Georgia,null,null,13
0400000US15,41407,5090,Hawaii,null,null,15
0400000US16,13027,10415,Idaho,null,null,16
0400000US17,28025,4666,Illinois,null,null,17
0400000US18,26038,2952,Indiana,null,null,18
0400000US19,22603,7412,Iowa,null,null,19
0400000US20,17577,6098,Kansas,null,null,20
0400000US21,13905,2287,Kentucky,null,null,21
0400000US22,16831,4005,Louisiana,null,null,22
0400000US23,28285,20378,Maine,null,null,23
0400000US24,41827,8116,Maryland,null,null,24
0400000US25,35997,12823,Massachusetts,null,null,25
0400000US26,21824,3419,Michigan,null,null,26
0400000US27,24324,6566,Minnesota,null,null,27
0400000US28,15147,14847,Mississippi,null,null,28
0400000US29,14764,6552,Missouri,null,null,29
0400000US30,25110,4913,Montana,null,null,30
0400000US31,25386,5487,Nebraska,null,null,31
0400000US32,32281,5168,Nevada,null,null,32
0400000US33,25212,24438,New Hampshire,null,null,33
0400000US34,37469,11035,New Jersey,null,null,34
0400000US35,21161,5964,New Mexico,null,null,35
0400000US36,31788,3121,New York,null,null,36
0400000US37,20456,2839,North Carolina,null,null,37
0400000US38,17443,16512,North Dakota,null,null,38
0400000US39,20630,4758,Ohio,null,null,39
0400000US40,18161,1685,Oklahoma,null,null,40
0400000US41,20387,5375,Oregon,null,null,41
0400000US42,22987,3701,Pennsylvania,null,null,42
0400000US44,30350,18763,Rhode Island,null,null,44
0400000US45,15402,11880,South Carolina,null,null,45
0400000US46,16077,1604,South Dakota,null,null,46
0400000US47,16655,5476,Tennessee,null,null,47
0400000US48,24786,4011,Texas,null,null,48
0400000US49,20677,9409,Utah,null,null,49
0400000US50,17440,12935,Vermont,null,null,50
0400000US51,26371,3761,Virginia,null,null,51
0400000US53,33522,4556,Washington,null,null,53
0400000US54,10252,4220,West Virginia,null,null,54
0400000US55,26696,4834,Wisconsin,null,null,55
0400000US56,27634,15514,Wyoming,null,null,56
0400000US72,10525,2670,Puerto Rico,null,null,72
