GEO_ID,B21004_001E,B21004_001M,B21004_002E,B21004_002M,B21004_003E,B21004_003M,B21004_004E,B21004_004M,B21004_005E,B21004_005M,B21004_006E,B21004_006M,B21004_007E,B21004_007M,NAME,B21004_001EA,B21004_001MA,B21004_002MA,B21004_002EA,B21004_003MA,B21004_003EA,B21004_004MA,B21004_004EA,B21004_005MA,B21004_005EA,B21004_006EA,B21004_006MA,B21004_007EA,B21004_007MA,state
0400000US01,20967,228,31881,709,32605,839,21138,2148,19567,287,26635,379,15325,256,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28104,939,42023,1432,43452,2806,33123,4254,25368,748,33448,1827,20776,647,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,25061,237,33611,838,34202,883,26754,2880,23762,266,29473,535,19633,411,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20071,281,27202,748,27837,956,21998,2773,18887,340,23726,479,15354,340,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26476,120,40014,407,40579,346,30363,1042,25257,130,31595,166,20532,129,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,28047,428,37795,1061,39006,1104,28213,3112,26676,287,33701,769,21887,285,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31919,290,40118,1160,40375,1072,31166,5558,31222,303,41212,422,24982,430,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28667,674,37970,1654,38615,1856,33195,10584,27071,622,35138,1169,22195,543,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32099,938,34728,4741,35215,4418,28750,13421,31961,1011,36442,1595,29664,1220,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,23698,161,32957,395,33653,394,24563,1334,22230,125,28078,346,18396,182,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,25285,192,35528,558,36106,609,29297,2165,23731,261,30431,294,19424,263,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,26791,449,38583,1949,39562,1746,29284,4544,25276,514,31586,719,21360,494,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21709,337,31000,1112,31606,1113,24596,3893,20520,356,27733,818,15449,411,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,26979,161,34779,745,35343,609,24441,2441,26172,173,35016,363,20567,225,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,24773,226,31319,472,31588,472,25566,2783,23613,254,32213,294,18266,273,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,24846,262,31748,611,32188,638,20757,3530,23880,261,31396,315,18937,358,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,24126,325,32071,705,32663,913,24954,3307,22833,353,30577,461,18239,365,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,21159,218,29679,866,30134,735,21941,1417,20178,229,26685,370,15761,259,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
