B16008_034E,B16008_034M,B16008_035E,B16008_035M,B16008_036E,B16008_036M,B16008_037E,B16008_037M,B16008_038E,B16008_038M,B16008_039E,B16008_039M,B16008_040E,B16008_040M,B16008_041E,B16008_041M,GEO_ID,B16008_001E,B16008_001M,B16008_002E,B16008_002M,B16008_003E,B16008_003M,B16008_004E,B16008_004M,B16008_005E,B16008_005M,B16008_006E,B16008_006M,B16008_007E,B16008_007M,B16008_008E,B16008_008M,B16008_009E,B16008_009M,B16008_010E,B16008_010M,B16008_011E,B16008_011M,B16008_012E,B16008_012M,B16008_013E,B16008_013M,B16008_014E,B16008_014M,B16008_015E,B16008_015M,B16008_016E,B16008_016M,B16008_017E,B16008_017M,B16008_018E,B16008_018M,B16008_019E,B16008_019M,B16008_020E,B16008_020M,B16008_021E,B16008_021M,B16008_022E,B16008_022M,B16008_023E,B16008_023M,B16008_024E,B16008_024M,B16008_025E,B16008_025M,B16008_026E,B16008_026M,B16008_027E,B16008_027M,B16008_028E,B16008_028M,B16008_029E,B16008_029M,B16008_030E,B16008_030M,B16008_031E,B16008_031M,B16008_032E,B16008_032M,B16008_033E,B16008_033M,B16008_034EA,B16008_034MA,B16008_035EA,B16008_035MA,B16008_036EA,B16008_036MA,B16008_037MA,B16008_037EA,B16008_038MA,B16008_038EA,B16008_039EA,B16008_039MA,B16008_040EA,B16008_040MA,B16008_041EA,B16008_041MA,NAME,B16008_001EA,B16008_001MA,B16008_002EA,B16008_002MA,B16008_003EA,B16008_003MA,B16008_004EA,B16008_004MA,B16008_005EA,B16008_005MA,B16008_006MA,B16008_006EA,B16008_007MA,B16008_007EA,B16008_008MA,B16008_008EA,B16008_009EA,B16008_009MA,B16008_010EA,B16008_010MA,B16008_011MA,B16008_011EA,B16008_012MA,B16008_012EA,B16008_013MA,B16008_013EA,B16008_014EA,B16008_014MA,B16008_015EA,B16008_015MA,B16008_016MA,B16008_016EA,B16008_017MA,B16008_017EA,B16008_018MA,B16008_018EA,B16008_019EA,B16008_019MA,B16008_020EA,B16008_020MA,B16008_021MA,B16008_021EA,B16008_022MA,B16008_022EA,B16008_023MA,B16008_023EA,B16008_024EA,B16008_024MA,B16008_025EA,B16008_025MA,B16008_026MA,B16008_026EA,B16008_027MA,B16008_027EA,B16008_028MA,B16008_028EA,B16008_029EA,B16008_029MA,B16008_030EA,B16008_030MA,B16008_031EA,B16008_031MA,B16008_032MA,B16008_032EA,B16008_033MA,B16008_033EA,state
1195,613,97,125,70652,4962,11808,2460,34823,2911,12456,2597,8166,1510,3399,2008,0400000US01,4150183,2206,4031990,6728,778926,3392,754950,3955,17204,2638,3318,1276,2067,557,1387,856,3253064,5046,3195688,6011,35160,3470,16621,2357,2262,731,3333,1388,118193,6572,35872,3077,2738,838,1401,588,855,580,252,270,230,185,0,270,33134,2721,11213,1669,6191,1176,5852,1434,8761,1366,1117,555,82321,6700,11669,2568,2467,1565,5737,1380,2173,1185,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
325,308,0,233,12680,1768,3492,1076,1628,790,1702,703,5348,1190,510,629,0400000US02,592520,830,558394,2369,136224,1240,120734,1962,3530,1139,1345,562,3910,1111,6705,806,422170,2014,381711,3208,7694,1260,4801,1087,4740,1219,23224,1924,34126,2311,20094,1779,718,343,508,330,88,76,46,100,76,87,0,233,19376,1708,5232,978,2640,838,2604,934,8754,1197,146,157,14032,1879,1352,656,501,494,332,297,194,201,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2413,725,1136,853,493135,14599,47981,4072,382183,13068,28212,3708,25736,2922,9023,2342,0400000US04,5370067,1271,4538803,20670,1027311,6879,781142,10476,210501,9839,8312,1837,6554,1507,20802,2637,3511492,16697,3006597,16380,359143,11981,35639,2889,10080,1537,100033,4433,831264,20387,261904,9410,10580,2235,2313,784,6637,2058,1134,710,496,380,0,291,251324,8736,57272,5175,126364,6833,31351,4443,29330,2493,7007,1639,569360,18802,76225,7013,4584,1608,65288,6446,2804,1054,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1064,491,492,577,66501,3864,8796,1878,45615,3194,3892,1107,6632,1471,1566,926,0400000US05,2515066,2038,2414789,5573,473876,2861,449405,3290,20050,2320,2998,1208,1069,594,354,249,1940913,4080,1900572,4962,27661,3522,9756,1787,1964,700,960,477,100277,5015,22723,2446,1040,603,520,418,400,457,0,260,120,165,0,260,21683,2407,5576,1046,5548,1110,4340,1307,5717,1162,502,364,77554,4807,11053,1590,885,429,8048,1275,564,397,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
83957,6567,10590,3746,4886994,47534,348530,14811,3255800,38631,392748,16553,820932,19769,68984,6260,0400000US06,32599457,3023,23062969,52232,6339082,19849,3849338,26406,2009783,24281,136106,8302,308458,10124,35397,4438,16723887,47618,14020473,43430,2125643,34311,248686,9010,290741,10018,38344,3748,9536488,52542,4117456,42601,104711,7480,19053,3788,33094,4489,16852,2967,32034,3772,3678,1475,4012745,39093,541530,13769,1408406,23549,535353,21142,1414099,22744,113357,8397,5419032,53424,532038,19061,29353,2952,359286,14711,48852,5611,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1556,778,1306,706,275388,9789,30315,3182,184824,9539,28641,3418,23038,2786,8570,1957,0400000US08,4223659,1774,3769397,11946,792384,4199,682412,6012,87181,5345,11402,1933,9613,1740,1776,767,2977013,10936,2752560,12486,171991,7538,34681,4028,10482,1653,7299,1495,454262,11968,139642,6290,5962,1504,3421,1089,1014,493,1044,723,258,224,225,299,133680,6189,34393,3270,39568,4542,24754,2960,28927,2975,6038,1645,314620,11170,39232,4085,2816,878,30896,3751,2658,1138,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1707,601,209,270,193639,10240,37626,3863,61549,6560,66817,6001,22016,2331,5631,1653,0400000US09,3183775,660,2764279,14819,590675,3057,502793,5825,61067,3955,19553,2668,5899,1255,1363,944,2173604,13744,1964643,13539,133480,6597,68646,4415,4417,1411,2418,800,419496,14751,205306,9954,8688,1679,5141,1298,1308,829,1951,746,241,250,47,79,196618,9561,65038,5037,29039,4139,73909,5550,23615,2759,5017,1167,214190,11217,20551,2436,4232,1295,6535,1691,7868,2028,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
291,140,376,413,34317,2608,6084,1592,14990,1750,6817,1536,4769,1132,1657,798,0400000US10,763189,304,700897,3707,136009,1074,122223,1804,10028,1493,2037,722,1190,457,531,618,564888,3192,538147,3677,16405,2657,8515,1563,692,392,1129,753,62292,3706,24792,2607,873,336,407,275,323,233,34,45,109,144,0,262,23919,2569,7601,1296,4121,1112,6534,1615,4245,950,1418,706,37500,3171,3183,996,761,509,1345,666,410,526,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
770,1053,365,358,42540,3223,9333,2013,19968,1788,6875,1525,3200,1270,3164,1133,0400000US11,477395,429,410039,3749,70097,1186,63144,1155,5564,1014,922,556,358,369,109,133,339942,3256,320923,3484,10317,1801,6147,1124,1868,726,687,400,67356,3881,21613,2229,516,490,516,490,0,286,0,286,0,286,0,286,21097,2256,8270,1615,4758,1240,4090,1179,2610,722,1369,598,45743,3882,3203,1407,394,280,1504,805,170,169,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
7871,2037,2955,1707,1545582,23703,245383,12078,912298,19162,292656,14751,72349,5388,22896,3577,0400000US12,16270161,3373,13080548,28710,2704913,10483,2162562,14999,433705,14230,80910,7675,18372,2560,9364,2401,10375635,25468,9345391,24832,833736,13726,162925,7894,18309,2872,15274,2430,3189613,28570,1449371,24711,34927,3578,9986,2151,13283,2222,9497,2086,1735,741,426,297,1414444,23063,349385,10666,702624,14958,237492,9416,90290,4810,34653,4851,1740242,27472,194660,9294,29135,3573,117285,7089,37414,5714,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
