GEO_ID,B15004_001E,B15004_001M,B15004_002E,B15004_002M,B15004_003E,B15004_003M,B15004_004E,B15004_004M,B15004_005E,B15004_005M,B15004_006E,B15004_006M,B15004_007E,B15004_007M,B15004_008E,B15004_008M,B15004_009E,B15004_009M,B15004_010E,B15004_010M,B15004_011E,B15004_011M,B15004_012E,B15004_012M,B15004_013E,B15004_013M,B15004_014E,B15004_014M,B15004_015E,B15004_015M,B15004_016E,B15004_016M,B15004_017E,B15004_017M,B15004_018E,B15004_018M,B15004_019E,B15004_019M,B15004_020E,B15004_020M,B15004_021E,B15004_021M,B15004_022E,B15004_022M,B15004_023E,B15004_023M,B15004_024E,B15004_024M,B15004_025E,B15004_025M,B15004_026E,B15004_026M,B15004_027E,B15004_027M,B15004_028E,B15004_028M,B15004_029E,B15004_029M,B15004_030E,B15004_030M,B15004_031E,B15004_031M,B15004_032E,B15004_032M,B15004_033E,B15004_033M,B15004_034E,B15004_034M,B15004_035E,B15004_035M,B15004_036E,B15004_036M,B15004_037E,B15004_037M,B15004_038E,B15004_038M,B15004_039E,B15004_039M,NAME,B15004_001EA,B15004_001MA,B15004_002MA,B15004_002EA,B15004_003MA,B15004_003EA,B15004_004EA,B15004_004MA,B15004_005EA,B15004_005MA,B15004_006EA,B15004_006MA,B15004_007MA,B15004_007EA,B15004_008MA,B15004_008EA,B15004_009MA,B15004_009EA,B15004_010EA,B15004_010MA,B15004_011EA,B15004_011MA,B15004_012MA,B15004_012EA,B15004_013MA,B15004_013EA,B15004_014MA,B15004_014EA,B15004_015EA,B15004_015MA,B15004_016EA,B15004_016MA,B15004_017MA,B15004_017EA,B15004_018MA,B15004_018EA,B15004_019EA,B15004_019MA,B15004_020MA,B15004_020EA,B15004_021EA,B15004_021MA,B15004_022EA,B15004_022MA,B15004_023MA,B15004_023EA,B15004_024MA,B15004_024EA,B15004_025MA,B15004_025EA,B15004_026MA,B15004_026EA,B15004_027EA,B15004_027MA,B15004_028EA,B15004_028MA,B15004_029MA,B15004_029EA,B15004_030MA,B15004_030EA,B15004_031MA,B15004_031EA,B15004_032MA,B15004_032EA,B15004_033EA,B15004_033MA,B15004_034EA,B15004_034MA,B15004_035MA,B15004_035EA,B15004_036EA,B15004_036MA,B15004_037MA,B15004_037EA,B15004_038EA,B15004_038MA,B15004_039EA,B15004_039MA,state
0400000US01,2944634,4653,376131,12736,158294,7627,128378,7576,69939,5350,14582,2200,4938,1092,2568503,13325,422612,10762,813605,14110,721198,12811,384325,11861,226763,8786,1380297,3808,126303,6674,58897,4488,39881,4238,19120,1871,6234,1215,2171,711,1253994,7355,223252,7235,389013,8627,340450,8385,186958,6901,114321,6051,1564337,3635,249828,7998,99397,5132,88497,5408,50819,4629,8348,1687,2767,792,1314509,8844,199360,5907,424592,9500,380748,8332,197367,7334,112442,5495,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,387609,1667,33943,3225,6024,1134,15507,2000,10115,1602,1740,556,557,366,353666,3685,28710,2307,96595,3988,124917,4766,64934,3462,38510,2860,195318,1098,16066,2057,2660,737,7737,1355,4470,984,763,348,436,320,179252,2174,14635,1643,53341,2977,62708,3337,29962,2535,18606,1765,192291,1414,17877,1844,3364,695,7770,1242,5645,1051,977,419,121,124,174414,2259,14075,1469,43254,2234,62209,2786,34972,2444,19904,1845,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3703355,2933,385451,13850,139845,8940,113897,5830,93266,5523,26190,3521,12253,1876,3317904,13171,458687,11430,834999,15259,1115949,13995,575357,12626,332912,7981,1814939,2583,157400,7685,60821,5129,42205,3138,34916,3291,13206,2312,6252,1115,1657539,7300,246025,8055,395595,11334,534449,9204,301990,8935,179480,5909,1888416,2065,228051,8316,79024,5282,71692,4992,58350,4250,12984,1806,6001,1329,1660365,8294,212662,7233,439404,10083,581500,10389,273367,8928,153432,5624,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1777242,3820,232686,8466,83545,4112,89351,5386,45500,3514,9775,1774,4515,1261,1544556,8414,253989,7868,542502,11122,427038,9734,213294,7027,107733,5150,845333,3114,89061,4447,31521,2791,34313,3330,16421,1957,3936,971,2870,965,756272,5397,133381,4564,265330,6384,201055,5988,101774,4435,54732,3204,931909,2764,143625,5707,52024,3241,55038,3624,29079,2531,5839,1456,1645,647,788284,5992,120608,5333,277172,7294,225983,6246,111520,5097,53001,3496,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22299041,5730,2258561,39738,956621,24645,548497,18088,474606,13654,198490,10721,80347,5393,20040480,38626,3485577,37106,4319933,40307,5927847,41540,4016718,30679,2290405,22910,10862709,4994,935676,21315,395275,14221,222903,8980,185919,9377,91503,6136,40076,4213,9927033,20567,1778937,23690,2099158,25731,2799527,26335,1993469,22177,1255942,17941,11436332,3514,1322885,24025,561346,15590,325594,13927,288687,9279,106987,7745,40271,3261,10113447,24571,1706640,23250,2220775,28007,3128320,28888,2023249,21065,1034463,13449,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2964773,3383,249590,9246,76490,5276,71032,5503,67197,4280,24355,2777,10516,1682,2715183,9398,259310,9974,635641,15744,803926,13083,661126,12379,355180,7453,1469279,3028,103350,5345,31633,3475,28654,2993,25167,2581,12240,2149,5656,1310,1365929,6160,140151,6401,313227,10266,391130,9266,331127,8565,190294,5053,1495494,3122,146240,6288,44857,3391,42378,3691,42030,3500,12115,1780,4860,1147,1349254,6344,119159,6427,322414,8971,412796,7981,329999,7028,164886,5274,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2300565,1447,154715,8343,51004,4943,54049,4309,26510,2543,14498,2291,8654,2193,2145850,8704,227469,9167,621652,11897,516666,9197,444601,12011,335462,9062,1087014,1407,58270,5031,18140,2849,21428,2985,8175,1719,6931,1581,3596,1389,1028744,5370,114397,5016,303373,7794,227158,6382,218846,7928,164970,5764,1213551,1262,96445,5325,32864,3482,32621,3076,18335,2131,7567,1476,5058,1331,1117106,5432,113072,6277,318279,8527,289508,7516,225755,6868,170492,5338,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,551079,992,40811,3845,13822,2265,16449,2219,6987,1340,2787,829,766,380,510268,4012,65505,3992,165382,6036,131055,5330,87787,3849,60539,3795,260523,814,16169,2299,6203,1388,6072,1449,2588,894,861,417,445,311,244354,2440,35306,2634,77019,3727,58776,3207,42107,2742,31146,2593,290556,606,24642,2419,7619,1263,10377,1690,4399,935,1926,736,321,164,265914,2496,30199,2381,88363,3801,72279,3700,45680,2605,29393,2366,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,371932,726,52858,3834,18444,1991,17096,2560,8562,1474,4608,1086,4148,1127,319074,3799,42635,3494,61068,4004,55819,3146,69957,3981,89595,4373,170565,518,18972,2281,7419,1500,5040,1163,2486,708,1958,639,2069,815,151593,2412,21734,2374,27910,2589,23687,1851,33507,3003,44755,2952,201367,554,33886,2937,11025,1683,12056,2101,6076,1268,2650,852,2079,731,167481,2876,20901,2031,33158,2572,32132,2106,36450,2499,44840,2587,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11850782,6636,1200052,26561,408196,12021,414398,14679,251118,11100,89083,5244,37257,3336,10650730,28518,1417633,20835,3205225,33559,3175624,31958,1847651,23207,1004597,17999,5643202,5380,449204,15224,156377,7899,146902,8694,88966,6055,37481,3146,19478,2271,5193998,16570,739447,15362,1499910,21120,1477643,22197,926782,15671,550216,13475,6207580,5300,750848,16593,251819,9662,267496,10544,162152,7910,51602,4164,17779,1891,5456732,16374,678186,13158,1705315,19603,1697981,20088,920869,14143,454381,9488,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
