GEO_ID,C10054_001E,C10054_001M,C10054_002E,C10054_002M,C10054_003E,C10054_003M,C10054_004E,C10054_004M,C10054_005E,C10054_005M,NAME,C10054_001EA,C10054_001MA,C10054_002EA,C10054_002MA,C10054_003EA,C10054_003MA,C10054_004EA,C10054_004MA,C10054_005EA,C10054_005MA,state
0400000US01,111975,6719,108670,6536,3305,1206,1371,790,1934,948,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13181,2042,8301,1763,4880,836,2242,622,2638,643,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,122247,7082,63333,5359,58914,4838,23702,2977,35212,4220,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57802,4390,54242,4274,3560,902,1068,454,2492,846,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,885034,21469,324367,10687,560667,20588,122044,7890,438623,18695,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,63960,5035,45846,4251,18114,2716,7367,1412,10747,2097,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50107,4224,35666,3728,14441,2232,5292,1385,9149,1565,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18645,2411,14516,2290,4129,988,985,618,3144,1056,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11078,1940,10042,1648,1036,859,65,113,971,855,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,357729,13298,231529,9769,126200,7548,34665,3584,91535,6773,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,193219,8097,167973,7336,25246,3606,5811,1518,19435,3354,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,53462,4007,32268,2923,21194,2472,6713,1291,14481,1956,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,19735,2457,15439,2343,4296,1227,1358,593,2938,1120,Idaho,null,null,null,null,null,null,null,null,null,null,16
