GEO_ID,B06004I_001E,B06004I_001M,B06004I_002E,B06004I_002M,B06004I_003E,B06004I_003M,B06004I_004E,B06004I_004M,B06004I_005E,B06004I_005M,NAME,B06004I_001EA,B06004I_001MA,B06004I_002MA,B06004I_002EA,B06004I_003MA,B06004I_003EA,B06004I_004MA,B06004I_004EA,B06004I_005MA,B06004I_005EA,state
0400000US01,99040,1945,20650,2134,21461,2561,3833,1097,53096,3099,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30843,503,9025,1316,15477,1843,1263,701,5078,1285,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1668524,0,747692,15321,288445,12884,22707,3368,609680,17678,Arizona,null,*****,null,null,null,null,null,null,null,null,04
0400000US05,126932,2083,29175,2586,32208,3808,2106,771,63443,3870,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12523379,0,6584545,40417,625085,13736,112223,8071,5201526,42601,California,null,*****,null,null,null,null,null,null,null,null,06
0400000US08,891614,0,439480,11339,177215,8502,8211,1622,266708,11248,Colorado,null,*****,null,null,null,null,null,null,null,null,08
0400000US09,371425,0,129287,6430,57958,5842,79335,5397,104845,7956,Connecticut,null,*****,null,null,null,null,null,null,null,null,09
0400000US10,50218,0,13436,1763,9159,1855,6973,1492,20650,2313,Delaware,null,*****,null,null,null,null,null,null,null,null,10
0400000US11,45901,0,7828,1581,9676,2029,1199,565,27198,2114,District of Columbia,null,*****,null,null,null,null,null,null,null,null,11
0400000US12,3414414,1032,783377,15915,521330,14917,328111,10700,1781596,18369,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,625028,2899,129932,5615,98614,6829,20838,3417,375644,8131,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,98699,0,65330,3395,19805,2585,3152,1339,10412,2474,Hawaii,null,*****,null,null,null,null,null,null,null,null,15
0400000US16,126785,244,40317,3333,35663,4377,974,519,49831,4439,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1804619,1156,819015,15354,138996,8050,57268,4841,789340,17121,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,277558,1543,93844,4645,60954,4632,8861,1677,113899,4829,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,106052,832,36899,3538,25635,2956,1913,857,41605,3541,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,224152,517,87806,4308,51358,3560,2858,778,82130,4004,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,69702,2148,15839,2239,18156,2783,2833,1094,32874,2705,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,123066,1607,47619,3246,24536,2985,4526,1286,46385,3634,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,12059,762,4518,1129,4627,949,752,391,2162,758,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,316257,1696,60530,4322,67078,5687,13050,2626,175599,6184,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,490839,584,164431,7992,60297,5240,96766,6380,169345,8008,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,371627,910,185802,5292,64643,4239,11873,2059,109309,5046,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,181959,1350,59729,3272,40166,3315,2393,914,79671,4042,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,43275,2378,8029,2171,15084,2217,1560,612,18602,2552,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,148994,1680,46384,2985,43255,3941,3170,873,56185,4587,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,20232,877,8157,1033,10170,1328,234,253,1671,625,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,122518,433,37425,2216,29207,2584,2027,867,53859,2674,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,563999,0,117883,6309,191887,8829,7869,2123,246360,7397,Nevada,null,*****,null,null,null,null,null,null,null,null,32
0400000US33,27933,536,6671,1162,7989,1540,3473,1546,9800,2094,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
