GEO_ID,C17004_001E,C17004_001M,C17004_002E,C17004_002M,C17004_003E,C17004_003M,C17004_004E,C17004_004M,C17004_005E,C17004_005M,C17004_006E,C17004_006M,C17004_007E,C17004_007M,C17004_008E,C17004_008M,C17004_009E,C17004_009M,NAME,C17004_001EA,C17004_001MA,C17004_002MA,C17004_002EA,C17004_003MA,C17004_003EA,C17004_004EA,C17004_004MA,C17004_005EA,C17004_005MA,C17004_006EA,C17004_006MA,C17004_007MA,C17004_007EA,C17004_008MA,C17004_008EA,C17004_009MA,C17004_009EA,state
0400000US01,3479035,4246,510597,15698,49168,4856,171217,8956,290212,9518,2968438,16434,1355322,16135,724744,11747,888372,11457,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,476403,1190,47356,4172,1956,653,23819,2698,21581,2506,429047,4274,177471,5080,166117,4917,85459,4073,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4420179,4360,537069,16662,52198,4670,199654,9318,285217,11734,3883110,17338,1729162,18664,1033827,15333,1120121,14615,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2107182,3122,314158,10730,26521,2467,123182,6456,164455,8096,1793024,11523,807579,10966,472158,11101,513287,9053,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26687590,10833,3091595,54017,301127,12181,1078762,29087,1711706,34691,23595995,54600,10189670,48290,6835750,48633,6570575,39535,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3510540,3741,353890,12339,34276,3920,158306,6834,161308,7347,3156650,11935,1494192,15003,989584,15196,672874,8973,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2662501,3336,198519,10354,10013,2236,67949,6094,120557,7036,2463982,10847,1131668,14312,724666,11663,607648,8870,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,644406,1460,60293,4576,4206,1260,23697,2572,32390,3816,584113,4768,283219,5842,152431,4994,148463,4232,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,413322,983,64845,4441,1881,702,22151,2738,40813,3872,348477,4369,184567,4458,89932,4137,73978,3632,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13806889,7724,1581446,33406,139441,9106,538154,14793,903851,23761,12225443,33671,5355583,29070,3039611,30403,3830249,28195,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6716449,5748,842167,21414,73384,5748,319830,13504,448953,14394,5874282,22085,2892037,21765,1547551,21423,1434694,15381,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,971888,1776,88255,5371,6131,1721,30920,3089,51204,4065,883633,6051,399789,8156,242487,7683,241357,5737,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1065781,2130,133281,6625,14876,2076,65699,4567,52706,3633,932500,6973,389975,7457,314715,7805,227810,5500,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9569706,5829,1007379,24003,80379,5315,385432,12445,541568,16358,8562327,24867,3911724,25480,2478777,23007,2171826,18353,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
