GEO_ID,B15002I_001E,B15002I_001M,B15002I_002E,B15002I_002M,B15002I_003E,B15002I_003M,B15002I_004E,B15002I_004M,B15002I_005E,B15002I_005M,B15002I_006E,B15002I_006M,B15002I_007E,B15002I_007M,B15002I_008E,B15002I_008M,B15002I_009E,B15002I_009M,B15002I_010E,B15002I_010M,B15002I_011E,B15002I_011M,B15002I_012E,B15002I_012M,B15002I_013E,B15002I_013M,B15002I_014E,B15002I_014M,B15002I_015E,B15002I_015M,B15002I_016E,B15002I_016M,B15002I_017E,B15002I_017M,NAME,B15002I_001MA,B15002I_001EA,B15002I_002EA,B15002I_002MA,B15002I_003EA,B15002I_003MA,B15002I_004EA,B15002I_004MA,B15002I_005EA,B15002I_005MA,B15002I_006MA,B15002I_006EA,B15002I_007MA,B15002I_007EA,B15002I_008EA,B15002I_008MA,B15002I_009EA,B15002I_009MA,B15002I_010EA,B15002I_010MA,B15002I_011MA,B15002I_011EA,B15002I_012MA,B15002I_012EA,B15002I_013EA,B15002I_013MA,B15002I_014EA,B15002I_014MA,B15002I_015EA,B15002I_015MA,B15002I_016MA,B15002I_016EA,B15002I_017MA,B15002I_017EA,state
0400000US01,51360,1860,30291,1536,10600,1483,5562,1098,7407,1501,2848,891,1127,464,1661,643,1086,547,21069,1305,5259,880,2628,694,5463,1173,3282,834,1245,488,2410,677,782,336,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14657,1014,7196,784,609,422,204,175,2439,794,2521,937,99,155,925,453,399,313,7461,862,269,203,808,401,1339,533,2802,845,407,319,1400,577,436,272,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,840673,1616,433544,1267,100786,5891,78670,5108,121222,7245,70230,5359,21719,2912,27086,3426,13831,1922,407129,1063,87990,5471,68820,5356,120908,5414,73693,3953,22586,2441,23783,2595,9349,1531,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,60705,2195,32523,1908,12012,1494,5737,1292,8097,1612,3284,1034,1062,553,1618,698,713,363,28182,1681,9558,1464,4703,1157,7547,1302,2095,698,1796,694,1986,931,497,254,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6543461,2363,3309564,1944,912736,20454,607861,14330,841939,19073,479984,12165,151148,6943,223021,8946,92875,5126,3233897,1909,895396,13340,547821,14273,797744,16031,523169,11867,160861,7636,214498,7737,94408,5945,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,474992,1892,248967,1749,51345,4715,47440,5163,74178,4644,35502,3345,13689,2046,17708,2507,9105,1291,226025,1257,41730,4071,43232,4358,66200,4143,35366,2729,12409,2023,19312,2865,7776,1506,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,204977,624,100035,732,15758,2859,16644,2362,37977,3437,12158,1922,3588,937,7995,1580,5915,1484,104942,792,17337,2192,15953,2335,32320,2709,17632,2334,7579,1722,8235,1478,5886,1152,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26346,398,14391,240,4328,950,2546,800,3043,1072,2039,678,395,298,1078,561,962,471,11955,368,3418,823,2453,777,2528,610,1314,484,347,287,1298,534,597,372,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,30023,0,16071,0,5811,1357,2051,1176,2964,886,1517,749,172,202,1513,752,2043,734,13952,0,3843,903,1306,640,2183,803,1734,680,301,254,1642,695,2943,781,District of Columbia,*****,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2151208,3324,1056541,2639,172705,8616,141582,7308,295057,10465,168404,6741,71195,5205,132342,7259,75256,5163,1094667,2459,162414,7204,129081,7830,298517,10791,180698,6761,101132,6215,155878,7231,66947,3565,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
