GEO_ID,B19101A_001E,B19101A_001M,B19101A_002E,B19101A_002M,B19101A_003E,B19101A_003M,B19101A_004E,B19101A_004M,B19101A_005E,B19101A_005M,B19101A_006E,B19101A_006M,B19101A_007E,B19101A_007M,B19101A_008E,B19101A_008M,B19101A_009E,B19101A_009M,B19101A_010E,B19101A_010M,B19101A_011E,B19101A_011M,B19101A_012E,B19101A_012M,B19101A_013E,B19101A_013M,B19101A_014E,B19101A_014M,B19101A_015E,B19101A_015M,B19101A_016E,B19101A_016M,B19101A_017E,B19101A_017M,NAME,B19101A_001EA,B19101A_001MA,B19101A_002EA,B19101A_002MA,B19101A_003EA,B19101A_003MA,B19101A_004MA,B19101A_004EA,B19101A_005MA,B19101A_005EA,B19101A_006EA,B19101A_006MA,B19101A_007EA,B19101A_007MA,B19101A_008EA,B19101A_008MA,B19101A_009MA,B19101A_009EA,B19101A_010MA,B19101A_010EA,B19101A_011EA,B19101A_011MA,B19101A_012EA,B19101A_012MA,B19101A_013MA,B19101A_013EA,B19101A_014EA,B19101A_014MA,B19101A_015MA,B19101A_015EA,B19101A_016MA,B19101A_016EA,B19101A_017EA,B19101A_017MA,state
0400000US01,894182,8779,38575,3702,34488,3413,42376,2986,53633,4060,48682,3252,52480,3999,50935,3541,52593,3334,46632,2966,86806,4774,111091,5751,119240,4855,70609,3685,32449,2819,27557,2256,26036,2245,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,116643,3537,3566,872,2118,660,3219,739,3715,1034,2891,728,4335,1029,4238,925,4887,1042,4963,1137,10758,1409,14042,1747,21806,2151,15571,1696,8720,1232,7002,1168,4812,830,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1156153,12596,49245,4012,35768,3353,53411,4912,59174,4570,60660,4827,66695,4679,64554,4815,64282,4370,58802,4436,105755,5765,141622,6597,160285,5733,94351,4814,49946,3087,48577,3915,43026,3138,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,602985,8694,30480,2679,29334,2403,31210,2702,41926,3253,41091,3295,40745,2667,36677,2918,37695,2610,32808,2618,62717,4255,71284,4144,72279,3914,34324,2581,15558,1569,14060,1905,10797,1541,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5275898,28564,192897,9958,156692,7250,198138,7706,228505,8942,228683,8656,234976,10134,218169,6923,235224,8298,214446,8909,418145,9448,572022,12720,751223,15116,563089,14505,332886,8681,346635,9367,384168,9450,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,992819,12181,36825,3630,27369,2665,31199,3219,41298,3513,40405,3173,44678,3356,45452,3824,47749,2870,44213,3179,83302,4245,127453,5292,160081,4888,100885,4504,60129,3286,52705,3287,49076,3476,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,744725,9324,16466,2764,13045,2222,13985,1993,19224,2097,24611,2892,25911,2326,25595,2610,29259,2924,26282,2424,60299,4284,81684,4214,133533,5649,92746,4561,54996,3277,58078,3804,69011,3713,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,163609,3619,4451,991,3624,1024,4039,1002,4651,967,6575,1350,5992,989,7741,1499,8399,1343,8390,1524,15505,1619,22613,2208,27593,1986,18542,1998,8934,1270,8790,1116,7770,1434,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,30889,1972,948,538,463,347,695,526,477,306,215,210,529,329,512,228,762,386,562,322,899,403,1778,684,2638,664,3281,821,2586,756,5121,913,9423,1265,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3649093,23351,140183,7333,130978,7363,166967,7547,190643,7281,199952,7014,220626,7623,213095,7888,210429,8007,186598,7025,338147,10803,434603,11707,490758,11987,288659,7958,147505,6608,138546,5425,151404,5365,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
