GEO_ID,C18025_001E,C18025_001M,C18025_002E,C18025_002M,C18025_003E,C18025_003M,C18025_004E,C18025_004M,C18025_005E,C18025_005M,C18025_006E,C18025_006M,C18025_007E,C18025_007M,C18025_008E,C18025_008M,C18025_009E,C18025_009M,C18025_010E,C18025_010M,C18025_011E,C18025_011M,C18025_012E,C18025_012M,C18025_013E,C18025_013M,C18025_014E,C18025_014M,C18025_015E,C18025_015M,NAME,C18025_001EA,C18025_001MA,C18025_002EA,C18025_002MA,C18025_003MA,C18025_003EA,C18025_004MA,C18025_004EA,C18025_005MA,C18025_005EA,C18025_006MA,C18025_006EA,C18025_007EA,C18025_007MA,C18025_008EA,C18025_008MA,C18025_009EA,C18025_009MA,C18025_010EA,C18025_010MA,C18025_011MA,C18025_011EA,C18025_012EA,C18025_012MA,C18025_013EA,C18025_013MA,C18025_014EA,C18025_014MA,C18025_015EA,C18025_015MA,state
0400000US01,2894176,5043,129327,4797,24725,2459,3065,841,21660,2433,104602,4553,9663,1511,94939,4233,2764849,6163,1087337,6257,699262,11150,388075,10679,1677512,6518,1202754,10364,474758,9367,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,426990,1889,11914,1650,1897,691,570,383,1327,575,10017,1495,1456,435,8561,1348,415076,2726,158701,1988,100957,3093,57744,3000,256375,2752,192748,4193,63627,3722,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3667827,4564,100951,5933,23049,2506,5055,1195,17994,2165,77902,4801,11139,1695,66763,4274,3566876,7994,1517429,5761,1027274,10681,490155,11538,2049447,5962,1497080,10273,552367,9980,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1738224,3831,79221,4642,15749,1987,3170,859,12579,1925,63472,3817,6965,1404,56507,3734,1659003,6120,663753,5594,444550,7886,219203,6877,995250,5114,727852,8527,267398,7353,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22906307,11669,577016,14018,121523,6881,25329,3117,96194,6355,455493,12348,72799,4761,382694,11300,22329291,18225,9222551,15293,5832227,24950,3390324,27752,13106740,13774,9560365,26748,3546375,27644,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3053504,4420,62213,3977,14900,2035,4014,979,10886,1848,47313,3178,9051,1296,38262,2827,2991291,5938,1230251,5498,877766,10065,352485,9696,1761040,5098,1369908,7985,391132,9122,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2215438,3697,55058,4357,12097,2104,4536,1423,7561,1397,42961,3838,11033,2022,31928,3222,2160380,5891,737748,4416,497792,7331,239956,7195,1422632,4123,1117481,7704,305151,6845,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,535270,1881,14562,1843,2738,896,730,462,2008,776,11824,1549,2575,742,9249,1408,520708,2736,196750,2116,138628,3676,58122,3333,323958,1833,247254,3392,76704,2880,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,349668,1304,10752,1713,2721,1119,1053,677,1668,803,8031,1356,891,388,7140,1370,338916,2166,143809,1668,100149,2832,43660,2939,195107,1491,141789,3472,53318,3342,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10879045,9146,338900,10329,60158,5091,14065,2363,46093,4633,278742,8910,40176,3390,238566,7933,10540145,13855,3951281,10579,2638872,16571,1312409,15575,6588864,10792,4853311,18953,1735553,17088,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
