GEO_ID,C06007_001E,C06007_001M,C06007_002E,C06007_002M,C06007_003E,C06007_003M,C06007_004E,C06007_004M,C06007_005E,C06007_005M,C06007_006E,C06007_006M,C06007_007E,C06007_007M,C06007_008E,C06007_008M,C06007_009E,C06007_009M,C06007_010E,C06007_010M,C06007_011E,C06007_011M,C06007_012E,C06007_012M,C06007_013E,C06007_013M,C06007_014E,C06007_014M,C06007_015E,C06007_015M,C06007_016E,C06007_016M,C06007_017E,C06007_017M,C06007_018E,C06007_018M,C06007_019E,C06007_019M,C06007_020E,C06007_020M,C06007_021E,C06007_021M,C06007_022E,C06007_022M,C06007_023E,C06007_023M,C06007_024E,C06007_024M,C06007_025E,C06007_025M,NAME,C06007_001EA,C06007_001MA,C06007_002MA,C06007_002EA,C06007_003EA,C06007_003MA,C06007_004EA,C06007_004MA,C06007_005MA,C06007_005EA,C06007_006EA,C06007_006MA,C06007_007MA,C06007_007EA,C06007_008MA,C06007_008EA,C06007_009EA,C06007_009MA,C06007_010EA,C06007_010MA,C06007_011EA,C06007_011MA,C06007_012MA,C06007_012EA,C06007_013MA,C06007_013EA,C06007_014EA,C06007_014MA,C06007_015EA,C06007_015MA,C06007_016MA,C06007_016EA,C06007_017MA,C06007_017EA,C06007_018MA,C06007_018EA,C06007_019MA,C06007_019EA,C06007_020EA,C06007_020MA,C06007_021EA,C06007_021MA,C06007_022MA,C06007_022EA,C06007_023MA,C06007_023EA,C06007_024MA,C06007_024EA,C06007_025MA,C06007_025EA,state
0400000US01,4150183,2206,3977527,7743,172656,7727,97656,6666,75000,4297,2905639,18978,2865241,17967,40398,3964,30346,3460,10052,2000,1097467,18285,1061602,17727,35865,3411,27750,3412,8115,1392,28884,2922,23795,2841,5089,1284,4083,1163,1006,501,118193,6572,26889,3942,91304,5770,35477,4536,55827,3351,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,592520,830,512178,3905,80342,3939,55438,3577,24904,2475,218829,4741,183308,4946,35521,2416,28295,2276,7226,973,326994,5259,309830,4907,17164,2397,14346,2105,2818,1158,12571,1581,9307,1418,3264,819,1996,704,1268,527,34126,2311,9733,1634,24393,2130,10801,1667,13592,1726,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5370067,1271,3899889,21897,1470178,21586,836164,17592,634014,16871,1661155,21271,1192420,20727,468735,14665,385251,13968,83484,5261,2812506,21777,2552716,18195,259790,11670,213015,10222,46775,4385,65142,5013,42603,4009,22539,3328,15688,2705,6851,2118,831264,20387,112150,6772,719114,18624,222210,10173,496904,15920,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2515066,2038,2365754,6694,149312,6043,78999,4999,70313,4596,1501567,12964,1472943,13098,28624,3179,22164,2922,6460,1385,897062,12039,863244,11341,33818,4223,26737,3683,7081,1420,16160,2317,13790,2143,2370,917,1850,841,520,382,100277,5015,15777,2235,84500,4446,28248,2790,56252,4403,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32599457,3023,18808277,59716,13791180,59671,7196378,57665,6594802,55236,15823496,55167,11496469,60823,4327027,40009,3538397,42380,788630,19319,6887991,39058,6184162,38897,703829,17450,549298,15456,154531,8571,351482,11373,189180,8159,162302,8272,109081,6915,53221,4124,9536488,52542,938466,21990,8598022,55453,2999602,37894,5598420,52873,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4223659,1774,3505917,13769,717742,13882,398991,12478,318751,12139,1634101,19081,1469410,17759,164691,8771,129475,8193,35216,4209,2079761,19962,1923057,20091,156704,7333,127230,6389,29474,3811,55535,3802,42505,3349,13030,2145,9618,1719,3412,1152,454262,11968,70945,4365,383317,11826,132668,7237,250649,11540,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3183775,660,2579473,13562,604302,13433,364121,11200,240181,11750,1737111,17552,1597723,16845,139388,6863,119053,6490,20335,2183,927003,15193,846450,15123,80553,5895,66448,5835,14105,2320,100165,5826,23263,2674,76902,5218,39215,4093,37687,4381,419496,14751,112037,6661,307459,13024,139405,7357,168054,10240,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,763189,304,675223,4212,87966,4176,50620,3935,37346,2618,328990,8073,313383,8016,15607,2561,12055,2346,3552,928,360294,8456,342423,8391,17871,2427,14527,2167,3344,1202,11613,1931,4564,1202,7049,1531,4207,1189,2842,899,62292,3706,14853,2306,47439,3398,19831,2383,27608,2724,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,477395,429,402580,3521,74815,3534,46205,3579,28610,3227,173243,4562,165469,4641,7774,1528,5351,1195,2423,1030,231442,5042,215006,4836,16436,2385,13468,2274,2968,851,5354,1085,3592,914,1762,594,1558,581,204,197,67356,3881,18513,2602,48843,3640,25828,2978,23015,2577,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16270161,3373,12141842,31740,4128319,31489,2271250,34170,1857069,25359,4825676,33224,4198732,38042,626944,18995,529487,17780,97457,8706,7783495,35566,7164363,32312,619132,16633,526522,16478,92610,6117,471377,12640,144858,7165,326519,10884,196448,9019,130071,7337,3189613,28570,633889,19939,2555724,23849,1018793,20096,1536931,22432,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
