GEO_ID,B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,NAME,B15002H_001MA,B15002H_001EA,B15002H_002MA,B15002H_002EA,B15002H_003EA,B15002H_003MA,B15002H_004EA,B15002H_004MA,B15002H_005EA,B15002H_005MA,B15002H_006MA,B15002H_006EA,B15002H_007MA,B15002H_007EA,B15002H_008EA,B15002H_008MA,B15002H_009EA,B15002H_009MA,B15002H_010EA,B15002H_010MA,B15002H_011EA,B15002H_011MA,B15002H_012MA,B15002H_012EA,B15002H_013MA,B15002H_013EA,B15002H_014EA,B15002H_014MA,B15002H_015EA,B15002H_015MA,B15002H_016EA,B15002H_016MA,B15002H_017MA,B15002H_017EA,state
0400000US01,2151600,1893,1031970,1475,57698,3538,122507,6138,307561,7875,214311,6715,63883,3373,165891,6339,100119,5636,1119630,1158,56105,3591,134800,5489,368939,8793,227143,6019,82604,4654,158990,6146,91049,4741,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,280411,890,144521,531,2650,756,5902,1123,40054,2558,39726,2254,11999,1363,26779,2310,17411,1519,135890,699,1323,449,5174,1005,33265,2157,37558,2324,11197,1490,29289,2083,18084,1814,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2503169,2099,1211428,1437,19967,2230,75195,4253,272722,9849,320171,7473,106815,6733,262205,8414,154353,5464,1291741,1331,18211,2138,78064,5151,346664,8429,359955,8340,119652,5551,235219,7649,133976,5283,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1434510,2179,688931,1364,41199,3107,79700,4382,239868,5951,152904,5033,31850,2829,93170,4384,50240,3503,745579,1418,39328,2985,81813,3988,272954,6304,159421,5431,46682,2820,98309,4470,47072,2982,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10992623,5493,5344920,2822,91278,5538,294603,9059,1063224,18352,1280313,17478,438539,9998,1298713,16471,878250,13600,5647703,4234,112058,5733,314817,10398,1245947,18501,1472440,19042,520270,12403,1269711,15939,712460,11126,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2260481,2218,1110153,1444,13218,1477,49844,3462,245027,7882,242072,7040,87294,4066,301461,7567,171237,5335,1150328,1645,13585,2035,48324,4004,271620,6929,271853,6732,98222,5333,299357,6764,147367,4692,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1817271,1535,861775,787,24581,2338,55672,4003,242885,6625,145735,5579,51544,3124,196601,7112,144757,5380,955496,961,30715,3020,57500,4210,270250,7434,160839,5180,87309,3986,198541,5538,150342,5582,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,407305,618,194612,330,6224,1187,19702,1929,63004,3333,34945,2525,11612,1490,34836,2298,24289,2235,212693,317,4273,904,17893,2151,73056,3370,37644,2575,19388,1939,37565,2392,22874,1962,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,124762,970,62167,490,324,215,811,443,2218,703,3280,855,1216,412,20906,1785,33412,1960,62595,596,404,296,438,307,3407,784,4474,920,1616,544,22549,1585,29707,1654,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7889864,4556,3776445,2661,94459,5160,317070,9335,1086119,15634,824429,14247,291035,9578,727768,13067,435565,10877,4113419,3222,91270,4323,335314,8969,1369154,15728,916307,13691,376900,8661,683652,11598,340822,8686,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3587907,4642,1739263,3320,70785,3941,175203,6282,482283,9733,343904,7941,100825,5183,364672,9200,201591,5660,1848644,2592,72764,4418,172394,6641,559322,10232,375320,8995,129179,5088,346572,9246,193093,6771,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,213549,978,110023,881,823,380,4889,1126,24555,2228,24786,2042,9588,1494,24509,2105,20873,1958,103526,373,1397,468,5002,1108,21841,1999,24807,2105,10240,1401,25411,2171,14828,1534,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,782182,890,382974,260,9401,1781,29228,2193,112910,4924,99353,4144,30392,2446,66024,3353,35666,2835,399208,807,7254,1098,31240,2907,122774,3896,112602,4302,34442,2620,65731,3607,25165,2373,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5664004,2457,2714556,1617,78282,3952,161782,6394,774276,10864,576841,10009,188886,7404,579891,10991,354598,7809,2949448,1245,94830,4598,184974,5726,887225,11472,643078,10149,243531,7301,573434,9542,322376,7247,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3421851,2378,1644250,1617,61486,3707,153726,5514,619403,9480,320814,6379,109705,4668,244915,7054,134201,5127,1777601,1391,60644,3942,178515,6670,685016,9391,354161,7802,131783,4428,232633,7034,134849,4894,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1803389,1133,868111,682,27586,1734,56613,2795,326744,6493,171397,5314,71762,3883,143613,4561,70396,3813,935278,774,25989,2156,56130,3129,332527,5822,204468,5392,96545,3747,159370,4791,60249,2564,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1463430,1548,707014,1183,20420,2125,42362,2632,213964,6381,163610,4905,44308,2535,146966,5422,75384,3072,756416,879,15986,1883,46305,2968,228588,4957,188442,5471,62219,3384,142892,4491,71984,3547,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2457201,2518,1175419,1836,113959,4389,149417,6306,414595,8222,209492,6466,62924,3700,137793,4373,87239,4706,1281782,1314,107295,4529,139884,6015,451029,8778,240478,7119,92786,4108,144755,5376,105555,4431,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
