GEO_ID,B08503_001E,B08503_001M,B08503_002E,B08503_002M,B08503_003E,B08503_003M,B08503_004E,B08503_004M,B08503_005E,B08503_005M,B08503_006E,B08503_006M,B08503_007E,B08503_007M,NAME,B08503_001EA,B08503_001MA,B08503_002MA,B08503_002EA,B08503_003EA,B08503_003MA,B08503_004EA,B08503_004MA,B08503_005EA,B08503_005MA,B08503_006EA,B08503_006MA,B08503_007EA,B08503_007MA,state
0400000US01,41.3,0.2,41.6,0.2,37.8,0.8,44.2,6.5,37.9,3.6,38.1,3.2,46.3,1.6,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41.9,0.5,42.5,0.5,38.7,1.6,35.8,7.0,41.8,2.0,40.5,2.5,46.1,3.7,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,39.5,0.2,40.3,0.2,33.8,0.7,35.4,3.1,37.3,2.0,35.8,2.4,47.4,1.1,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40.8,0.3,41.3,0.3,36.2,1.1,36.3,2.3,38.4,3.1,38.6,1.9,48.7,2.5,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,40.3,0.1,40.7,0.1,36.6,0.3,37.1,0.6,37.2,0.6,36.5,1.0,47.3,0.4,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40.3,0.2,40.7,0.2,35.5,0.7,37.6,1.5,34.5,1.9,35.7,1.7,45.2,0.9,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,43.0,0.2,43.5,0.2,38.8,0.9,35.7,2.0,37.9,4.7,34.5,4.5,49.8,0.9,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,41.3,0.4,41.7,0.5,37.1,1.3,39.1,3.6,36.1,3.5,38.9,5.0,44.9,1.9,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,42.4,0.3,44.0,0.5,43.2,1.6,40.5,0.6,35.9,2.6,42.3,1.3,42.9,6.4,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,41.6,0.1,42.0,0.2,37.0,0.5,38.6,1.6,38.1,2.4,36.4,1.1,47.8,0.7,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,40.0,0.2,40.3,0.2,36.4,0.7,35.8,1.1,36.5,2.3,36.4,2.7,45.0,0.7,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,42.5,0.3,42.2,0.5,40.6,1.2,45.2,1.7,41.9,3.2,38.0,2.0,51.4,1.9,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,40.4,0.4,40.6,0.4,36.7,1.2,40.5,4.0,40.0,4.0,39.4,1.8,45.2,1.4,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,41.0,0.2,41.5,0.2,37.1,0.7,38.6,0.5,38.0,1.6,39.1,1.4,46.5,0.7,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,41.3,0.3,41.7,0.2,37.7,0.6,39.5,2.0,37.6,2.5,37.0,1.7,46.3,1.1,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,42.0,0.2,42.0,0.2,39.2,0.9,34.8,5.0,43.5,1.9,40.0,3.6,48.2,1.0,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,41.1,0.3,41.3,0.3,37.4,1.2,39.5,3.8,40.0,2.1,37.4,2.4,47.9,1.3,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,41.0,0.2,41.3,0.2,37.4,0.7,41.5,2.9,41.8,3.9,40.2,3.3,46.9,1.3,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,40.8,0.2,41.0,0.3,37.6,0.9,38.3,2.2,40.5,4.0,37.8,3.3,47.4,1.6,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,43.0,0.3,43.3,0.3,38.3,1.5,38.6,2.7,42.8,2.7,39.1,3.2,49.4,1.8,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,41.6,0.2,42.2,0.2,37.2,0.8,35.4,1.5,35.4,2.0,39.5,2.8,46.9,0.9,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,41.8,0.2,42.8,0.2,37.4,1.0,36.6,0.7,35.1,1.1,36.9,1.3,48.0,0.9,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,41.3,0.1,41.5,0.2,37.7,0.5,37.7,2.3,36.4,1.3,40.1,1.8,46.2,0.7,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,41.1,0.2,41.3,0.2,37.3,0.6,37.5,1.9,38.9,1.8,37.5,1.8,46.8,0.7,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,40.9,0.3,41.2,0.3,37.4,1.3,40.3,3.4,44.1,4.4,39.7,3.5,47.3,2.2,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
