GEO_ID,C25115_001E,C25115_001M,C25115_002E,C25115_002M,C25115_003E,C25115_003M,C25115_004E,C25115_004M,C25115_005E,C25115_005M,C25115_006E,C25115_006M,C25115_007E,C25115_007M,C25115_008E,C25115_008M,C25115_009E,C25115_009M,C25115_010E,C25115_010M,C25115_011E,C25115_011M,C25115_012E,C25115_012M,C25115_013E,C25115_013M,C25115_014E,C25115_014M,C25115_015E,C25115_015M,NAME,C25115_001EA,C25115_001MA,C25115_002MA,C25115_002EA,C25115_003MA,C25115_003EA,C25115_004MA,C25115_004EA,C25115_005EA,C25115_005MA,C25115_006EA,C25115_006MA,C25115_007MA,C25115_007EA,C25115_008MA,C25115_008EA,C25115_009MA,C25115_009EA,C25115_010MA,C25115_010EA,C25115_011MA,C25115_011EA,C25115_012EA,C25115_012MA,C25115_013EA,C25115_013MA,C25115_014EA,C25115_014MA,C25115_015MA,C25115_015EA,state
0400000US01,1788692,9253,1261475,13183,935425,11861,762955,11400,172470,6330,42745,3192,129725,5913,326050,9149,527217,11869,288300,8889,128202,6213,160098,7819,28281,3545,131817,7469,238917,8499,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,147019,3283,112217,3811,90505,3483,21712,2008,7176,1233,14536,1772,34802,2624,86233,3244,44970,2647,25848,1795,19122,2131,5997,1219,13125,1841,41263,2893,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,1502457,13503,1090229,13802,890559,12078,199670,7319,60462,3916,139208,6503,412228,11958,701556,12519,369231,11817,187894,8861,181337,9460,49771,5103,131566,6675,332325,10825,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,736825,11065,550416,10718,458677,9925,91739,5882,25185,2478,66554,4627,186409,5253,350717,8790,192028,6676,96868,4793,95160,5497,21132,2553,74028,4816,158689,6154,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,7070138,36338,5377358,30786,4382300,29497,995058,15163,335066,10679,659992,12337,1692780,20242,5027756,31936,2903761,27747,1628821,24685,1274940,19749,378807,12471,896133,15986,2123995,24852,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,1233695,10904,898755,10832,768198,10719,130557,5645,43111,2895,87446,4528,334940,9539,585342,11059,265466,8624,139635,6663,125831,6844,36866,4096,88965,5135,319876,9294,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,919943,9808,696220,10233,583697,9219,112523,5946,32416,2809,80107,4831,223723,6812,403895,8863,197068,7694,91447,5700,105621,5288,23979,3351,81642,4970,206827,7473,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,229860,4042,168018,4429,137742,4299,30276,2688,8668,1509,21608,2375,61842,2834,87780,3942,48164,3372,21896,2639,26268,2575,5344,1148,20924,2162,39616,2922,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,105518,3324,54290,2663,36674,2584,17616,1665,4012,924,13604,1386,51228,3118,142695,3688,54193,3328,17538,2009,36655,2892,6066,1434,30589,2361,88502,3711,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,4903949,29804,3456206,26151,2809464,23184,646742,12653,174923,7478,471819,10551,1447743,18928,2144851,23516,1138597,19864,569809,13515,568788,15287,148029,7980,420759,12522,1006254,19695,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
