GEO_ID,B19001H_001E,B19001H_001M,B19001H_002E,B19001H_002M,B19001H_003E,B19001H_003M,B19001H_004E,B19001H_004M,B19001H_005E,B19001H_005M,B19001H_006E,B19001H_006M,B19001H_007E,B19001H_007M,B19001H_008E,B19001H_008M,B19001H_009E,B19001H_009M,B19001H_010E,B19001H_010M,B19001H_011E,B19001H_011M,B19001H_012E,B19001H_012M,B19001H_013E,B19001H_013M,B19001H_014E,B19001H_014M,B19001H_015E,B19001H_015M,B19001H_016E,B19001H_016M,B19001H_017E,B19001H_017M,NAME,B19001H_001MA,B19001H_001EA,B19001H_002MA,B19001H_002EA,B19001H_003MA,B19001H_003EA,B19001H_004EA,B19001H_004MA,B19001H_005EA,B19001H_005MA,B19001H_006MA,B19001H_006EA,B19001H_007MA,B19001H_007EA,B19001H_008MA,B19001H_008EA,B19001H_009MA,B19001H_009EA,B19001H_010MA,B19001H_010EA,B19001H_011EA,B19001H_011MA,B19001H_012EA,B19001H_012MA,B19001H_013EA,B19001H_013MA,B19001H_014MA,B19001H_014EA,B19001H_015MA,B19001H_015EA,B19001H_016EA,B19001H_016MA,B19001H_017EA,B19001H_017MA,state
0400000US01,1275427,8561,112076,4753,87406,4111,80482,4159,90522,5206,75822,3854,79890,4962,70741,3930,71171,3763,61515,3762,108462,4742,131047,6362,136010,5271,77422,3636,35298,2824,29783,2465,27780,2345,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,171480,2659,8913,1399,6400,1080,6155,1088,8088,1491,6137,1089,7154,1172,6749,1218,8628,1470,8235,1335,15554,1644,20217,1865,26406,2208,18712,1835,9895,1347,8602,1292,5635,877,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1525366,10064,92241,5538,82382,4679,83793,4924,87016,4571,87826,5399,87361,4229,82374,4673,88226,5681,77809,5329,132505,6491,170006,6392,188124,6041,108345,5227,54192,3460,54785,3857,48381,3635,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,865886,7328,84791,4889,67604,3530,59360,3860,67411,4088,60969,3809,60322,3642,52427,3332,47401,3150,41423,2810,76013,4439,83710,4292,82496,4548,38334,2722,16737,1651,14822,1844,12066,1434,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6527575,19282,360783,10936,301554,9337,278401,8247,306152,8954,270412,8827,289903,9254,257896,7873,285445,9667,250881,9192,514341,10719,675642,14329,871430,14936,642758,14478,380017,9248,399446,10462,442514,10632,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1406424,8003,85227,5006,66995,4959,63386,4305,74878,4303,63684,4075,73873,4073,69061,3802,74356,4243,63543,3531,121130,5129,162209,5539,190953,5478,115744,4872,68512,4165,58748,3420,54125,3709,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1049898,7526,49620,3966,46763,3638,37757,2867,39450,2837,43555,3434,43756,3437,40549,3170,46518,3581,37877,2889,82978,5206,112327,5770,161302,5847,104311,4379,64269,3688,65158,4048,73708,3780,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235708,3339,11375,1511,10222,1349,11288,1538,10993,1337,11758,1763,10571,1271,12361,1687,12437,1371,11898,1657,21544,1669,28209,2461,32872,2062,21192,1805,10668,1305,9976,1234,8344,1461,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,88603,2210,5272,1139,2281,656,1908,736,2658,662,1898,615,3447,1181,2124,591,3328,887,3352,858,5970,1069,9605,1498,10756,1438,8900,1401,5180,1112,8604,1211,13320,1474,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4809704,18359,312080,10612,287107,8537,274424,7987,302117,9433,289562,8276,301130,9299,280095,8483,266481,7977,235318,7483,426867,10531,510314,11159,541144,12711,314748,9492,157823,6644,147437,5553,163057,5755,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
