GEO_ID,B12005_001E,B12005_001M,B12005_002E,B12005_002M,B12005_003E,B12005_003M,B12005_004E,B12005_004M,B12005_005E,B12005_005M,B12005_006E,B12005_006M,B12005_007E,B12005_007M,B12005_008E,B12005_008M,B12005_009E,B12005_009M,B12005_010E,B12005_010M,B12005_011E,B12005_011M,B12005_012E,B12005_012M,B12005_013E,B12005_013M,B12005_014E,B12005_014M,B12005_015E,B12005_015M,B12005_016E,B12005_016M,NAME,B12005_001EA,B12005_001MA,B12005_002EA,B12005_002MA,B12005_003MA,B12005_003EA,B12005_004MA,B12005_004EA,B12005_005MA,B12005_005EA,B12005_006EA,B12005_006MA,B12005_007EA,B12005_007MA,B12005_008MA,B12005_008EA,B12005_009MA,B12005_009EA,B12005_010MA,B12005_010EA,B12005_011EA,B12005_011MA,B12005_012EA,B12005_012MA,B12005_013EA,B12005_013MA,B12005_014MA,B12005_014EA,B12005_015MA,B12005_015EA,B12005_016EA,B12005_016MA,state
0400000US01,3541734,2600,882167,12206,852201,12015,29966,3166,1920454,16733,1854966,16112,65488,4390,86285,5711,83552,5504,2733,1301,253388,5946,250195,5819,3193,1017,399440,10817,394296,10988,5144,1207,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,487292,676,143097,4246,138017,3964,5080,1378,257914,5932,234612,5509,23302,2147,10021,1732,8972,1681,1049,456,17467,1743,16085,1694,1382,517,58793,3583,56703,3442,2090,634,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4506643,1491,1254390,17690,1071381,17400,183009,10010,2402718,22971,1921022,22200,481696,14777,84543,5582,59880,5156,24663,2899,243115,6236,215020,5963,28095,3003,521877,14059,471464,14237,50413,4171,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2145130,2171,486723,8887,463649,9185,23074,2692,1195165,13020,1138003,13242,57162,3940,54342,4406,51740,4380,2602,924,149231,5525,145142,5224,4089,1242,259669,9072,255023,8402,4646,1629,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27234841,3105,8551445,49201,6379086,39433,2172359,37164,14080279,59920,8385812,49964,5694467,43474,638424,17057,362370,10905,276054,11642,1396515,17068,963810,13469,432705,10773,2568178,29731,2022508,24416,545670,15213,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3576694,1805,996011,13824,895222,14437,100789,6878,1967638,19067,1702833,16106,264805,9272,59762,4827,47782,3685,11980,2804,157698,4958,143424,4871,14274,2058,395585,12206,365217,11724,30368,3758,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2713793,1092,763857,9020,681744,9679,82113,6312,1471045,14623,1220705,14041,250340,9951,42115,4164,32795,3601,9320,1844,170146,6156,146168,5343,23978,2608,266630,8697,233071,7917,33559,3259,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,656669,732,178915,5104,166085,4841,12830,1897,355425,6757,316864,7002,38561,2996,14966,1774,12924,1679,2042,971,40208,2225,37656,2215,2552,739,67155,3528,63393,3534,3762,1049,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,419087,564,204641,5392,178710,4630,25931,3894,129797,6366,101407,5218,28390,3588,14851,1922,12528,1716,2323,778,28864,2111,26794,2098,2070,606,40934,3359,35225,3147,5709,1220,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14040729,4027,3633058,24626,2985640,23841,647418,15769,7406298,33978,5624459,33121,1781839,21547,332780,13481,229104,10034,103676,8254,977054,14305,798066,12219,178988,5973,1691539,20584,1371578,19320,319961,10399,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
