GEO_ID,B25045_001E,B25045_001M,B25045_002E,B25045_002M,B25045_003E,B25045_003M,B25045_004E,B25045_004M,B25045_005E,B25045_005M,B25045_006E,B25045_006M,B25045_007E,B25045_007M,B25045_008E,B25045_008M,B25045_009E,B25045_009M,B25045_010E,B25045_010M,B25045_011E,B25045_011M,B25045_012E,B25045_012M,B25045_013E,B25045_013M,B25045_014E,B25045_014M,B25045_015E,B25045_015M,B25045_016E,B25045_016M,B25045_017E,B25045_017M,B25045_018E,B25045_018M,B25045_019E,B25045_019M,NAME,B25045_001EA,B25045_001MA,B25045_002MA,B25045_002EA,B25045_003MA,B25045_003EA,B25045_004MA,B25045_004EA,B25045_005EA,B25045_005MA,B25045_006EA,B25045_006MA,B25045_007MA,B25045_007EA,B25045_008MA,B25045_008EA,B25045_009MA,B25045_009EA,B25045_010MA,B25045_010EA,B25045_011EA,B25045_011MA,B25045_012EA,B25045_012MA,B25045_013MA,B25045_013EA,B25045_014MA,B25045_014EA,B25045_015MA,B25045_015EA,B25045_016EA,B25045_016MA,B25045_017EA,B25045_017MA,B25045_018MA,B25045_018EA,B25045_019MA,B25045_019EA,state
0400000US01,1788692,9253,1261475,13183,40913,2360,2912,936,12861,1591,25140,2063,1220562,13065,160431,7012,766652,8855,293479,5111,527217,11869,80501,4747,21664,2959,34888,2909,23949,2790,446716,11020,207569,7462,198246,7577,40901,2317,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,147019,3283,8057,821,665,240,5282,753,2110,385,138962,3131,17580,1691,103893,2780,17489,1126,86233,3244,14448,1683,3886,761,8033,1217,2529,543,71785,3164,32332,2231,36023,2639,3430,729,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,1502457,13503,43412,3357,3999,1306,15475,1764,23938,2237,1459045,13581,216494,6470,867455,11197,375096,5861,701556,12519,100029,5734,34646,3813,40766,3811,24617,1980,601527,12418,299847,8232,258206,9644,43474,2908,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,736825,11065,22074,2172,833,450,8040,1452,13201,1348,714751,10944,95477,4289,433102,8239,186172,4022,350717,8790,50104,3997,15673,2658,21066,2724,13365,1378,300613,8367,131930,5245,139840,6729,28843,2177,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,7070138,36338,196966,7472,12639,2257,67264,4531,117063,5781,6873172,36767,785842,15656,4534486,33361,1552844,15426,5027756,31936,724188,12375,189083,7225,311522,9521,223583,9354,4303568,32657,1675896,22524,2284531,27849,343141,8839,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,1233695,10904,24809,2228,2335,758,9602,1553,12872,1488,1208886,10497,199048,6667,793719,8931,216119,4160,585342,11059,75636,5098,22711,3020,30378,2968,22547,2170,509706,11180,255975,9259,219456,7116,34275,2449,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,919943,9808,24519,2601,1788,662,6172,990,16559,2285,895424,9920,90841,4735,602889,8457,201694,4592,403895,8863,85427,4690,20471,3301,36832,3418,28124,2703,318468,8237,113361,5376,163015,6890,42092,2955,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,229860,4042,7091,1279,880,479,2667,771,3544,752,222769,4016,29461,2161,139673,3341,53635,1819,87780,3942,13943,1857,4187,1043,5718,1349,4038,882,73837,3858,34253,2770,32761,2817,6823,1163,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,105518,3324,16377,1857,2528,627,8051,1312,5798,1007,89141,2977,14383,1639,53276,2295,21482,1963,142695,3688,76082,3470,24848,2323,37940,2433,13294,1611,66613,3462,29027,2307,31368,2412,6218,1222,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,4903949,29804,161561,6165,7846,1287,52417,3819,101298,4680,4742388,29661,509431,12441,2804829,20523,1428128,13265,2144851,23516,300894,10981,82153,6008,118951,6493,99790,5784,1843957,22872,767566,13382,892818,18588,183573,6593,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
