GEO_ID,B06004B_001E,B06004B_001M,B06004B_002E,B06004B_002M,B06004B_003E,B06004B_003M,B06004B_004E,B06004B_004M,B06004B_005E,B06004B_005M,NAME,B06004B_001EA,B06004B_001MA,B06004B_002EA,B06004B_002MA,B06004B_003EA,B06004B_003MA,B06004B_004MA,B06004B_004EA,B06004B_005MA,B06004B_005EA,state
0400000US01,1144330,5190,969468,10584,161409,8825,5432,2686,8021,3090,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22103,850,4660,1444,15328,1805,534,335,1581,967,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,180769,5229,59465,5148,98483,5230,2018,752,20803,3564,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,414260,5201,327854,7890,83777,5602,1106,547,1523,808,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2163530,16014,1297456,21361,726825,15624,12333,2159,126916,11058,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,165729,3553,65251,4773,82239,3856,2951,965,15288,2880,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,309769,5164,158651,7121,88521,5271,5329,1943,57268,6355,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,163052,1712,84832,4580,66685,4573,1960,939,9575,2461,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,292445,2327,171453,4707,105759,4483,1248,631,13985,2576,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2613628,12771,1471688,21382,585123,16852,33232,5441,523585,16746,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2571396,9894,1703036,20308,737245,18826,28069,5084,103046,8909,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,24239,1132,2397,1130,20029,1597,1208,709,605,498,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,5931,1284,1852,865,3090,940,36,63,953,858,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1803613,7768,1316807,14914,439696,13832,3307,1529,43803,4956,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,522377,6014,328682,9310,177794,8082,2411,1456,13490,3710,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,62827,2765,33403,2672,25796,2706,15,22,3613,1340,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,147455,4920,79626,5908,60900,4168,1007,518,5922,1957,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,292012,4113,218871,7017,65507,5217,2336,1090,5298,1792,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1425685,5155,1280049,9255,134840,7954,3030,837,7766,1915,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8788,1028,2155,848,3347,1168,0,229,3286,1141,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1564914,6641,743658,14855,662768,14212,14138,2846,144350,10794,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,363095,11147,179238,8910,67414,4179,5984,1577,110459,7649,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1379010,8917,995443,13925,345070,10193,3885,1101,34612,8479,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,205160,4269,70954,5196,85893,5219,998,503,47315,5648,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1030075,6224,894469,10894,131838,8825,2009,829,1759,790,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,627978,5687,445620,10376,163281,8081,2618,1035,16459,4111,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4135,1056,2111,1001,1679,640,41,69,304,366,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,68389,2621,35413,3268,26103,2510,818,492,6055,2278,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,170854,3413,51286,5256,109623,5803,1469,660,8476,2130,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,10456,988,1662,707,3579,959,60,86,5155,1276,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1130967,8071,648970,14799,307572,10555,11847,2583,162578,11619,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,35604,2500,13842,2462,18707,1908,738,544,2317,1181,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2858062,16127,1645006,20831,412714,11691,30763,4178,769579,19428,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1765698,8882,1297272,17084,418539,13864,10254,2159,39633,6821,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,4981,712,692,367,2655,661,0,203,1634,527,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1283908,6753,925496,11352,308762,8352,3072,1017,46578,6167,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,243094,5154,169223,5535,68060,4502,1537,709,4274,1449,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US41,58309,2121,23579,2574,28130,2955,345,348,6255,1947,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US42,1208536,8425,864851,11380,263091,9183,9949,2344,70645,7308,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US44,51843,3375,19876,3375,18667,2666,1139,750,12161,2146,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1174488,4916,961984,10268,198992,9440,5104,1410,8408,2141,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US46,6166,656,2306,522,1913,667,67,101,1880,685,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US47,954287,5752,692316,12543,241949,11244,3210,1166,16812,3524,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US48,2442350,11025,1747716,20010,572500,16391,15806,2576,106328,8817,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US49,18325,1504,5964,1017,9583,1430,104,157,2674,1144,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2932,441,419,332,1863,493,45,74,605,384,Vermont,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1397192,8973,897681,12487,424741,11494,12400,2082,62370,6765,Virginia,null,null,null,null,null,null,null,null,null,null,51
0400000US53,202286,4470,74000,5384,91030,4780,4127,1995,33129,5369,Washington,null,null,null,null,null,null,null,null,null,null,53
