GEO_ID,B11010_001E,B11010_001M,B11010_002E,B11010_002M,B11010_003E,B11010_003M,B11010_004E,B11010_004M,B11010_005E,B11010_005M,B11010_006E,B11010_006M,B11010_007E,B11010_007M,B11010_008E,B11010_008M,B11010_009E,B11010_009M,B11010_010E,B11010_010M,B11010_011E,B11010_011M,B11010_012E,B11010_012M,B11010_013E,B11010_013M,B11010_014E,B11010_014M,B11010_015E,B11010_015M,NAME,B11010_001MA,B11010_001EA,B11010_002EA,B11010_002MA,B11010_003EA,B11010_003MA,B11010_004MA,B11010_004EA,B11010_005EA,B11010_005MA,B11010_006MA,B11010_006EA,B11010_007EA,B11010_007MA,B11010_008EA,B11010_008MA,B11010_009MA,B11010_009EA,B11010_010EA,B11010_010MA,B11010_011MA,B11010_011EA,B11010_012MA,B11010_012EA,B11010_013EA,B11010_013MA,B11010_014EA,B11010_014MA,B11010_015MA,B11010_015EA,state
0400000US13,1034922,14995,497692,10943,381453,10246,325389,9921,56064,2891,116239,7131,109682,7057,6557,1069,537230,10461,466082,9398,294131,7892,171951,5094,71148,5039,67653,4895,3495,754,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,124218,4615,59718,3399,45106,3211,36363,3115,8743,1109,14612,1912,13831,1873,781,329,64500,3364,51035,3084,28734,2552,22301,2028,13465,2015,12793,2059,672,311,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,159905,5192,74014,3692,55371,3560,43239,3213,12132,1270,18643,2158,17492,2125,1151,390,85891,4152,71211,3958,40965,3196,30246,2051,14680,1934,14030,1901,650,311,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1564889,16197,710270,12147,565278,11391,450138,10475,115140,4684,144992,8145,136502,7983,8490,1263,854619,13137,746289,13321,414318,11543,331971,6427,108330,5710,98763,5712,9567,1328,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,803061,12199,369432,8562,286905,7769,229826,7749,57079,3090,82527,4868,78087,4855,4440,787,433629,8057,374407,7327,198452,6037,175955,4372,59222,3442,55116,3406,4106,799,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,410701,7581,193444,5437,151751,4790,122848,4347,28903,1886,41693,2946,39548,3040,2145,480,217257,5059,184628,4426,87341,3651,97287,2598,32629,2608,30937,2555,1692,509,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,356097,7481,166618,5212,135005,5293,109524,4841,25481,2231,31613,2897,29684,2844,1929,491,189479,5458,163705,5338,87770,4975,75935,2083,25774,2051,23944,2009,1830,522,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,534655,10214,243256,7463,200259,7032,163847,6515,36412,2601,42997,2965,39999,2942,2998,627,291399,7049,259887,7206,140307,5545,119580,4035,31512,2810,29110,2777,2402,774,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,539594,11246,245057,7884,198090,7692,158911,6947,39179,2511,46967,4496,43679,4332,3288,1155,294537,7353,261488,6956,146117,5928,115371,3844,33049,3215,29687,3113,3362,893,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,186689,6291,86670,3807,65147,3291,49495,3216,15652,1572,21523,2146,19957,2097,1566,532,100019,4147,82141,3255,41229,2577,40912,1951,17878,2257,15827,2106,2051,587,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,687676,12530,306024,9036,236595,7818,193470,7363,43125,2753,69429,5169,63736,5142,5693,1112,381652,8314,327206,8207,198994,7677,128212,3577,54446,4055,51535,3986,2911,541,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,878360,14218,383228,9490,286960,9256,221088,8925,65872,3094,96268,4486,91027,4537,5241,1125,495132,10408,413417,9280,226961,7539,186456,5048,81715,5010,75758,5075,5957,918,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1293766,14965,600373,10941,480379,10093,389697,10212,90682,3875,119994,5739,111807,5758,8187,1137,693393,10987,602225,9887,329540,8920,272685,5157,91168,5245,84096,5021,7072,1054,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,691098,11019,327398,7529,251555,6883,206168,6072,45387,2708,75843,4865,72430,4738,3413,699,363700,7805,303574,7079,170148,6462,133426,3385,60126,3671,57008,3662,3118,609,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,324035,7701,156506,6714,128987,6358,102701,6344,26286,2292,27519,2935,25567,2791,1952,632,167529,6056,152403,5629,77614,4520,74789,3432,15126,2052,13848,1953,1278,687,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,764721,10445,350187,7630,276416,6697,221536,7070,54880,2877,73771,4856,68224,4433,5547,1197,414534,7888,358112,7346,196572,6723,161540,3946,56422,4046,52856,3927,3566,744,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,131475,4161,67096,3229,51848,3074,41304,3053,10544,994,15248,1895,14673,1880,575,254,64379,3257,53238,2828,28717,2281,24521,1536,11141,1470,10487,1355,654,336,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,240463,6122,113715,4152,90894,4266,73845,3762,17049,1516,22821,2846,21338,2749,1483,486,126748,3887,110917,3540,57518,2965,53399,2009,15831,1763,14507,1704,1324,532,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,317428,8148,167355,5596,125192,5418,100044,5066,25148,2229,42163,3178,38923,3145,3240,910,150073,5656,121817,4856,74205,4799,47612,2580,28256,2962,25231,2937,3025,839,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,159439,5186,74669,4056,55664,3114,42629,2658,13035,1565,19005,2554,17522,2372,1483,640,84770,3719,67686,2901,37465,2804,30221,1919,17084,2263,15900,2219,1184,474,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,969677,15329,424710,9806,333860,9703,254938,9060,78922,4541,90850,5105,84742,5033,6108,1257,544967,10859,482019,9305,250786,6888,231233,6593,62948,4056,56786,3767,6162,963,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,245061,6870,116819,5006,90994,4273,71265,3926,19729,1960,25825,2890,24216,2922,1609,593,128242,5169,109365,5101,64451,4234,44914,2623,18877,2354,17129,2194,1748,607,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2498628,23128,1112601,17684,877031,17086,680228,15152,196803,7171,235570,7458,217051,7308,18519,2050,1386027,18390,1197606,16622,659501,12539,538105,9524,188421,8492,169503,8207,18918,1861,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1119641,14613,520143,11060,404195,9986,335511,9218,68684,3789,115948,6161,109733,5947,6215,1333,599498,9304,527223,9340,309367,8655,217856,5641,72275,4730,67929,4678,4346,812,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,104631,3425,50078,2544,40446,2546,33641,2339,6805,811,9632,1373,9239,1345,393,171,54553,2159,46894,2119,24864,1913,22030,1208,7659,1139,7298,1095,361,178,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,1520915,16315,693342,12925,553224,11426,439094,10652,114130,4137,140118,6199,131638,5859,8480,1526,827573,11855,722033,10994,385752,9485,336281,5681,105540,5669,98863,5544,6677,1214,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,446471,9124,209182,5463,172040,4703,137366,4574,34674,2480,37142,2951,34977,2985,2165,543,237289,7441,208454,6529,107800,5406,100654,3432,28835,3278,26790,3274,2045,593,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,516505,8605,241608,6274,177193,6268,143587,5629,33606,2532,64415,4318,60348,3940,4067,1049,274897,6077,221596,5459,127358,4932,94238,2896,53301,3646,49259,3416,4042,905,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,1660542,17966,726109,10341,584211,9537,445632,8585,138579,4129,141898,5419,131911,5234,9987,1317,934433,13045,816249,13028,403159,10170,413090,6837,118184,5725,108196,5609,9988,1373,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,147041,5294,68379,3467,52319,3193,40788,2943,11531,1530,16060,1921,15188,1871,872,384,78662,4252,66137,3875,34377,2946,31760,2201,12525,1736,11710,1697,815,404,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,532580,9785,245559,7884,194747,6756,158143,6202,36604,2750,50812,4033,48325,3979,2487,675,287021,7019,250341,7189,141825,5975,108516,3693,36680,2863,33840,2752,2840,740,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,106440,3466,52126,2139,41505,2162,33790,1977,7715,1046,10621,1491,10048,1504,573,244,54314,2376,47452,2283,23038,1909,24414,1369,6862,1303,6620,1257,242,188,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,761820,12189,344613,9560,273834,8514,223823,8181,50011,3035,70779,5579,66843,5483,3936,812,417207,8296,371010,8363,215846,7154,155164,4774,46197,3349,43108,3311,3089,743,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,2380210,26594,1145035,19060,906863,15578,759380,14736,147483,5722,238172,10536,224105,10432,14067,1842,1235175,15974,1066257,14931,657486,12811,408771,6795,168918,7278,157647,7117,11271,1292,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,198826,6592,96027,4966,72553,4347,61878,4177,10675,1370,23474,2941,22668,2890,806,339,102799,4325,83361,3827,48433,3254,34928,1960,19438,2344,18821,2336,617,284,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,91993,3588,40942,2457,28896,2345,23142,2170,5754,774,12046,1417,11484,1394,562,257,51051,2794,40154,2246,23456,1740,16698,1194,10897,1486,10231,1427,666,256,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,950722,15147,429903,10500,328286,9160,265386,8137,62900,3773,101617,5487,94609,5525,7008,968,520819,9946,446951,9433,270985,7796,175966,4641,73868,4721,68421,4497,5447,1230,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,876042,12831,432057,9334,318058,8698,265518,8506,52540,3090,113999,6814,106948,6782,7051,1117,443985,9391,359604,7963,219026,7075,140578,3956,84381,5434,78899,5335,5482,910,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,240555,6133,105857,3780,85921,3381,63219,3086,22702,1570,19936,2111,18712,2062,1224,508,134698,4325,119095,4176,56350,3524,62745,2620,15603,1986,14190,1910,1413,592,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,778934,9889,361267,6829,282963,5956,227860,5953,55103,2277,78304,3876,74301,3706,4003,670,417667,7240,351971,6537,191161,5561,160810,3723,65696,3494,62407,3469,3289,575,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,71033,3670,35451,2261,27586,2270,22962,2157,4624,699,7865,1115,7292,1090,573,320,35582,2451,29256,2408,15924,2066,13332,1124,6326,1245,6093,1228,233,175,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,297348,7427,126612,5853,107064,4930,72176,4031,34888,2701,19548,2190,16413,2016,3135,746,170736,5661,155506,5348,76793,3838,78713,4229,15230,2006,11978,1807,3252,742,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
