GEO_ID,B10058_001E,B10058_001M,B10058_002E,B10058_002M,B10058_003E,B10058_003M,B10058_004E,B10058_004M,B10058_005E,B10058_005M,B10058_006E,B10058_006M,B10058_007E,B10058_007M,B10058_008E,B10058_008M,B10058_009E,B10058_009M,B10058_010E,B10058_010M,B10058_011E,B10058_011M,B10058_012E,B10058_012M,B10058_013E,B10058_013M,B10058_014E,B10058_014M,B10058_015E,B10058_015M,B10058_016E,B10058_016M,B10058_017E,B10058_017M,B10058_018E,B10058_018M,B10058_019E,B10058_019M,NAME,B10058_001EA,B10058_001MA,B10058_002EA,B10058_002MA,B10058_003MA,B10058_003EA,B10058_004MA,B10058_004EA,B10058_005EA,B10058_005MA,B10058_006EA,B10058_006MA,B10058_007EA,B10058_007MA,B10058_008MA,B10058_008EA,B10058_009MA,B10058_009EA,B10058_010EA,B10058_010MA,B10058_011EA,B10058_011MA,B10058_012EA,B10058_012MA,B10058_013MA,B10058_013EA,B10058_014MA,B10058_014EA,B10058_015EA,B10058_015MA,B10058_016EA,B10058_016MA,B10058_017EA,B10058_017MA,B10058_018MA,B10058_018EA,B10058_019MA,B10058_019EA,state
0400000US01,111975,6719,58162,5023,36383,4101,14381,2480,11811,2270,2570,732,22002,2999,19278,2943,2724,778,21779,2924,53813,4019,29440,2943,14559,2187,7630,1718,6929,1374,14881,2191,9057,1713,5824,1257,24373,2156,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13181,2042,5640,1360,3438,902,1573,742,820,413,753,589,1865,558,1657,540,208,99,2202,907,7541,1304,3431,840,1584,633,362,312,1222,532,1847,510,942,370,905,332,4110,1030,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,122247,7082,66908,5899,34792,4013,9560,1797,6589,1666,2971,887,25232,3534,21564,3442,3668,908,32116,4034,55339,3461,20879,2385,10683,1526,3507,961,7176,1247,10196,1934,6021,1525,4175,1098,34460,3175,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57802,4390,30079,2706,19081,2189,8434,1281,6306,1188,2128,515,10647,1778,9269,1633,1378,581,10998,1833,27723,2768,16342,2194,8423,1395,3556,898,4867,969,7919,1486,4195,1192,3724,1002,11381,1533,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,885034,21469,392630,13968,149646,7724,37119,3348,26010,2706,11109,1795,112527,7428,92800,7330,19727,2597,242984,11313,492404,15612,119850,5858,39041,3497,15243,2061,23798,2429,80809,5578,38496,3898,42313,4067,372554,13466,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,63960,5035,36867,3816,19506,2656,5958,1482,4156,1360,1802,672,13548,1847,11939,1806,1609,511,17361,2550,27093,2966,10727,1817,5518,1478,2444,1096,3074,872,5209,988,2403,694,2806,833,16366,2100,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50107,4224,22909,3163,8736,2023,2532,787,1876,755,656,338,6204,1641,4730,1462,1474,686,14173,1954,27198,2563,7470,1361,2540,813,980,515,1560,608,4930,1138,2298,819,2632,805,19728,2379,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18645,2411,9026,1639,4599,1160,1612,819,915,696,697,392,2987,910,2419,786,568,320,4427,1133,9619,1693,2642,730,1151,516,509,289,642,358,1491,586,446,253,1045,506,6977,1576,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11078,1940,4775,1296,2635,783,983,466,668,357,315,315,1652,653,1487,633,165,131,2140,963,6303,1362,3129,926,1515,624,269,273,1246,510,1614,694,845,435,769,499,3174,1037,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,357729,13298,175840,9092,90192,6714,32446,3316,22656,2839,9790,1809,57746,5341,49426,4831,8320,1537,85648,5789,181889,9383,63837,5506,33267,3404,14273,2317,18994,2321,30570,3581,15289,2636,15281,2362,118052,7356,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
