GEO_ID,C17019_001E,C17019_001M,C17019_002E,C17019_002M,C17019_003E,C17019_003M,C17019_004E,C17019_004M,C17019_005E,C17019_005M,C17019_006E,C17019_006M,C17019_007E,C17019_007M,NAME,C17019_001MA,C17019_001EA,C17019_002MA,C17019_002EA,C17019_003EA,C17019_003MA,C17019_004EA,C17019_004MA,C17019_005MA,C17019_005EA,C17019_006MA,C17019_006EA,C17019_007MA,C17019_007EA,state
0400000US01,1223725,12107,167857,7451,66150,4250,101707,6371,1055868,11879,869275,11466,186593,6975,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157187,3442,12968,1619,5072,802,7896,1412,144219,3896,107145,3842,37074,2435,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1459460,12957,158604,7054,60884,4359,97720,6283,1300856,13424,1029345,12762,271511,9827,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,742444,9416,99721,4887,36766,2662,62955,4318,642723,8963,513650,9688,129073,5631,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8281119,30567,850405,19044,219764,8676,630641,16031,7430714,33196,5157594,32355,2273120,28255,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164221,11318,96785,5476,33354,3148,63431,4611,1067436,11611,865401,10562,202035,8093,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893288,9593,55456,4438,13704,2124,41752,3982,837832,10251,682516,9551,155316,7459,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,216182,4310,16516,1825,5569,1165,10947,1701,199666,4286,162449,4337,37217,3041,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108483,3810,18159,2336,2560,804,15599,2180,90324,3841,51730,2627,38594,3272,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4594803,24867,445037,12690,181633,6768,263404,10024,4149766,25646,3274573,25741,875193,18261,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2285356,15485,264016,8042,88871,5105,175145,6705,2021340,16632,1588225,17512,433115,11312,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,305789,4989,23445,2364,6635,1400,16810,2138,282344,5042,194024,4449,88320,4094,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,372230,5271,38217,2566,15735,1643,22482,2441,334013,5371,275939,5750,58074,3694,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3126131,16885,286603,8945,87362,4878,199241,8860,2839528,17258,2344958,18031,494570,13984,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1639949,14074,148206,6424,53130,3213,95076,5558,1491743,15106,1254395,15710,237348,7160,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,790132,7973,59201,3204,23919,2105,35282,2815,730931,8525,625187,8704,105744,3634,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,715841,7568,60394,3618,21357,2130,39037,3476,655447,8112,539700,8800,115747,5461,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
