GEO_ID,C18008_001E,C18008_001M,C18008_002E,C18008_002M,C18008_003E,C18008_003M,C18008_004E,C18008_004M,C18008_005E,C18008_005M,C18008_006E,C18008_006M,C18008_007E,C18008_007M,NAME,C18008_001EA,C18008_001MA,C18008_002MA,C18008_002EA,C18008_003MA,C18008_003EA,C18008_004MA,C18008_004EA,C18008_005EA,C18008_005MA,C18008_006EA,C18008_006MA,C18008_007MA,C18008_007EA,state
0400000US01,2894176,5043,1400730,3580,147742,6344,1252988,6869,1493446,3663,148687,5206,1344759,5716,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,426990,1889,215078,1716,11980,1468,203098,2297,211912,1410,12791,1640,199121,2090,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3667827,4564,1833391,4074,112037,5873,1721354,6893,1834436,4195,124627,5310,1709809,7447,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1738224,3831,851747,3173,92575,4060,759172,5008,886477,2695,101162,4864,785315,6017,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22906307,11669,11433111,9799,615358,14841,10817753,17798,11473196,9456,693926,13769,10779270,17100,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3053504,4420,1543958,3372,75798,4768,1468160,5756,1509546,3490,77451,4051,1432095,5623,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2215438,3697,1083900,2348,57668,4666,1026232,5265,1131538,2943,62255,3645,1069283,4850,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,535270,1881,259566,1407,15625,1748,243941,2257,275704,1312,17462,2123,258242,2577,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,349668,1304,165999,999,9931,1941,156068,2083,183669,761,10341,1333,173328,1535,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10879045,9146,5325666,7920,362132,9653,4963534,13243,5553379,6540,396254,10688,5157125,12417,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5874074,7456,2879370,5821,192544,7788,2686826,9436,2994704,6142,222979,8332,2771725,10559,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,781052,2984,385631,2387,23772,2449,361859,3243,395421,1874,18944,1995,376477,2803,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,905424,2769,450291,1938,31325,2473,418966,3151,455133,2171,29100,2309,426033,2987,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8122312,6484,4015797,4405,208408,8717,3807389,9667,4106515,4778,227953,7713,3878562,9511,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3944502,4886,1957922,3639,132829,5591,1825093,6200,1986580,3967,155129,5572,1831451,6982,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1870317,3085,938722,2602,54561,3176,884161,3995,931595,2607,55916,2821,875679,3980,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1727251,3397,859091,3181,49288,3025,809803,4151,868160,2774,53120,3315,815040,4300,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2685570,4242,1318765,3733,159895,5779,1158870,7455,1366805,3023,165663,5844,1201142,6562,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2868273,5317,1378993,5049,127212,5507,1251781,8083,1489280,3373,130262,5808,1359018,7113,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,858753,2077,420360,2027,38205,2887,382155,3414,438393,1516,36686,3035,401707,3151,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3592127,5481,1724258,4187,88421,5584,1635837,6355,1867869,3826,102155,5315,1765714,6102,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4099748,4904,2007115,3892,115390,6698,1891725,7218,2092633,3230,138004,6725,1954629,7775,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6449302,5452,3180220,3632,225275,6507,2954945,8485,3269082,4009,254467,7897,3014615,9008,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3328870,3599,1670615,3251,79206,3545,1591409,4878,1658255,2949,92276,4979,1565979,5431,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1818313,4065,873594,4137,93540,4854,780054,5327,944719,2935,110853,5714,833866,6485,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3687040,4633,1805975,3913,143578,6136,1662397,6714,1881065,3677,158292,5602,1722773,6536,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,609212,1842,304247,1835,19782,1750,284465,2567,304965,1596,20997,2236,283968,2939,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1101899,2675,550670,2375,30728,2792,519942,3040,551229,2124,33534,2288,517695,3280,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1551999,2875,789480,2219,35300,2753,754180,3422,762519,2212,43150,3319,719369,4042,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,854287,2007,422885,1766,24839,2378,398046,2919,431402,1591,28324,2704,403078,3125,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5536531,4641,2716568,4056,129244,5353,2587324,7026,2819963,3577,150312,6571,2669651,7538,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1225270,3242,597546,3157,49311,3953,548235,4957,627724,2692,45352,3417,582372,4338,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12269828,7849,5957680,6774,367150,11688,5590530,13149,6312148,5749,406749,10328,5905399,11275,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
