GEO_ID,B07004G_001E,B07004G_001M,B07004G_002E,B07004G_002M,B07004G_003E,B07004G_003M,B07004G_004E,B07004G_004M,B07004G_005E,B07004G_005M,B07004G_006E,B07004G_006M,NAME,B07004G_001MA,B07004G_001EA,B07004G_002EA,B07004G_002MA,B07004G_003EA,B07004G_003MA,B07004G_004MA,B07004G_004EA,B07004G_005MA,B07004G_005EA,B07004G_006MA,B07004G_006EA,state
0400000US01,46392,4950,36783,4312,4812,1456,2258,895,2373,1113,166,171,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43190,3804,33193,3210,5944,1933,1974,1095,2050,801,29,51,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,133262,8992,98033,6922,22729,4364,3528,1316,8121,2087,851,733,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37453,4787,31221,4602,2723,1042,2321,889,1188,611,0,260,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1056488,23881,860654,21338,143643,9667,33963,3961,13996,2501,4232,1297,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,114722,7017,88069,6312,13959,2788,6471,2129,5361,1650,862,530,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,54786,5122,46128,4833,4927,1511,607,344,2219,919,905,635,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11754,1934,10176,1809,1095,623,0,262,310,276,173,242,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7626,1898,5272,1688,1236,627,0,286,1027,680,91,156,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,269802,14039,211272,12028,31953,5057,10397,1987,12151,2192,4029,1904,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,115393,8283,89157,6804,11940,2322,7700,1919,5378,1492,1218,613,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,253181,12725,219402,11604,26536,4730,1330,710,5136,1429,777,442,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26456,3057,18313,2760,3177,1027,885,489,4081,1573,0,256,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,178119,8690,142925,7792,25335,4262,5885,1459,3116,849,858,454,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,85446,6945,65372,5944,13890,2904,3185,1037,2555,1025,444,364,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,29909,3486,20689,2975,5169,1309,1927,1033,2124,924,0,221,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,55981,4051,39602,3920,11216,2458,2126,1135,2290,1008,747,538,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,41077,3653,31703,3578,4742,1299,1320,695,3000,1697,312,425,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,46593,4726,36812,4267,5670,1802,2308,856,1568,703,235,244,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,12444,1530,9688,1488,1031,445,770,457,951,655,4,12,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,90623,6490,72795,5783,7987,1781,4385,1424,4282,1424,1174,553,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,83948,7286,67029,6635,11591,2656,2142,940,1925,926,1261,849,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,149252,10286,118470,7330,21808,6654,6182,1428,2049,729,743,526,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,70573,4994,53313,4392,9839,2140,5910,1772,1304,515,207,282,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,23745,4350,17083,3275,3021,1361,2601,1531,941,536,99,119,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,80179,5909,65681,5636,7428,1819,3870,1330,2908,966,292,332,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,15574,2263,13289,2245,1208,607,329,281,748,361,0,231,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,24805,3263,19581,3241,2454,842,288,243,2322,950,160,154,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,71840,7627,50078,5409,14147,3858,1629,951,5531,1511,455,320,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,12266,1723,9999,1556,1119,633,270,211,850,585,28,51,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,119589,7801,99144,6933,13077,3102,3729,1226,2743,1277,896,513,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,58728,5749,47369,4673,7756,2654,1129,642,2237,973,237,242,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,275363,11916,230739,11178,27544,4140,8650,2135,5686,1587,2744,1022,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,119269,8128,91027,7103,16702,3917,3401,1397,7018,1720,1121,771,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,7143,1420,5919,1222,770,518,84,109,370,371,0,203,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,160280,7118,122858,6139,26425,4029,7066,2034,3645,1156,286,191,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,190122,8005,142951,7176,28473,4099,10416,1903,7568,2112,714,558,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,103555,5723,78237,5201,15342,2878,5146,1607,3947,1158,883,646,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,124867,6627,101406,5924,14706,2156,3361,1155,4950,1333,444,335,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,18790,3471,16241,3338,1551,770,228,244,622,518,148,176,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,43300,5136,35266,4213,4935,1753,755,501,1794,903,550,399,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,10500,1955,8188,2043,764,499,706,525,757,529,85,163,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,63345,4987,48720,4636,9012,2034,1112,573,4223,1124,278,259,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,359972,15611,275469,12854,52743,6491,18149,3071,10828,2614,2783,947,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,35021,3491,28306,3054,4090,954,1053,569,1528,994,44,80,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,8401,1067,7200,996,517,295,146,133,136,140,402,496,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,128769,8971,102697,8343,12808,2908,5863,1599,5594,1618,1807,1120,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
