GEO_ID,B06004D_001E,B06004D_001M,B06004D_002E,B06004D_002M,B06004D_003E,B06004D_003M,B06004D_004E,B06004D_004M,B06004D_005E,B06004D_005M,NAME,B06004D_001MA,B06004D_001EA,B06004D_002EA,B06004D_002MA,B06004D_003EA,B06004D_003MA,B06004D_004EA,B06004D_004MA,B06004D_005MA,B06004D_005EA,state
0400000US01,38444,2253,4410,910,4909,1127,889,477,28236,1933,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28838,1908,6045,1322,4934,1662,1592,657,16267,1055,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,129197,2470,21093,2347,20504,2813,4831,1518,82769,3174,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25249,2206,4164,1062,3433,929,775,458,16877,1546,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4365548,14931,1220897,15699,226251,11230,61260,3695,2857140,18989,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,117506,3181,22261,2302,16493,1771,2774,825,75978,2962,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,108644,2036,17361,2168,12721,1957,1318,606,77244,2586,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22376,744,2249,435,3347,731,43,82,16737,839,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15566,1303,927,481,3857,1189,245,245,10537,1731,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,371385,5489,49666,3974,47998,4780,6640,1613,267081,5546,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,240832,4500,35679,2994,25011,2438,3051,1233,177091,5780,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,520564,9651,317054,9175,22170,3280,10018,1402,171322,8112,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,15117,1390,2923,774,3761,1019,463,300,7970,1452,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,507687,4109,114064,4669,26061,3166,4717,1342,362845,6893,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,72494,2163,8861,1375,8128,1116,592,386,54913,2101,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,41510,1518,8650,1343,3722,873,238,205,28900,1820,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,53129,1662,8078,1283,5750,1418,505,337,38796,1973,Kansas,null,null,null,null,null,null,null,null,null,null,20
