B10056_007M,B10056_008E,B10056_008M,B10056_009E,B10056_009M,B10056_010E,B10056_010M,B10056_011E,B10056_011M,B10056_012E,B10056_012M,B10056_013E,B10056_013M,B10056_014E,B10056_014M,B10056_015E,B10056_015M,B10056_016E,B10056_016M,B10056_017E,B10056_017M,B10056_018E,B10056_018M,B10056_019E,B10056_019M,GEO_ID,B10056_001E,B10056_001M,B10056_002E,B10056_002M,B10056_003E,B10056_003M,B10056_004E,B10056_004M,B10056_005E,B10056_005M,B10056_006E,B10056_006M,B10056_007E,B10056_007MA,B10056_008MA,B10056_008EA,B10056_009EA,B10056_009MA,B10056_010EA,B10056_010MA,B10056_011MA,B10056_011EA,B10056_012MA,B10056_012EA,B10056_013MA,B10056_013EA,B10056_014MA,B10056_014EA,B10056_015EA,B10056_015MA,B10056_016EA,B10056_016MA,B10056_017MA,B10056_017EA,B10056_018MA,B10056_018EA,B10056_019MA,B10056_019EA,NAME,B10056_001MA,B10056_001EA,B10056_002MA,B10056_002EA,B10056_003MA,B10056_003EA,B10056_004EA,B10056_004MA,B10056_005EA,B10056_005MA,B10056_006MA,B10056_006EA,B10056_007EA,state
2119,10537,1994,3900,777,14679,2070,72360,4000,40887,3296,18441,2147,13107,1915,5334,1052,22446,2519,17798,2343,4648,1051,31473,2486,0400000US01,111975,6719,39615,3437,24936,2902,10499,1784,6334,1356,4165,914,14437,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,01
403,901,381,439,130,2247,744,8241,1232,4176,844,1804,588,804,384,1000,424,2372,602,1698,507,674,316,4065,985,0400000US02,13181,2042,4940,1091,2693,632,1353,535,378,237,975,484,1340,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2319,10817,2151,3415,851,23452,2969,76152,4232,33028,2842,11832,1527,6105,1191,5727,934,21196,2358,16768,2260,4428,919,43124,3554,0400000US04,122247,7082,46095,3889,22643,2885,8411,1423,3991,1132,4420,1018,14232,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1264,4755,970,2396,631,6426,1175,37125,2804,21172,2254,9757,1363,6286,1009,3471,757,11415,1600,8709,1553,2706,749,15953,2003,0400000US05,57802,4390,20677,2066,14251,1608,7100,994,3576,896,3524,718,7151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,05
4956,50654,4819,27115,2544,224288,9563,555482,12719,164232,6719,48665,3931,27369,2799,21296,2253,115567,5856,80642,5464,34925,3598,391250,10785,0400000US06,885034,21469,329552,11342,105264,5188,27495,2305,13884,1605,13611,1743,77769,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1129,5475,920,2062,642,12985,1923,38455,3031,17713,2127,6493,1249,3850,1059,2643,684,11220,1461,8867,1449,2353,617,20742,2209,0400000US08,63960,5035,25505,2600,12520,1728,4983,1028,2750,810,2233,572,7537,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,08
922,2149,769,1606,555,11945,1559,32998,2873,11042,2044,3663,935,2118,750,1545,557,7379,1595,4879,1401,2500,695,21956,2111,0400000US09,50107,4224,17109,1977,5164,1081,1409,525,738,406,671,297,3755,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,09
648,981,505,730,446,4586,998,11209,1569,4391,922,1624,588,773,428,851,370,2767,783,1884,637,883,441,6818,1280,0400000US10,18645,2411,7436,1206,2850,747,1139,477,651,395,488,279,1711,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,10
390,348,267,320,261,1609,617,8381,1374,4676,993,2078,659,880,445,1198,512,2598,820,1984,767,614,328,3705,972,0400000US11,11078,1940,2697,825,1088,472,420,269,57,97,363,248,668,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,11
3458,21819,2867,9307,1562,67778,4301,234942,8961,99020,6084,41830,3423,25580,2878,16250,2133,57190,4531,42896,4483,14294,1648,135922,6539,0400000US12,357729,13298,122787,6119,55009,4706,23883,2726,11349,1927,12534,1978,31126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,12
2169,14344,2023,3821,993,34913,3386,126596,5494,61479,4486,25302,2925,16111,2296,9191,1519,36177,4026,28567,3605,7610,1422,65117,4127,0400000US13,193219,8097,66623,4195,31710,2763,13545,2090,7200,1496,6345,1294,18165,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,13
