GEO_ID,C17017_001E,C17017_001M,C17017_002E,C17017_002M,C17017_003E,C17017_003M,C17017_004E,C17017_004M,C17017_005E,C17017_005M,C17017_006E,C17017_006M,C17017_007E,C17017_007M,C17017_008E,C17017_008M,C17017_009E,C17017_009M,C17017_010E,C17017_010M,C17017_011E,C17017_011M,C17017_012E,C17017_012M,C17017_013E,C17017_013M,C17017_014E,C17017_014M,C17017_015E,C17017_015M,C17017_016E,C17017_016M,C17017_017E,C17017_017M,C17017_018E,C17017_018M,C17017_019E,C17017_019M,NAME,C17017_001EA,C17017_001MA,C17017_002MA,C17017_002EA,C17017_003MA,C17017_003EA,C17017_004MA,C17017_004EA,C17017_005EA,C17017_005MA,C17017_006EA,C17017_006MA,C17017_007MA,C17017_007EA,C17017_008MA,C17017_008EA,C17017_009MA,C17017_009EA,C17017_010MA,C17017_010EA,C17017_011EA,C17017_011MA,C17017_012EA,C17017_012MA,C17017_013MA,C17017_013EA,C17017_014MA,C17017_014EA,C17017_015MA,C17017_015EA,C17017_016EA,C17017_016MA,C17017_017EA,C17017_017MA,C17017_018MA,C17017_018EA,C17017_019EA,C17017_019MA,state
0400000US01,1788692,9253,310392,9397,167857,7451,51803,4304,116054,6123,14187,2348,101867,5836,142535,5921,50718,3696,91817,4450,1478300,12385,1055868,11879,839354,12087,216514,8572,56839,4071,159675,7718,422432,9901,205712,7497,216720,6760,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,24010,2228,12968,1619,4110,1011,8858,1340,1869,755,6989,1213,11042,1555,6430,1164,4612,1050,209242,2985,144219,3896,112243,3721,31976,2732,11304,1432,20672,2356,65023,3601,35876,2483,29147,2170,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,278230,9481,158604,7054,65939,4404,92665,5147,15767,2345,76898,4846,119626,5609,50422,3683,69204,4336,1925783,12054,1300856,13424,1012514,13510,288342,9478,94466,6107,193876,6957,624927,13795,312969,10106,311958,8662,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,187244,6434,99721,4887,38842,3070,60879,4015,8869,1678,52010,3848,87523,4761,35834,3363,51689,3642,900298,8033,642723,8963,516703,9085,126020,6721,37448,2959,88572,5383,257575,6387,125575,4396,132000,5179,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,1432877,22602,850405,19044,372605,12436,477800,13770,91101,5874,386699,12438,582472,15739,247734,10292,334738,10944,10665017,27209,7430714,33196,5638516,35492,1792198,22028,622772,15068,1169426,17304,3234303,30664,1575069,23433,1659234,21669,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,199341,6987,96785,5476,39241,3411,57544,4424,9334,2240,48210,3748,102556,4542,46188,3367,56368,3415,1619696,9720,1067436,11611,868592,11797,198844,7621,70643,4738,128201,5541,552260,10406,279357,7420,272903,7642,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,118200,6190,55456,4438,16864,2562,38592,3755,3952,1391,34640,3505,62744,3951,23290,2497,39454,3316,1205638,8491,837832,10251,658280,9529,179552,6452,52443,4114,127109,5391,367806,9013,165497,6316,202309,6268,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,30592,2178,16516,1825,4927,1231,11589,1553,1408,646,10181,1522,14076,1604,5676,1159,8400,1195,287048,3382,199666,4286,154711,4499,44955,3174,12604,1671,32351,2605,87382,3550,39332,2535,48050,2466,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,41528,3250,18159,2336,3086,890,15073,2088,1535,704,13538,1969,23369,2352,9543,1507,13826,1892,206685,3682,90324,3841,51126,3254,39198,3171,8543,1591,30655,2617,116361,4197,53888,3310,62473,2968,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,881201,18441,445037,12690,172052,8304,272985,8965,40462,4217,232523,8451,436164,12868,160846,7198,275318,9987,6167599,22576,4149766,25646,3207221,23352,942545,16940,282490,10060,660055,13887,2017833,19537,976473,14083,1041360,15230,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
