GEO_ID,C22002_001E,C22002_001M,C22002_002E,C22002_002M,C22002_003E,C22002_003M,C22002_004E,C22002_004M,C22002_005E,C22002_005M,C22002_006E,C22002_006M,C22002_007E,C22002_007M,C22002_008E,C22002_008M,C22002_009E,C22002_009M,C22002_010E,C22002_010M,C22002_011E,C22002_011M,C22002_012E,C22002_012M,C22002_013E,C22002_013M,C22002_014E,C22002_014M,C22002_015E,C22002_015M,NAME,C22002_001EA,C22002_001MA,C22002_002EA,C22002_002MA,C22002_003MA,C22002_003EA,C22002_004MA,C22002_004EA,C22002_005MA,C22002_005EA,C22002_006EA,C22002_006MA,C22002_007EA,C22002_007MA,C22002_008MA,C22002_008EA,C22002_009MA,C22002_009EA,C22002_010MA,C22002_010EA,C22002_011EA,C22002_011MA,C22002_012EA,C22002_012MA,C22002_013MA,C22002_013EA,C22002_014MA,C22002_014EA,C22002_015MA,C22002_015EA,state
0400000US01,1788692,9253,195884,7349,122163,5758,34620,3080,87543,5060,73721,4375,14740,1981,58981,3786,1592808,10516,499404,9413,354095,8305,145309,7550,1093404,12054,487702,8510,605702,10731,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,17123,1561,10649,1254,4050,790,6599,1059,6474,1069,1195,430,5279,1030,216129,2404,82653,3222,56750,2900,25903,2420,133476,3278,54358,2801,79118,3356,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,161128,7300,113421,5494,41837,3646,71584,5267,47707,3899,7773,1361,39934,3628,2042885,10805,654750,10368,453453,9943,201297,6962,1388135,12099,575390,9585,812745,13670,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,124855,4861,75167,4410,25641,2895,49526,3079,49688,3324,9466,1542,40222,3070,962687,7760,295690,6810,212622,6264,83068,4896,666997,7608,307816,6507,359181,7129,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,550043,14987,457102,13962,167347,8729,289755,11630,92941,4999,19002,1958,73939,4523,11547851,25485,4223672,29934,2999104,28330,1224568,20187,7324179,34668,2825668,25222,4498511,30902,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,90000,4386,55674,4065,17087,2304,38587,3969,34326,3020,4286,1170,30040,2685,1729037,8010,560756,9747,413161,8483,147595,7342,1168281,9963,473299,9242,694982,10748,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,71343,4209,36720,3096,5711,1216,31009,2861,34623,3097,4522,1042,30101,2810,1252495,7214,411881,7355,302572,6564,109309,5120,840614,8390,362339,8075,478275,10291,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,20636,1946,12899,1582,3193,926,9706,1408,7737,1175,948,475,6789,1057,297004,3273,98063,3058,66893,3445,31170,2770,198941,3087,88604,3254,110337,3547,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,24542,2158,13258,1618,973,388,12285,1607,11284,1608,1542,653,9742,1494,223671,3521,42527,2995,19369,1773,23158,2386,181144,3842,32328,2676,148816,4223,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,554593,11916,295105,9041,97826,6015,197279,7969,259488,9146,58013,3812,201475,8974,6494207,23943,1862144,19638,1246944,15029,615200,12740,4632063,27135,1976490,17260,2655573,26655,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
