GEO_ID,B19101I_001E,B19101I_001M,B19101I_002E,B19101I_002M,B19101I_003E,B19101I_003M,B19101I_004E,B19101I_004M,B19101I_005E,B19101I_005M,B19101I_006E,B19101I_006M,B19101I_007E,B19101I_007M,B19101I_008E,B19101I_008M,B19101I_009E,B19101I_009M,B19101I_010E,B19101I_010M,B19101I_011E,B19101I_011M,B19101I_012E,B19101I_012M,B19101I_013E,B19101I_013M,B19101I_014E,B19101I_014M,B19101I_015E,B19101I_015M,B19101I_016E,B19101I_016M,B19101I_017E,B19101I_017M,NAME,B19101I_001EA,B19101I_001MA,B19101I_002EA,B19101I_002MA,B19101I_003EA,B19101I_003MA,B19101I_004MA,B19101I_004EA,B19101I_005MA,B19101I_005EA,B19101I_006MA,B19101I_006EA,B19101I_007EA,B19101I_007MA,B19101I_008EA,B19101I_008MA,B19101I_009EA,B19101I_009MA,B19101I_010MA,B19101I_010EA,B19101I_011MA,B19101I_011EA,B19101I_012MA,B19101I_012EA,B19101I_013EA,B19101I_013MA,B19101I_014EA,B19101I_014MA,B19101I_015MA,B19101I_015EA,B19101I_016MA,B19101I_016EA,B19101I_017MA,B19101I_017EA,state
0400000US01,21038,1694,1620,562,2212,829,2019,718,2633,770,1345,530,1444,601,790,440,1358,580,1415,584,1520,614,1249,552,1301,490,1023,562,694,643,102,119,313,201,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6696,921,480,521,296,323,284,282,494,353,317,285,391,410,481,455,279,200,420,479,964,536,687,438,668,450,277,251,167,154,447,385,44,72,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,361831,5416,33791,3181,23215,2809,31101,3047,33072,4526,28952,3155,30757,3662,24228,2805,21052,2684,18365,3152,29996,3057,35468,3455,27604,2946,11709,1823,5520,1079,4151,1407,2850,759,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26049,1864,2097,752,1385,611,2744,689,3383,1004,2795,830,1559,576,1800,669,2861,830,719,338,2027,821,1236,530,1490,608,1286,932,315,252,249,213,103,202,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2556601,16916,170131,8318,156064,7650,180527,7607,199471,8230,183104,7736,181839,8205,158715,6961,154338,6928,134507,7567,227656,7951,270198,10629,262370,8779,127355,6945,66107,4696,49516,3711,34703,3923,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,199247,4450,17955,2745,12876,2148,14006,2375,19123,2684,15581,2546,15234,2517,14481,2572,8955,1427,10682,2056,18093,2312,18730,2345,18488,2233,7431,1414,3603,775,2303,841,1706,655,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,86015,2800,11310,1864,5473,1424,5300,1332,5670,1327,5670,1655,5894,1451,5218,1454,4925,1316,4106,1356,6943,1408,8105,1761,7689,1577,4832,1250,1881,960,781,375,2218,733,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10294,932,1140,709,581,430,698,397,645,440,388,239,784,495,736,447,606,339,1072,509,934,461,995,492,913,352,540,396,44,72,0,262,218,179,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8546,1093,451,390,492,425,570,404,336,300,1165,625,150,184,809,504,722,591,483,395,826,494,320,331,791,561,302,343,409,333,460,323,260,231,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,835598,9591,56479,4970,56919,5324,61717,5385,62939,4534,63815,5280,64437,4906,54721,4768,51774,4417,47355,4332,66786,5639,78374,4627,80487,5501,38259,3482,17260,2210,16905,2233,17371,2525,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,123732,4294,7965,1769,6703,1745,10740,1666,11003,1667,11362,1862,9583,1924,9680,1985,8954,1979,6844,1550,9697,1657,10642,2014,10608,2141,5162,1411,2433,790,1437,539,919,425,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,18457,1490,971,412,1102,644,880,366,744,398,565,378,877,405,1142,656,1035,539,752,365,2193,725,2470,832,2725,855,1420,665,774,496,335,314,472,449,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26753,1549,2303,760,3498,993,3018,932,2913,1010,2371,857,2500,823,1850,699,1483,709,1094,543,1550,561,2079,724,1427,632,383,221,105,127,47,79,132,163,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,372453,6190,24185,3241,18161,2433,22769,2591,28820,3198,25875,3269,26288,3565,22474,2844,26595,3431,20454,2787,36934,3413,45411,3974,38580,3379,18985,2147,9658,2037,4847,1035,2417,777,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,61374,3146,5946,1390,3541,1020,3934,1071,4743,1074,5107,1274,4894,1183,3829,1006,4015,1274,3753,1081,4500,1041,6381,1063,5793,1650,2856,797,775,350,815,476,492,463,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
