GEO_ID,B19201_001E,B19201_001M,B19201_002E,B19201_002M,B19201_003E,B19201_003M,B19201_004E,B19201_004M,B19201_005E,B19201_005M,B19201_006E,B19201_006M,B19201_007E,B19201_007M,B19201_008E,B19201_008M,B19201_009E,B19201_009M,B19201_010E,B19201_010M,B19201_011E,B19201_011M,B19201_012E,B19201_012M,B19201_013E,B19201_013M,B19201_014E,B19201_014M,B19201_015E,B19201_015M,B19201_016E,B19201_016M,B19201_017E,B19201_017M,NAME,B19201_001MA,B19201_001EA,B19201_002MA,B19201_002EA,B19201_003EA,B19201_003MA,B19201_004MA,B19201_004EA,B19201_005MA,B19201_005EA,B19201_006MA,B19201_006EA,B19201_007MA,B19201_007EA,B19201_008EA,B19201_008MA,B19201_009MA,B19201_009EA,B19201_010MA,B19201_010EA,B19201_011MA,B19201_011EA,B19201_012EA,B19201_012MA,B19201_013MA,B19201_013EA,B19201_014EA,B19201_014MA,B19201_015MA,B19201_015EA,B19201_016MA,B19201_016EA,B19201_017EA,B19201_017MA,state
0400000US01,564967,11405,135913,5793,81188,4398,58253,3901,54228,4235,39786,3267,36673,3216,27453,2332,25828,2790,18852,2432,28471,3445,23749,2751,18778,2239,8299,1277,3184,737,2290,760,2022,676,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,76065,3726,9580,1427,6702,1290,4319,991,6333,1285,4504,960,5361,1023,3839,937,4302,1007,3701,762,7610,1357,7040,1279,5961,1235,3394,899,1178,533,1582,641,659,375,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,744553,14396,99964,5225,78885,5050,67585,4536,64106,4259,57006,4443,52198,3913,45330,3751,47721,4352,33327,3500,53111,5249,53054,4151,46994,4224,21957,2476,7140,1226,8786,1564,7389,1392,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,345098,7359,82869,4593,53563,3711,36899,2895,33798,2575,26147,2663,25154,2783,18343,2343,12978,1568,9316,1581,15913,2117,13271,1861,9668,1674,3777,1078,1387,538,1070,499,945,363,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3816775,29783,519498,13236,363880,10897,266881,8987,276071,10265,208818,9373,222357,8329,189554,9468,199830,8794,162782,7068,294335,9566,333894,11397,325684,10016,183020,7499,90426,5684,92114,5921,87631,4748,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,654816,10994,85861,4415,61809,4757,54016,4180,58440,4386,43004,3318,49322,4011,38404,3070,40763,3540,30495,2796,54574,3701,51953,4106,44046,3222,18985,2169,9967,1919,7496,1211,5681,1502,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,430550,9271,58669,3720,44265,3536,33415,2627,30735,2400,28774,2868,26810,2487,22404,2395,22481,3004,19651,2488,32904,3235,39816,3347,33660,3007,14882,1955,8377,1713,6853,1397,6854,1510,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,101458,3814,12305,1460,9923,1194,10058,1321,8695,1213,8024,1560,6523,1068,5496,1222,6091,1163,4984,1043,8003,1359,7634,1403,7104,1145,3220,819,1358,471,1099,430,941,395,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,139730,4298,22248,2259,8600,1615,5898,1242,7641,1393,6567,1194,7363,1652,6598,1225,6967,1425,6027,1438,13095,1757,12575,1879,14125,1899,8342,1406,4214,1050,4525,1108,4945,1069,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2453997,24142,384303,11027,275702,8902,218752,8735,221338,7961,188728,7684,180180,8245,145563,6334,127282,6719,108190,6215,173691,7065,163265,6148,126816,6171,61288,4420,24662,2507,25767,2625,28470,3055,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
