GEO_ID,B08008_001E,B08008_001M,B08008_002E,B08008_002M,B08008_003E,B08008_003M,B08008_004E,B08008_004M,B08008_005E,B08008_005M,B08008_006E,B08008_006M,B08008_007E,B08008_007M,B08008_008E,B08008_008M,B08008_009E,B08008_009M,B08008_010E,B08008_010M,B08008_011E,B08008_011M,B08008_012E,B08008_012M,B08008_013E,B08008_013M,B08008_014E,B08008_014M,B08008_015E,B08008_015M,NAME,B08008_001EA,B08008_001MA,B08008_002MA,B08008_002EA,B08008_003MA,B08008_003EA,B08008_004MA,B08008_004EA,B08008_005MA,B08008_005EA,B08008_006EA,B08008_006MA,B08008_007MA,B08008_007EA,B08008_008MA,B08008_008EA,B08008_009MA,B08008_009EA,B08008_010MA,B08008_010EA,B08008_011MA,B08008_011EA,B08008_012EA,B08008_012MA,B08008_013MA,B08008_013EA,B08008_014MA,B08008_014EA,B08008_015MA,B08008_015EA,state
0400000US01,1941250,15984,1229301,16014,579532,10527,649769,14097,711949,12983,1055195,9461,658015,9940,291583,6877,366432,9249,397180,7763,886055,10946,571286,9228,287949,6705,283337,7748,314769,8272,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,294690,5226,270870,5057,205477,4796,65393,3303,23820,1955,160549,3279,146903,3228,106858,2956,40045,2342,13646,1385,134141,3142,123967,3173,98619,3098,25348,1816,10174,1335,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2575064,15393,2362084,16780,1177926,16834,1184158,16208,212980,9783,1446763,10128,1322741,11065,630905,13275,691836,13418,124022,6345,1128301,11257,1039343,11196,547021,11018,492322,10603,88958,5032,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1200886,11938,782924,11293,418752,11285,364172,9683,417962,9214,643018,7202,413851,6722,208635,7156,205216,6598,229167,6270,557868,8708,369073,7866,210117,8018,158956,6545,188795,5412,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15547334,38729,14322689,41079,5464589,40153,8858100,38732,1224645,22270,8744873,29320,8038944,28098,2854386,26058,5184558,22363,705929,15813,6802461,27369,6283745,28263,2610203,28301,3673542,28394,518716,10865,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2280261,12569,1905298,15505,833435,14905,1071863,15443,374963,11480,1256826,8335,1047894,9109,427082,9875,620812,10484,208932,6649,1023435,9723,857404,10521,406353,9109,451051,9481,166031,6837,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1657342,13617,942262,15687,301538,10737,640724,11947,715080,11251,871769,8446,487747,9830,139924,6991,347823,8135,384022,7189,785573,9261,454515,8785,161614,7114,292901,8368,331058,7075,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,397033,5412,166270,6231,42251,3392,124019,5342,230763,6054,208428,3111,85729,4042,22074,2516,63655,3539,122699,3687,188605,4256,80541,3869,20177,1935,60364,3677,108064,3918,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,249865,4239,249865,4239,182991,5487,66874,3566,0,286,126559,2736,126559,2736,87109,3871,39450,2790,0,286,123306,3603,123306,3603,95882,3516,27424,2164,0,286,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7700885,26254,5733835,31829,1831048,23422,3902787,30852,1967050,24155,4177320,20968,3088011,22807,940988,15365,2147023,20951,1089309,16369,3523565,20350,2645824,18979,890060,13902,1755764,19998,877741,14232,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
